物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
0102,燕盏,,斤,,0.02, ,0.02,"3,197.630", ,63.95
07020023,大沙虾,,斤,,182.00,10.00,172.00,51.500,516.48,"8,883.52"
09010025,鸡腿肉,,斤,,1.00,1.00, ,7.000,7.00, 
09120013,黄花鱼,,斤,,1.00,0.80,0.20,21.000,16.80,4.20
09120111,珍珠蚝,,斤,,1.00,0.80,0.20,10.000,8.00,2.00
09120136,白虾仁31-40,,斤,,150.00,90.00,60.00,50.833,"4,605.00","3,070.00"
09120206,凤爪,,斤,,57.00,4.00,53.00,22.800,91.20,"1,208.40"
09120211,樱花虾,0.5KG/包,斤,,1.50,1.00,0.50,196.295,196.29,98.15
09120222,虾饺馅,,斤,,22.00,3.00,19.00,52.480,160.75,"1,018.05"
09120224,珍珠蚝,,包,,7.00, ,7.00,10.667, ,76.00
09120258,虾胶,,斤,,5.00,3.00,2.00,80.000,240.00,160.00
09120260,烧卖馅,,斤,,31.00,5.00,26.00,34.300,171.50,891.80
,肉类,,,,,,,,"6,013.02","15,476.07"
10010020,五彩米,,包,,7.00,3.50,3.50,27.850,93.05,93.05
10010026,葛仙米,,斤,,0.80,0.80, ,"2,500.000","2,000.00", 
10010032,早丰黑米,3斤,包,,3.00,1.50,1.50,46.500,69.75,69.75
10010033,东坡红米,2.5斤,包,,2.50,2.30,0.20,20.000,46.00,4.00
10020006,陈村粉,,斤,,35.00,3.00,32.00,2.357,7.07,75.43
10020009,肠粉,,斤,,5.00, ,5.00,1.500, ,7.50
,粮油,,,,,,,,"2,215.87",249.73
10030030,金装油皮,500g,包,,18.00,3.50,14.50,15.000,52.50,217.50
10030031,白网皮,200g,包,,13.00,6.50,6.50,11.000,71.50,71.50
10030046,金像面粉(斤),,斤,,130.00,90.00,40.00,3.200,288.00,128.00
10030047,美玫面粉(斤),,斤,,180.00,60.00,120.00,3.100,186.00,372.00
10030052,稻庭面,1KG,包,,329.00,310.00,19.00,103.000,"31,930.00","1,957.00"
10030072,方黄金网皮,,包,,15.00,7.50,7.50,20.000,150.00,150.00
10030074,饺子皮,,斤,,6.00,2.00,4.00,3.000,6.00,12.00
10050047,小笼包馅,,斤,,43.00,5.00,38.00,15.400,77.00,585.20
10050049,猪皮冻,,斤,,34.00,5.00,29.00,18.000,90.00,522.00
10050066,排骨馅,,斤,,55.00,2.00,53.00,26.000,52.00,"1,378.00"
10050067,牛肉馅,,斤,,32.00,2.00,30.00,24.200,48.40,726.00
10050069,脆皮,,斤,,7.00,2.00,5.00,15.000,30.00,75.00
,食品,,,,,,,,"32,981.40","6,194.20"
11010004,青瓜,,斤,,12.00,2.00,10.00,2.420,4.87,24.33
11010016,小金瓜,,斤,,6.00,2.00,4.00,5.000,10.67,21.33
11010038,7两太阳果,,只,,155.00,35.00,120.00,6.667,232.58,797.42
11020008,翅鲍菇,,斤,,9.00, ,9.00,15.000, ,135.00
11020021,杏鲍菇,,斤,,13.00,6.00,7.00,6.500,39.00,45.50
11060014,干水小塘菜,,斤,,13.00,3.00,10.00,2.380,7.04,23.46
11060015,干水奶白菜,,斤,,7.00,3.00,4.00,2.500,7.50,10.00
11060016,干水西生菜,,斤,,4.00,1.00,3.00,3.833,3.75,11.25
11060044,西兰花,,斤,,24.00,3.00,21.00,3.636,10.94,76.56
11060055,薄荷叶,,斤,,1.50,0.50,1.00,11.000,5.50,11.00
11060060,莲藕,,斤,,2.00,1.50,0.50,3.500,5.25,1.75
11060063,紫心番薯,,斤,,50.00,1.00,49.00,3.500,3.50,171.50
11060075,红萝卜,,斤,,6.00, ,6.00,2.500, ,15.00
11060076,白萝卜,,斤,,4.00, ,4.00,1.600, ,6.40
11060108,西柠,,斤,,2.70,1.30,1.40,12.000,15.60,16.80
11060120,干水芥兰苗,,斤,,1.00, ,1.00,5.000, ,5.00
11060205,芥兰苗,,斤,,1.00,1.00, ,6.500,6.50, 
11070057,大叶,,合,,13.00,2.00,11.00,7.000,14.00,77.00
11070073,冰鲜黑松露菌,,斤,,2.00,2.00, ,450.000,900.00, 
,蔬菜,,,,,,,,"1,266.70","1,449.30"
12030027,天津玫瑰露,500ml,支,,1.00,1.00, ,39.000,39.00, 
12030032,张裕白兰地,750ml,支,,0.50,0.50, ,16.500,8.25, 
12030051,朗姆酒,,支,,1.00,0.50,0.50,95.000,47.50,47.50
12030053,咖啡酒,,支,,1.00,0.40,0.60,95.000,38.00,57.00
13020031,畅优原味酸牛奶,125G,杯,,54.00, ,54.00,2.350, ,126.90
14010005,哈密瓜,,斤,,8.50,2.00,6.50,6.500,13.06,42.44
14020007,火龙果,,斤,,12.90, ,12.90,6.700, ,87.80
14020011,点心芒果,,斤,,13.20,2.00,11.20,8.417,16.97,95.03
14020018,国产奇异果,,只,,13.00,5.00,8.00,2.000,10.00,16.00
14060002,草莓,,合,,21.00,4.00,17.00,8.333,33.71,143.29
14060005,草莓,,斤,,3.00, ,3.00,8.000, ,24.00
14070001,红提子,,斤,,0.50,0.50, ,18.000,9.00, 
14070004,进口红提,,斤,,2.00, ,2.00,18.000, ,36.00
14090004,杨桃,,斤,,6.90,1.50,5.40,4.000,6.00,21.60
15010006,黄奶油,,桶,,0.40, ,0.40,310.000, ,124.00
15010025,车轮白奶油,15KG,桶,,0.50,0.40,0.10,320.000,128.00,32.00
15010037,正义猪板油(斤),,斤,,10.00,7.00,3.00,9.000,63.00,27.00
15010046,纽西兰大牛油,,件,,0.40,0.20,0.20,"1,100.000",220.00,220.00
15010047,蛋糕油,,瓶,,0.50,0.20,0.30,45.000,9.00,13.50
15030001,幼沙糖,30kg,包,,0.50, ,0.50,230.000, ,115.00
15030003,冰片糖,9.6千克,件,,0.50,0.10,0.40,66.000,6.60,26.40
15030005,宝生园蜜糖,375克,瓶,,8.00,1.50,6.50,7.000,10.50,45.50
15030029,双桥葡萄糖,,桶,,0.40,0.40, ,135.000,54.00, 
15030030,防潮砂糖,,罐,,0.80,0.80, ,32.000,25.60, 
15030031,银珠糖,,罐,,1.00,0.50,0.50,28.000,14.00,14.00
15040001,樱花芥辣,43g,支,,7.00,3.00,4.00,9.000,27.00,36.00
15040010,卡夫奇妙酱,700ml,瓶,,4.00,1.00,3.00,23.000,23.00,69.00
15040036,味可美草莓酱,,瓶,,1.00, ,1.00,8.900, ,8.90
15040063,蓝莓酱,340g,瓶,,1.00, ,1.00,38.000, ,38.00
15040118,黑松露酱,,瓶,,2.80,1.30,1.50,487.600,633.88,731.40
15040125,杏仁霜,,罐,,1.00,1.00, ,14.000,14.00, 
15040130,大师傅蓝莓果酱,,罐,,1.00,0.80,0.20,380.000,304.00,76.00
15040131,英雄栗子茸,,罐,,0.50,6.50,-6.00,80.000,520.00,-480.00
15040132,好时朱古力酱,,支,,0.80,0.50,0.30,20.000,10.00,6.00
15040136,冻芒果茸,,盒,,2.50,2.50, ,150.000,375.00, 
15040137,冻蓝莓茸,,盒,,3.00,3.00, ,150.000,450.00, 
15040140,味好美菠萝酱,,支,,0.50, ,0.50,32.000, ,16.00
15060002,李锦记草菇老抽,1.9l,瓶,,1.50,1.50, ,16.500,24.75, 
15060077,卡萨芒果甜伴,,支,,1.00,1.00, ,135.000,135.00, 
15060078,卡萨奇异果甜伴,,支,,0.50,0.50, ,135.000,67.50, 
15060080,卡玛朱古力汁,,支,,1.00,1.00, ,125.000,125.00, 
15060085,美极小炒鲜调味汁,,支,,0.50, ,0.50,35.500, ,17.75
15060086,雀巢海鲜汁,1KG,罐,,1.00, ,1.00,58.000, ,58.00
15070012,薯仔粉,2.46kg,罐,,0.50,0.20,0.30,60.000,12.00,18.00
15070023,鱼胶粉,500克,盒,,2.00,1.40,0.60,52.000,72.80,31.20
15070024,风车生粉,50KG,包,,0.50, ,0.50,295.000, ,147.50
15070025,(发酵)泡打粉,3.3kg,罐,,1.50,1.20,0.30,23.000,27.60,6.90
15070026,鹰粟粉,800g,盒,,3.00,3.00, ,10.000,30.00, 
15070027,斧头食粉,454g,合,,1.00, ,1.00,4.500, ,4.50
15070029,依仕粉,500g,包,,2.00,0.80,1.20,18.000,14.40,21.60
15070062,奶粉,500g,包,,4.00,2.00,2.00,26.500,53.50,53.50
15070067,蛋黄色素,,包,,0.50,0.50, ,93.000,46.50, 
15070126,BBA色素/橙黄,,罐,,0.60,0.60, ,98.000,58.80, 
15070140,三角唛苹果绿,,罐,,0.50,0.50, ,42.000,21.00, 
15070141,ABBA玫瑰红,,罐,,0.50,0.50, ,78.000,39.00, 
15070146,木薯粉,0.5KG,包,,4.00,2.00,2.00,5.500,11.00,11.00
15070157,富田大红色素,,支,,1.00,1.00, ,23.000,23.00, 
15070162,马斯卡邦芝士,,盒,,13.00, ,13.00,46.000, ,598.00
15070163,金冠唂咕粉,,瓶,,7.50,7.00,0.50,38.000,266.00,19.00
15070164,龟苓膏粉,,包,,5.00,4.50,0.50,6.000,27.00,3.00
15070165,即溶吉士粉,,盒,,0.80,0.80, ,52.500,42.00, 
15070166,大师傅塔塔粉,,瓶,,1.00,1.00, ,75.000,75.00, 
15070167,包装杏仁粉,25磅,件,,0.80,0.50,0.30,870.000,435.00,261.00
15070171,朱师傅抹茶粉,,罐,,2.00,1.00,1.00,80.000,80.00,80.00
15070172,特A改良剂,,包,,0.80,0.60,0.20,30.000,18.00,6.00
15070175,富田粉红色素,,支,,0.80,0.80, ,23.000,18.40, 
15070176,力高原味果膏,,罐,,0.50,0.50, ,32.000,16.00, 
15080025,雪耳,,斤,,4.00,1.80,2.20,35.000,63.00,77.00
15080027,日本紫菜,50片4两,包,,3.00,3.00, ,26.000,78.00, 
15080070,粽叶,,包,,4.00,3.50,0.50,21.000,73.50,10.50
15080078,威化纸,,包,,10.00,3.50,6.50,10.000,35.00,65.00
15080114,卡夫芝士片,,包,,3.00,2.50,0.50,28.000,70.00,14.00
15080120,椰丝,,斤,,1.00,1.00, ,12.000,12.00, 
15080165,野生金耳,0.5斤/包,斤,,0.50,0.50, ,100.000,50.00, 
15080168,去衣杏仁,,斤,,2.00,2.00, ,23.000,46.00, 
15090006,绿豆,,斤,,2.00, ,2.00,5.000, ,10.00
15090027,黑芝麻,,斤,,2.00,1.00,1.00,10.500,10.50,10.50
15090030,元肉,,斤,,7.50,1.00,6.50,25.000,25.00,162.50
15090031,红枣,,斤,,7.40,3.00,4.40,7.000,21.00,30.80
15090040,糖冬瓜,,斤,,5.00,5.00, ,6.000,30.00, 
15090106,西杏片,,斤,,2.00,1.00,1.00,40.000,40.00,40.00
15090127,雪莲子,,斤,,0.50, ,0.50,175.000, ,87.50
15090132,西米,,包,,1.00,1.00, ,1.500,1.50, 
15100002,鹰唛炼奶,370g,罐,,15.00,4.00,11.00,11.000,44.00,121.00
15100005,保利奶,1kg,罐,,58.00,15.00,43.00,15.500,232.50,666.50
15100009,雀巢咖啡,200g,瓶,,0.80,0.50,0.30,60.000,30.00,18.00
15100026,高达椰浆,400g,罐,,5.00,3.00,2.00,8.000,24.00,16.00
15100034,地扪杂果,,罐,,12.00,4.00,8.00,12.000,48.00,96.00
15100071,桂花糖,300g,支,,8.00,3.00,5.00,5.000,15.00,25.00
15100077,金牌水蜜桃,822g,罐,,1.00,1.00, ,13.000,13.00, 
15100104,蓝啤喱,,瓶,,1.00,1.00, ,21.000,21.00, 
15100105,黑车厘子,,瓶,,1.00,1.00, ,26.000,26.00, 
15100107,太古糖霜,,罐,,1.00,0.90,0.10,210.000,189.00,21.00
15100109,铁塔淡奶油,1L,罐,,49.00,20.00,29.00,42.667,880.00,"1,276.00"
15100112,金钻忌廉,,盒,,18.00,5.00,13.00,19.000,95.00,247.00
15120007,杞子,,斤,,1.50,0.20,1.30,25.000,5.00,32.50
15120137,靓旧陈皮,,斤,,0.20, ,0.20,464.670, ,92.93
15130018,百利鱼胶片,,盒,,2.80,1.40,1.40,170.000,238.00,238.00
15130019,黄原胶,,罐,,1.00,1.00, ,480.000,480.00, 
15130020,卡拉胶,,罐,,1.00,1.00, ,460.000,460.00, 
15130029,卡码黑朱古力,,块,,1.50,0.80,0.70,335.000,268.00,234.50
15130030,飞鹰黑朱古力,,块,,1.00,0.50,0.50,175.000,87.50,87.50
15130031,飞鹰白朱古力,,块,,0.80,0.50,0.30,175.000,87.50,52.50
