物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07010029,多宝鱼,,斤,,19.50,1.20,18.30,29.000,35.38,539.62
07010062,笋壳鱼,,斤,,97.50,19.90,77.60,58.111,"1,169.51","4,560.49"
07010064,山斑,,斤,,26.00,5.30,20.70,12.071,63.94,249.71
07010087,侧鱼,,斤,,99.40,6.00,93.40,13.188,79.23,"1,233.42"
07020005,河虾,,斤,,15.00,7.00,8.00,19.667,137.67,157.33
07020023,大沙虾,,斤,,3.00, ,3.00,50.000, ,150.00
07030011,羔蟹,,斤,,6.40,2.30,4.10,106.000,248.97,443.83
07040002,象拔蚌仔,,斤,,1.00, ,1.00,23.000, ,23.00
07050016,海螺,,斤,,13.00, ,13.00,45.000, ,585.00
07050019,北极贝,2斤,合,,1.00,1.00, ,183.000,183.00, 
07050025,生蚝,,只,,41.00,18.00,23.00,9.667,171.22,218.78
07050032,大海螺,,斤,,12.00,6.00,6.00,42.500,252.50,252.50
07050042,白贝,,斤,,38.00,3.00,35.00,3.625,10.78,125.72
,肉类,,,,,,,,"2,352.20","8,539.40"
07060005,澳鲍,,斤,,5.60, ,5.60,170.000, ,952.00
07060011,大连鲍12头,,斤,,11.80,2.20,9.60,60.000,132.00,576.00
07060018,7头大连鲍,,斤,,3.10,2.90,0.20,80.000,232.00,16.00
07060019,翡翠鲍鱼,8只/包,只,,202.00,172.00,30.00,54.000,"9,288.00","1,620.00"
08010002,一般花胶,,斤,,8.70,2.67,6.03,"1,983.320","5,295.46","11,959.42"
08010005,黄花胶,,斤,,4.13,0.93,3.20,680.000,632.40,"2,176.00"
08010015,阿巴公花胶,,斤,,4.50,2.27,2.23,"3,181.867","7,199.75","7,072.89"
08010016,湿1-2头花胶,,斤,,2.00, ,2.00,"1,080.000", ,"2,160.00"
08020001,花旗参片,,斤,,1.50,0.50,1.00,326.089,163.04,326.09
08030005,关东辽参,,斤,,6.54,1.75,4.79,"4,400.000","7,607.42","20,822.58"
08030007,关西辽参,,斤,,6.33,2.30,4.03,"1,844.970","4,243.43","7,435.22"
08040001,鸡蛋,,斤,,15.00, ,15.00,5.300, ,79.50
08060001,雪蛤,,斤,,0.22,0.22, ,"2,038.360",448.44, 
,食品,,,,,,,,"35,241.94","55,195.70"
09010003,清远鸡,,斤,,25.80, ,25.80,16.000, ,412.80
09010004,老鸡,,斤,,410.90,105.00,305.90,11.000,"1,155.00","3,364.90"
09010024,鸡油,,斤,,9.00, ,9.00,3.000, ,27.00
09010033,凤中皇,,斤,,119.30,5.00,114.30,19.400,97.38,"2,226.02"
09010040,鸡壳,,斤,,566.50, ,566.50,7.000, ,"3,965.50"
09030002,黑宗鹅,,斤,,16.00, ,16.00,19.000, ,304.00
09030005,鹅肝,,斤,,107.00,56.00,51.00,140.000,"7,840.00","7,140.00"
09040002,猪赤肉,,斤,,863.50,48.00,815.50,13.086,629.35,"10,692.40"
09040009,无皮花肉,,斤,,129.00,13.00,116.00,13.650,177.43,"1,583.27"
09040010,猪一字梅,,斤,,49.30,12.00,37.30,14.600,175.22,544.63
09040036,猪排骨,,斤,,451.50,7.00,444.50,17.083,120.01,"7,620.49"
09040037,猪肋排,,斤,,11.50,5.00,6.50,21.000,105.00,136.50
09040043,猪软骨,,斤,,2.00, ,2.00,15.000, ,30.00
09040045,猪圆蹄,,斤,,2.70, ,2.70,12.000, ,32.40
09040060,烧肉,,斤,,4.60, ,4.60,27.000, ,124.20
09040095,奶猪,,斤,,153.00,35.00,118.00,23.666,820.10,"2,764.90"
09040098,净猪利,,斤,,17.00, ,17.00,37.000, ,629.00
09050012,牛孖根,,斤,,10.30,5.00,5.30,22.000,110.00,116.60
09050026,牛横膈膜,,斤,,60.00,52.00,8.00,413.413,"21,486.50","3,305.62"
