物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
09110003,腊肠,,斤,,15.00, ,15.00,55.000, ,825.00
10010022,三象糯米粉,,包,,28.00, ,28.00,5.800, ,162.40
10020022,粘米粉(斤),,斤,,30.00, ,30.00,5.000, ,150.00
10050052,锦鲤年糕,,条,,2.00, ,2.00,18.400, ,36.80
10050053,年糕礼盒,,盒,,14.00, ,14.00,44.700, ,625.80
10050076,圆形萝卜糕,,个,,5.00, ,5.00,14.700, ,73.50
10050077,圆形芋头糕,,件,,5.00, ,5.00,11.820, ,59.10
10050078,圆形马蹄糕,,件,,5.00, ,5.00,7.145, ,35.73
10050079,圆形燕窝年糕,,件,,10.00, ,10.00,12.500, ,125.00
11060076,白萝卜,,斤,,12.00, ,12.00,1.600, ,19.20
11060171,乐昌芋头,,斤,,20.00, ,20.00,5.500, ,110.00
11070012,马蹄肉,,斤,,6.00, ,6.00,5.500, ,33.00
15070013,马蹄粉,500克,盒,,10.00, ,10.00,18.500, ,185.00
15070023,鱼胶粉,500克,盒,,0.50, ,0.50,52.000, ,26.00
15070026,鹰粟粉,800g,盒,,6.00, ,6.00,10.000, ,60.00
15070069,绿茶粉,,包,,1.00, ,1.00,150.000, ,150.00
15080002,虾米,,斤,,2.00, ,2.00,53.000, ,106.00
15090005,红豆,,斤,,9.00, ,9.00,9.600, ,86.40
15100026,高达椰浆,400g,罐,,20.00, ,20.00,8.000, ,160.00
合计,食品,,,,,,,, ,"3,028.93"
