物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07050032,大海螺,,斤,,77.00,5.00,72.00,45.000,225.00,"3,240.00"
09120001,冻三文鱼,,斤,,38.20,5.30,32.90,42.500,225.19,"1,397.91"
09120013,黄花鱼,,斤,,10.30,4.00,6.30,19.333,77.75,122.45
09120095,三文鱼籽,,斤,,0.30,2.00,-1.70,172.500,345.00,-293.25
09120122,鸭利,,斤,,47.80,12.00,35.80,31.000,372.00,"1,109.80"
09120209,海哲丝,,斤,,207.00,129.00,78.00,12.500,"1,612.50",975.00
09120239,红珊蚌,,盒,,12.00,3.00,9.00,79.167,237.50,712.50
,肉类,,,,,,,,"3,094.94","7,264.41"
10010008,红谷米,,斤,,6.00,5.20,0.80,7.000,36.40,5.60
10010017,糯米(斤),,斤,,7.00,6.30,0.70,4.400,27.72,3.08
10030055,越南春卷皮/干,,包,,13.50,9.50,4.00,17.000,159.04,66.96
,食品,,,,,,,,223.16,75.64
11010004,青瓜,,斤,,3.00, ,3.00,2.300, ,6.90
11010032,水果青瓜仔,,斤,,41.80,3.50,38.30,5.500,19.25,210.65
11030028,甜蜜豆,,斤,,7.00,1.00,6.00,7.800,7.80,46.80
11030046,进口厚腐皮,,斤,,1.00,0.50,0.50,26.500,13.25,13.25
11050002,莴笋头,,斤,,13.50, ,13.50,2.560, ,33.90
11060027,韭菜,,斤,,16.00,1.00,15.00,3.000,3.00,45.00
11060039,西芹,,斤,,8.00, ,8.00,2.800, ,22.40
11060040,香芹,,斤,,39.00,3.00,36.00,3.559,10.65,127.85
11060055,薄荷叶,,斤,,11.00,0.50,10.50,11.000,5.50,115.50
11060058,番茄,,斤,,1.00, ,1.00,5.000, ,5.00
11060060,莲藕,,斤,,16.00,5.00,11.00,3.500,17.50,38.50
11060063,紫心番薯,,斤,,28.00, ,28.00,3.500, ,98.00
11060065,红洋葱,,斤,,58.00, ,58.00,2.200, ,127.60
11060075,红萝卜,,斤,,20.50,2.00,18.50,2.500,5.00,46.25
11060076,白萝卜,,斤,,27.00,2.00,25.00,1.600,3.20,40.00
11060083,干水皇帝菜,,斤,,5.00, ,5.00,5.500, ,27.50
11060115,洋葱,,斤,,5.00,5.00, ,3.600,18.00, 
11060138,素鲍鱼,,只,,41.00,24.00,17.00,8.000,192.00,136.00
11060171,乐昌芋头,,斤,,5.00, ,5.00,5.500, ,27.50
11060181,万年春,,斤,,16.50,8.80,7.70,28.000,246.40,215.60
11060192,红心番薯,,斤,,3.00, ,3.00,3.000, ,9.00
11070069,鲜天麻,,斤,,2.50,2.50, ,42.000,105.00, 
11070081,广西老淮山,,斤,,19.00, ,19.00,6.000, ,114.00
,蔬菜,,,,,,,,646.55,"1,507.20"
13020007,苹果醋,,支,,15.50,4.50,11.00,5.200,23.40,57.20
14030002,新奇士橙,,斤,,52.60,6.20,46.40,10.000,62.00,464.00
14060002,草莓,,合,,30.00,1.50,28.50,8.200,12.25,232.75
14060005,草莓,,斤,,2.00, ,2.00,8.000, ,16.00
14070001,红提子,,斤,,2.50,1.00,1.50,15.000,13.20,19.80
14070004,进口红提,,斤,,9.30, ,9.30,18.000, ,167.40
14090010,番茄仔,,斤,,9.50,1.00,8.50,4.556,4.53,38.47
15010011,芥茉油,60毫升,支,,9.00,6.00,3.00,4.000,24.00,12.00
15010017,橄榄油,1公升,瓶,,1.00,1.00, ,36.000,36.00, 
15030004,麦牙糖,250g,罐,,2.00,2.00, ,3.000,6.00, 
15040007,四季宝花生酱,1kg,罐,,2.00,2.00, ,35.000,70.00, 
15040010,卡夫奇妙酱,700ml,瓶,,2.50,0.20,2.30,22.933,4.59,52.81
15040032,营口大酱,,包,,3.00, ,3.00,4.500, ,13.50
15040036,味可美草莓酱,,瓶,,2.00, ,2.00,8.900, ,17.80
15040063,蓝莓酱,340g,瓶,,3.00, ,3.00,38.000, ,114.00
15040119,家乐干锅酱,800G,瓶,,0.70,0.70, ,48.000,33.60, 
15040122,韩国辣椒酱,,盒,,1.00,1.00, ,45.000,45.00, 
