物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07010001,大苏眉,,斤,,32.00,9.30,22.70,360.000,"3,360.50","8,202.50"
07010005,大龙趸,,斤,,133.80,18.70,115.10,38.222,715.98,"4,406.92"
07010006,老虎斑,,斤,,89.50,16.00,73.50,64.571,"1,043.15","4,791.95"
07010008,大东星斑,,斤,,121.40,43.70,77.70,189.572,"8,385.07","14,908.93"
07010009,细东星斑,,斤,,56.80,1.80,55.00,280.769,513.38,"15,686.62"
07010013,老鼠斑,,斤,,2.00,0.90,1.10,240.000,216.00,264.00
07010062,笋壳鱼,,斤,,3.50, ,3.50,60.000, ,210.00
07010142,蓝东星,,斤,,2.90, ,2.90,70.000, ,203.00
07020001,波斯龙虾,,斤,,13.40,13.40, ,96.500,"1,303.90", 
07020003,花龙虾,,斤,,58.10,23.70,34.40,333.640,"8,034.48","11,661.85"
07020010,斑马富贵虾,,斤,,22.30,15.30,7.00,170.000,"2,601.00","1,190.00"
07020015,大虾皇,,斤,,2.00, ,2.00,120.000, ,240.00
07020024,青龙虾仔,,斤,,21.60,8.30,13.30,188.750,"1,567.97","2,512.53"
07020030,大红节虾,,斤,,7.00,4.90,2.10,165.000,819.00,351.00
07040001,象拨蚌,,斤,,73.30,2.60,70.70,204.615,530.46,"14,424.54"
07050009,元贝,,斤,,34.70, ,34.70,45.400, ,"1,617.20"
07060002,大连鲍(5只/斤),,斤,,45.30,9.60,35.70,125.600,"1,224.69","4,554.31"
07060013,南非鲜鲍（3只/斤）,,斤,,35.40,24.00,11.40,222.500,"5,075.59","2,410.91"
07060018,7头大连鲍,,斤,,8.90,,8.90,80.000,,712.00
09120225,特大九节虾,1KG 7只/盒,盒,,17.00,5.70,11.30,200.000,"1,176.88","2,333.12"
合计,海鲜,,,,,,,,"36,568.05","90,681.38"
