物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
0102,燕盏,,斤,,0.02,0.02, ,"3,197.630",63.95, 
07020023,大沙虾,,斤,,187.00,6.00,181.00,42.097,253.54,"7,648.46"
09010025,鸡腿肉,,斤,,11.00,1.00,10.00,7.250,7.14,71.36
09120013,黄花鱼,,斤,,14.70,1.00,13.70,20.200,20.27,277.73
09120111,珍珠蚝,,斤,,1.00,1.00, ,10.000,10.00, 
09120136,白虾仁31-40,,斤,,260.00,150.00,110.00,50.833,"7,644.23","5,605.77"
09120206,凤爪,,斤,,44.00,5.00,39.00,22.800,114.00,889.20
09120211,樱花虾,0.5KG/包,斤,,2.00,1.50,0.50,196.295,294.44,98.15
09120222,虾饺馅,,斤,,14.00,5.00,9.00,51.975,258.07,464.53
09120224,珍珠蚝,,包,,4.00, ,4.00,10.000, ,40.00
09120258,虾胶,,斤,,4.00,3.00,1.00,80.000,240.00,80.00
09120260,烧卖馅,,斤,,29.00,5.00,24.00,34.300,171.50,823.20
,肉类,,,,,,,,"9,077.14","15,998.40"
10010020,五彩米,,包,,3.00,2.00,1.00,30.800,61.60,30.80
10010022,三象糯米粉,,包,,6.00, ,6.00,6.000, ,36.00
10010026,葛仙米,,斤,,0.80,0.80, ,"2,500.000","2,000.00", 
10010032,早丰黑米,3斤,包,,2.00,1.00,1.00,46.500,46.50,46.50
10010033,东坡红米,2.5斤,包,,1.00,0.50,0.50,20.000,10.00,10.00
10020006,陈村粉,,斤,,23.00,5.00,18.00,2.460,12.37,44.53
10020009,肠粉,,斤,,20.00, ,20.00,1.500, ,30.00
10020022,粘米粉(斤),,斤,,5.00, ,5.00,5.800, ,29.00
,粮油,,,,,,,,"2,130.47",226.83
10030030,金装油皮,500g,包,,19.00,9.00,10.00,15.400,137.98,153.32
10030031,白网皮,200g,包,,23.00,13.00,10.00,11.733,149.22,114.78
10030044,双箭淀面(斤),1*50斤,斤,,50.00, ,50.00,4.400, ,220.00
