物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
02010009,80-90克岩手大网鲍,,只,,5.00,5.00, ,"1,409.000","7,045.00", 
02010010,90-100克岩手大网鲍,,只,,3.00,3.00, ,"2,213.000","6,639.00", 
02010011,120-150克岩手大网鲍,,只,,2.00,2.00, ,"5,018.000","10,036.00", 
02020001,31-35克吉品鲍,,斤,,0.13, ,0.13,"11,000.000", ,"1,430.00"
02020002,26-30头吉品鲍,,斤,,0.73,0.46,0.27,"4,250.000","1,955.00","1,147.50"
02020003,25-27克吉品鲍,,斤,,0.21, ,0.21,"9,000.000", ,"1,890.00"
02020004,22-24克头吉品鲍,,斤,,0.69,0.51,0.18,"5,000.000","2,550.00",900.00
02020009,21-25头吉品鲍,,斤,,1.20,1.00,0.20,"4,750.000","4,750.00",950.00
02020010,16头-20头吉品鲍,,斤,,1.80,1.07,0.73,"6,000.000","6,420.00","4,380.00"
02030004,6头南非鲍,,斤,,3.40,3.40, ,"1,343.750","4,568.75", 
02030005,10-13头南非网鲍,,斤,,5.22,5.22, ,"1,858.910","9,703.51", 
02030006,20头南非吉品鲍,,斤,,0.69,0.60,0.09,"2,103.200","1,261.92",189.29
02030008,25头南非吉品鲍,,斤,,0.26,0.26, ,"3,318.000",862.68, 
02050001,20-29克禾麻鲍,,斤,,1.21,1.21, ,"5,933.980","7,180.11", 
02050002,30-39克禾麻鲍,,斤,,0.07,0.07, ,"6,500.000",455.00, 
合计,,,,,,,,,"63,426.97","10,886.79"
0102,燕盏,,斤,,1.18,0.56,0.62,"2,845.080","1,592.83","1,763.48"
合计,,,,,,,,,"1,592.83","1,763.48"
03050003,12寸牙勾翅,,斤,,3.60,1.50,2.10,"1,127.500","1,691.25","2,367.75"
03050004,11寸牙勾翅（湿计）,,斤,,1.60, ,1.60,482.000, ,771.20
0308,23寸鬼春翅,,斤,,3.50,0.80,2.70,"1,866.670","1,493.34","5,040.01"
合计,,,,,,,,,"3,184.59","8,178.96"
0401,冬虫草,,斤,,0.16,0.12,0.04,"70,676.885","8,565.40","2,855.13"
0403,冬虫草1500支,,斤,,0.07,0.06,0.01,"80,000.000","4,800.00",800.00
合计,,,,,,,,,"13,365.40","3,655.13"
总计,食品,,,,,,,,81569.79,24484.36
