物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07050032,大海螺,,斤,,80.00,6.00,74.00,42.091,254.62,"3,140.38"
09120001,冻三文鱼,,斤,,56.60,13.00,43.60,44.000,570.64,"1,913.86"
09120013,黄花鱼,,斤,,8.00,6.00,2.00,19.500,117.37,39.13
09120095,三文鱼籽,,斤,,1.00,0.30,0.70,172.500,51.75,120.75
09120122,鸭利,,斤,,50.00,11.50,38.50,32.000,364.78,"1,221.22"
09120209,海哲丝,,斤,,265.00,207.00,58.00,12.500,"2,587.50",725.00
09120239,红珊蚌,,盒,,9.00,2.00,7.00,79.000,157.78,552.22
,肉类,,,,,,,,"4,104.44","7,712.56"
10010008,红谷米,,斤,,3.20,1.00,2.20,7.000,7.00,15.40
10010017,糯米(斤),,斤,,7.20,2.00,5.20,4.400,8.80,22.88
10030055,越南春卷皮/干,,包,,20.50,13.50,7.00,17.500,229.83,119.17
11010032,水果青瓜仔,,斤,,47.70,3.80,43.90,5.500,20.90,241.45
11030028,甜蜜豆,,斤,,7.00,1.00,6.00,7.800,7.80,46.80
11030046,进口厚腐皮,,斤,,4.00,1.00,3.00,26.500,26.50,79.50
,食品,,,,,,,,300.83,525.20
11050002,莴笋头,,斤,,10.00,0.50,9.50,2.800,1.40,26.60
11060016,干水西生菜,,斤,,2.00, ,2.00,4.500, ,9.00
11060027,韭菜,,斤,,7.40,1.00,6.40,3.063,3.03,19.37
11060039,西芹,,斤,,15.00,8.00,7.00,2.800,22.40,19.60
11060040,香芹,,斤,,32.00, ,32.00,4.000, ,128.00
11060055,薄荷叶,,斤,,8.80, ,8.80,11.000, ,96.80
11060060,莲藕,,斤,,60.00,6.00,54.00,3.500,21.00,189.00
11060063,紫心番薯,,斤,,51.00,1.00,50.00,3.500,3.50,175.00
11060065,红洋葱,,斤,,58.00, ,58.00,2.200, ,127.60
11060075,红萝卜,,斤,,47.00,1.50,45.50,2.500,3.75,113.75
11060076,白萝卜,,斤,,9.00,2.00,7.00,1.600,3.20,11.20
11060083,干水皇帝菜,,斤,,13.30, ,13.30,5.167, ,66.65
11060115,洋葱,,斤,,1.00,5.00,-4.00,3.600,18.00,
11060138,素鲍鱼,,只,,55.00,21.00,34.00,8.000,168.00,272.00
11060181,万年春,,斤,,31.00,16.50,14.50,28.000,462.00,406.00
11060233,意大利生菜,,斤,,8.00, ,8.00,2.800, ,22.40
11070025,鲜淮山,,斤,,21.00, ,21.00,5.000, ,108.00
11070069,鲜天麻,,斤,,2.50,2.50, ,42.000,105.00, 
11070081,广西老淮山,,斤,,28.00, ,28.00,6.000, ,168.00
,蔬菜,,,,,,,,811.28,"1,958.97"
13020007,苹果醋,,支,,19.00,5.50,13.50,5.200,28.60,70.20
13020017,葡萄汁,,支,,2.00, ,2.00,33.000, ,66.00
14030002,新奇士橙,,斤,,62.10,16.00,46.10,10.000,160.00,461.00
14060002,草莓,,合,,19.00,5.00,14.00,8.375,42.37,118.63
14070001,红提子,,斤,,1.20,2.00,-0.80,12.000,24.00,
14070004,进口红提,,斤,,8.30, ,8.30,15.429, ,131.10
14090010,番茄仔,,斤,,9.00,3.00,6.00,4.900,14.83,29.67
15010011,芥茉油,60毫升,支,,17.00,9.00,8.00,4.000,36.00,32.00
15010017,橄榄油,1公升,瓶,,1.00,1.00, ,36.000,36.00, 
15040010,卡夫奇妙酱,700ml,瓶,,1.50,0.50,1.00,22.800,11.40,22.80
15040032,营口大酱,,包,,2.00,3.00,-1.00,4.500,13.50,-4.50
15040036,味可美草莓酱,,瓶,,2.00, ,2.00,8.900, ,17.80
15040063,蓝莓酱,340g,瓶,,7.00,1.00,6.00,38.000,38.00,228.00
15040119,家乐干锅酱,800G,瓶,,0.70,0.70, ,48.000,33.60, 
15040122,韩国辣椒酱,,盒,,1.00,1.00, ,45.000,45.00, 
15050016,宁化府陈醋,330ml,支,,13.20,3.00,10.20,10.750,32.25,109.65
15050019,宝鼎上海白醋,,支,,1.30,0.50,0.80,3.250,1.61,2.58
15060033,家乐浓缩鸡汁,1kg,瓶,,8.40,1.00,7.40,51.000,51.00,377.40
15060042,家乐辣鲜露,400毫升,支,,4.20,2.50,1.70,15.000,37.50,25.50
15060062,东古一品鲜酱油,500ML,支,,3.00, ,3.00,7.000, ,21.00
15060063,丘比焙煎芝麻汁,1.5L,支,,2.00,0.50,1.50,60.000,30.00,90.00
15060069,家乐麻辣鲜露,400ml,支,,1.50, ,1.50,17.000, ,25.50
15060081,卤水汁,,瓶,,6.00, ,6.00,10.000, ,60.00
15070023,鱼胶粉,500克,盒,,3.80,1.60,2.20,52.000,83.20,114.40
15080113,靓老鼠耳,,斤,,8.50,2.50,6.00,125.000,312.50,750.00
15080120,椰丝,,斤,,1.00,0.90,0.10,12.000,10.80,1.20
15080126,冬菇仔,,斤,,3.70,2.50,1.20,52.000,130.00,62.40
15080152,辣椒干,,斤,,1.30,3.50,-2.20,10.000,35.00,-22.00
15080178,小米辣椒,,斤,,16.00,3.80,12.20,4.000,15.20,48.80
15080185,外婆醉鱼,150G,包,,97.00,60.00,37.00,11.800,717.40,442.40
15090009,黑豆,,斤,,9.50,5.60,3.90,8.000,44.80,31.20
15090028,白芝麻,,斤,,2.60,2.00,0.60,10.500,21.00,6.30
15090042,大红枣,,斤,,4.60,2.30,2.30,35.000,80.50,80.50
15090107,红衣花生,,斤,,21.10,5.20,15.90,8.000,41.60,127.20
15100005,保利奶,1kg,罐,,25.20,5.00,20.20,15.500,77.50,313.10
15100018,豆豉鲮鱼,227g,罐,,6.00, ,6.00,8.000, ,48.00
15100071,桂花糖,300g,支,,7.20,0.80,6.40,5.000,4.00,32.00
15110046,贡菜,,包,,2.00,2.00, ,5.000,10.00, 
