物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07010005,大龙趸,,斤,,179.60,28.20,151.40,38.455,"1,084.05","5,820.05"
07010006,老虎斑,,斤,,82.50,6.60,75.90,53.083,350.89,"4,035.21"
07010008,大东星斑,,斤,,119.30,53.90,65.40,193.750,"11,167.65","13,550.35"
07010009,细东星斑,,斤,,31.20,14.20,17.00,293.333,"4,045.63","4,843.37"
07010139,红玫瑰鱼,,斤,,6.50, ,6.50,240.000, ,"1,560.00"
07020001,波斯龙虾,,斤,,20.40,13.40,7.00,100.333,"1,295.86",676.94
07020003,花龙虾,,斤,,65.30,17.70,47.60,288.553,"5,119.82","13,768.56"
07020024,青龙虾仔,,斤,,32.30,12.50,19.80,193.000,"2,412.73","3,821.77"
07040001,象拨蚌,,斤,,66.10,9.00,57.10,233.333,"2,072.25","13,147.25"
07060002,大连鲍(5只/斤),,斤,,70.70,24.30,46.40,132.857,"3,222.24","6,152.76"
07060013,南非鲜鲍（3只/斤）,,斤,,78.60,2.10,76.50,235.000,493.50,"17,977.50"
09120225,特大九节虾,1KG 7只/盒,盒,,10.43,9.00,1.43,195.000,"1,815.96",288.54
合计,海鲜,,,,,,,,"33,080.58","85,642.30"
