物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
08020006,花旗参片（小）,,斤,,16.70,2.90,13.80,320.700,943.02,"4,487.45"
11060108,西柠,,斤,,6.00, ,6.00,12.000, ,72.00
11070055,铁棍淮山,,斤,,10.50, ,10.50,7.000, ,73.50
,饮料,,,,,,,,943.02 ,"4,632.95"
12010001,路易十三,700ml,支,,1.00,1.00, ,"11,364.660","11,364.66", 
12010006,大号轩尼诗XO,700ml,支,,2.00,2.00, ,"1,430.000","2,860.00", 
12010010,大号轩尼诗杯莫停,700ml,支,,1.00,1.00, ,"3,550.000","3,550.00", 
12010011,轩尼诗李察,700ml,支,,1.00,1.00, ,"11,200.000","11,200.00", 
12010015,大号蓝带马爹利,700ml,支,,5.00,5.00, ,530.000,"4,240.00", 
12010018,尚至尊马爹利,700ML,支,,2.00,2.00, ,"22,575.000","45,150.00", 
12010020,大号马爹利X.O,700ml,支,,15.00,15.00, ,715.000,"17,160.00", 
12010093,酩悦香槟,750ml,支,,7.00,7.00, ,420.000,"2,940.00", 
12010101,3L蓝带马爹利赠送,,支,,1.00, ,1.00, , , 
12010102,1.5L蓝带马爹利赠送,,支,,2.00,2.00, , , , 
12010103,1L蓝带马爹利赠送,,支,,3.00,3.00, , , , 
12010104,500ML蓝带马爹利赠送,,支,,1.00,1.00, , , , 
12010105,350ML马爹利XO赠送,,支,,2.00,1.00,1.00, , , 
12010106,尚至尊马爹利赠送,,支,,1.00,1.00, , , , 
12010107,马爹利凯旋赠送,,支,,1.00,1.00, , , , 
12010108,马爹利尚选赠送,,支,,2.00,2.00, , , , 
12010109,3L马爹利X.O赠送,,支,,1.00,1.00, , , , 
12010110,1.5L马爹利XO赠送,,支,,2.00,2.00, , , , 
12010111,350ML蓝带马爹利赠送,,支,,2.00,2.00, , , , 
12010112,日本威士忌,,支,,21.00,21.00, ,680.000,"14,280.00", 
12020002,2006奔富707,750ML,支,,10.00,10.00, ,"2,048.000","20,480.00", 
12020004,奔富407,750ml,支,,31.00,25.00,6.00,345.840,"8,646.00","2,075.04"
12020007,2004年拉菲正牌,750ml,支,,5.00,5.00, ,"4,222.007","21,110.04", 
12020008,2004年拉菲副牌,750ml,支,,5.00,5.00, ,"1,499.550","7,497.75", 
12020013,2004年柏图斯副牌,750ml,支,,5.00,5.00, ,"1,049.000","5,245.00", 
12020014,1997年拉图,750ml,支,,2.00,2.00, ,"3,660.000","7,320.00", 
12020044,2003年拉图副牌,750ML,支,,8.00,8.00, ,"1,972.000","15,776.00", 
12020045,1995拉菲正牌,750ML,支,,2.00,2.00, ,"6,002.395","12,004.79", 
12020046,1987拉菲正牌,750ML,支,,1.00,1.00, ,"3,400.000","3,400.00", 
12020047,1995拉菲副牌,750ML,支,,4.00,4.00, ,"1,838.000","7,352.00", 
12020048,2003拉菲副牌,750ML,支,,4.00,4.00, ,"1,838.000","7,352.00", 
12020050,2001柏图斯副牌,750ML,支,,6.00,6.00, ,"1,350.000","8,100.00", 
12020051,2002柏图斯正牌,750ML,支,,1.00,1.00, ,"10,000.000","10,000.00", 
12020058,杰卡斯西拉珍藏干红赠送,,支,,4.00,4.00, , , , 
12020059,梅乐红葡萄酒2011年,,支,,5.00,5.00, ,148.000,740.00, 
12020060,百祺庄园梅乐卡伯纳红葡萄酒,,支,,12.00,12.00, ,148.000,"1,776.00", 
12030001,新西兰奇异庄园白苏维翁白/进口,750ml,支,,11.00,9.00,2.00,118.000,"1,062.00",236.00
12030002,十年花雕,500ml,支,,9.00,8.00,1.00,72.000,576.00,72.00
