物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07010029,多宝鱼,,斤,,20.20,9.50,10.70,27.143,245.92,276.98
07010062,笋壳鱼,,斤,,126.00,27.10,98.90,55.214,"1,549.65","5,655.35"
07010070,花锦鳝,,斤,,2.00, ,2.00,68.000, ,136.00
07010087,侧鱼,,斤,,111.10,10.00,101.10,12.250,122.74,"1,240.86"
07020005,河虾,,斤,,3.00, ,3.00,18.000, ,54.00
07030011,羔蟹,,斤,,9.80,1.60,8.20,79.500,128.90,660.60
07050009,元贝,,斤,,11.90, ,11.90,58.000, ,690.20
07050019,北极贝,2斤,合,,1.00,1.00, ,183.000,183.00, 
07050023,法国生蚝,,只,,10.00, ,10.00,28.000, ,280.00
07050025,生蚝,,只,,39.00,11.00,28.00,8.500,93.92,239.08
07050032,大海螺,,斤,,13.00,12.00,1.00,42.500,503.08,41.92
07050042,白贝,,斤,,48.00,2.00,46.00,3.500,7.00,161.00
,肉类,,,,,,,,"2,834.21","9,435.99"
07060005,澳鲍,,斤,, ,5.60,-5.60,170.000,952.00,
07060011,大连鲍12头,,斤,,4.00,1.80,2.20,64.000,115.20,140.80
07060019,翡翠鲍鱼,8只/包,只,,286.00,202.00,84.00,54.000,"10,908.00","4,536.00"
08010002,一般花胶,,斤,,12.20,7.60,4.60,"1,995.547","15,164.63","9,178.59"
08010005,黄花胶,,斤,,2.03,1.23,0.80,680.000,836.40,544.00
08010015,阿巴公花胶,,斤,,4.09,1.90,2.19,"3,166.177","6,073.04","6,999.97"
08020001,花旗参片,,斤,,1.20,1.00,0.20,326.089,326.09,65.22
08030005,关东辽参,,斤,,6.96,2.54,4.42,"4,488.890","11,451.90","19,928.10"
08030007,关西辽参,,斤,,9.94,4.33,5.61,"1,844.850","7,988.56","10,350.07"
08040001,鸡蛋,,斤,,120.40,15.00,105.40,5.367,80.73,567.27
08060001,雪蛤,,斤,,0.22,0.22, ,"2,038.360",448.44, 
,食品,,,,,,,,"54,344.99","52,310.02"
08050010,大红咸鱼,,斤,,8.20, ,8.20,52.000, ,426.40
09010004,老鸡,,斤,,308.20, ,308.20,11.000, ,"3,390.20"
09010024,鸡油,,斤,,24.00, ,24.00,3.000, ,72.00
09010033,凤中皇,,斤,,127.70,51.00,76.70,20.000,"1,020.00","1,534.00"
09010040,鸡壳,,斤,,899.00,200.00,699.00,7.000,"1,400.00","4,893.00"
09020007,老鸭,,斤,,2.00, ,2.00,38.000, ,76.00
09030005,鹅肝,,斤,,123.30,58.00,65.30,140.000,"8,120.00","9,142.00"
09040002,猪赤肉,,斤,,"1,123.70",144.00,979.70,13.500,"1,944.00","13,225.95"
09040009,无皮花肉,,斤,,100.80,20.00,80.80,14.000,280.00,"1,131.20"
09040010,猪一字梅,,斤,,36.90,10.00,26.90,15.000,150.00,403.50
09040036,猪排骨,,斤,,516.20,130.00,386.20,17.500,"2,275.00","6,758.50"
09040037,猪肋排,,斤,,16.60,5.00,11.60,21.000,105.00,243.60
09040043,猪软骨,,斤,,2.00,2.00, ,15.000,30.00, 
09040045,猪圆蹄,,斤,,6.60, ,6.60,12.000, ,79.20
09040047,猪脚,,斤,,7.00, ,7.00,10.500, ,73.50
09040049,猪手,,斤,,2.70, ,2.70,13.000, ,35.10
09040051,猪皮,,斤,,3.00, ,3.00,3.500, ,10.50
09040060,烧肉,,斤,,9.60,4.60,5.00,27.000,124.20,135.00
09040095,奶猪,,斤,,120.00,84.00,36.00,23.333,"1,960.00",840.00
09040096,猪利,,斤,,8.00, ,8.00,16.500, ,132.00
09040097,猪靓细骨,,斤,,16.00, ,16.00,12.000, ,192.00
09040098,净猪利,,斤,,19.60,17.00,2.60,37.000,629.00,96.20
09050003,牛柳,,斤,,3.00, ,3.00,37.000, ,111.00
09050012,牛孖根,,斤,,10.70, ,10.70,22.000, ,235.40
09050026,牛横膈膜,,斤,,89.00,60.00,29.00,413.456,"24,813.34","11,993.11"
09050037,牛脚,,只,,4.00, ,4.00,85.000, ,340.00
09090002,乳鸽,,只,,15.00,10.00,5.00,15.000,150.00,75.00
09100006,水蛇,,斤,,79.00,8.00,71.00,33.900,274.03,"2,431.97"
09110002,腊肉,,斤,,3.00, ,3.00,33.000, ,99.00
09110003,腊肠,,斤,,11.00,4.00,7.00,55.000,220.00,385.00
09110012,金华火腿,,斤,,58.00,42.00,16.00,29.200,"1,226.40",467.20
09110018,西班牙火腿,,斤,,26.00,20.00,6.00,346.545,"6,888.80","2,066.64"
09120002,冻银雪鱼,,斤,,25.00,13.00,12.00,96.250,"1,249.43","1,153.32"
09120013,黄花鱼,,斤,,8.40, ,8.40,20.000, ,168.00
09120034,海胆,60G,板,,102.00,63.00,39.00,27.833,"1,759.68","1,089.32"
09120040,金钱肚,,斤,,53.40,10.00,43.40,15.500,155.00,672.70
09120041,肥牛肉,,斤,,15.00,5.00,10.00,45.900,231.40,462.80
09120047,大鸡脚,,斤,,56.00, ,56.00,12.800, ,716.80
09120055,烟肉,2KG,包,,5.00,0.50,4.50,63.000,31.50,283.50
09120064,冻猪手,,斤,,15.00,5.00,10.00,13.250,66.67,133.33
09120086,鳄鱼肉,,斤,,1.20, ,1.20,44.000, ,52.80
09120094,帆立贝,2斤/盒,斤,,108.00,160.00,-52.00,81.810,"13,089.60",
09120120,鸡全比,,斤,,13.00,4.00,9.00,7.400,29.38,66.12
09120148,冻金枪鱼腩,,斤,,20.00,16.00,4.00,565.700,"8,757.76","2,189.44"
09120180,猪颈肉,,斤,,53.00,6.00,47.00,18.000,108.00,846.00
09120190,美国牛仔骨,,斤,,155.20,60.00,95.20,67.100,"4,024.64","6,385.76"
09120192,西冷牛肉,,斤,,107.20,90.00,17.20,292.000,"26,199.40","5,007.00"
09120202,南美海椰皇,,斤,,8.00,5.50,2.50,160.000,880.00,400.00
09120211,樱花虾,0.5KG/包,斤,,6.00, ,6.00,196.294, ,"1,177.77"
09120219,七骨羊扒,,斤,,24.00,14.50,9.50,54.000,781.19,511.81
09120221,干龙趸皮,,斤,,6.90,3.30,3.60,700.000,"2,310.00","2,520.00"
09120223,红标牛小排,,斤,,102.00, ,102.00,85.000, ,"8,670.00"
09120225,特大九节虾,1KG 7只/盒,盒,,2.00,2.00, ,150.000,300.00, 
09120248,蚬肉汤包,,包,,20.00, ,20.00,23.780, ,475.60
09120255,乌鱼籽,,斤,,12.00,12.00, ,600.000,"7,200.00", 
09120256,A级大凤爪,,斤,,30.00,10.00,20.00,14.167,141.67,283.33
09120261,羊膝,,斤,,25.50,8.50,17.00,41.500,352.33,704.67
09120270,鲟龙鱼籽酱,50G,盒,,1.00,1.00, ,635.000,635.00, 
09120271,蟹钳,1KG,包,,40.50,24.00,16.50,216.480,"5,309.01","3,649.95"
09120274,安格斯牛小排,,斤,,202.50,85.00,117.50,85.714,"7,289.85","10,077.15"
09120275,飞驒牛肉,,斤,,66.40, ,66.40,523.844, ,"32,975.90"
09120276,飞驒牛柳,,斤,,49.50,60.70,-11.20,488.000,"29,621.60",
09120277,三文鱼籽（盒）,,盒,,1.00,1.00, ,100.000,100.00, 
09130004,喜知次鱼,,斤,,40.00,34.00,6.00,166.460,"5,659.64",998.76
09130005,鲩鱼,,斤,,52.60,5.40,47.20,6.257,33.82,295.59
09130008,鱼卜,,斤,,20.00,4.00,16.00,27.000,108.00,432.00
09130029,去皮鲮鱼肉,,斤,,14.00,3.00,11.00,18.000,54.00,198.00
09130041,安康鱼肝,,斤,,34.00,25.00,9.00,50.190,"1,254.75",451.71
09140001,鹧鸪,4两以上,只,,45.00,20.00,25.00,17.000,340.00,425.00
09140010,田鸡,,斤,,29.00,3.00,26.00,7.000,21.00,182.00
09140022,草龟,,斤,,8.30,3.50,4.80,17.000,59.50,81.60
09140033,沙虫干,,斤,,1.30, ,1.30,505.000, ,625.00
09140037,雪鸟,,只,,170.00, ,170.00,28.000, ,"4,760.00"
09140038,鹌鹑,,只,,80.00, ,80.00,4.000, ,320.00
,肉类,,,,,,,,"169,763.59","150,536.90"
10010001,泰国香米,,斤,,110.00,101.00,9.00,4.700,474.70,42.30
10010004,东北大米,,斤,,69.00, ,69.00,2.700, ,186.30
10010015,厨上厨茉莉香米,,斤,,100.00, ,100.00,4.800, ,480.00
10010019,鱼沼米,5KG,包,,14.00,1.50,12.50,365.654,549.13,"4,576.04"
10010021,苏比利尔野米,,包,,11.00,4.00,7.00,75.000,300.00,525.00
10010027,岩米,,斤,,15.50,11.40,4.10,53.000,604.20,217.30
10020009,肠粉,,斤,,10.00, ,10.00,1.500, ,15.00
10030019,粗面,,斤,,48.00,25.00,23.00,6.420,161.35,148.45
10030035,方包,,条,,3.00,1.00,2.00,20.000,20.00,40.00
10030039,燕麦,,斤,,18.00,4.00,14.00,3.460,13.84,48.44
10030044,双箭淀面(斤),1*50斤,斤,,50.00,20.00,30.00,4.400,88.00,132.00
10030057,挂面,,包,,10.00,10.00, ,21.000,210.00, 
10040004,花生油,,斤,,190.00,100.00,90.00,17.000,"1,700.00","1,530.00"
10040008,植之元大豆油,20L,桶,,37.00,22.00,15.00,155.000,"3,410.00","2,325.00"
,粮油,,,,,,,,"7,531.22","10,265.83"
11010002,南瓜,,斤,,144.00,15.00,129.00,1.967,29.79,256.21
11010003,茄瓜,,斤,,99.00,16.00,83.00,3.267,52.64,273.06
11010004,青瓜,,斤,,2.00,2.00, ,2.500,5.00, 
11010005,丝瓜,,斤,,6.00,2.00,4.00,4.667,9.33,18.67
11010006,凉瓜,,斤,,12.00,3.00,9.00,4.400,13.40,40.20
11010016,小金瓜,,斤,,6.00, ,6.00,4.500, ,27.00
11010022,太阳果,,只,,85.00,54.00,31.00,5.750,312.88,179.62
11010032,水果青瓜仔,,斤,,17.00,2.00,15.00,5.500,11.00,82.50
11010038,7两太阳果,,只,,319.00,12.00,307.00,5.889,71.66,"1,833.34"
11020001,金针菇,,斤,,14.00,2.00,12.00,5.000,10.00,60.00
11020006,鲜冬菇,,斤,,54.00,10.00,44.00,7.500,75.00,330.00
11020021,杏鲍菇,,斤,,95.00,19.00,76.00,6.000,114.00,456.00
11020022,姬松茸,,斤,,4.00,2.20,1.80,145.000,319.00,261.00
11020030,白玉菇,,盒,,9.00,5.00,4.00,4.000,20.00,16.00
11020033,白肉菇,,包,,9.00, ,9.00,4.000, ,36.00
11020036,白蘑菇,,斤,,1.00, ,1.00,7.500, ,7.50
11020038,肉苁蓉,,斤,,16.90,4.00,12.90,680.000,"2,720.00","8,772.00"
11030003,青豆角,,斤,,15.00,2.00,13.00,6.813,13.60,88.40
11030005,荷兰豆,,斤,,4.50,2.00,2.50,6.750,13.67,17.08
11030007,龙牙豆,,斤,,7.00, ,7.00,4.500, ,31.50
11030018,山水豆腐,,合,,44.00,6.00,38.00,3.300,19.80,125.40
11030028,甜蜜豆,,斤,,12.00,4.00,8.00,7.800,31.20,62.40
11030030,四季豆,,斤,,2.00,2.00, ,4.500,9.00, 
11040001,鲜花椒,,包,,4.00,2.00,2.00,18.000,36.00,36.00
11040002,湖南青椒,,斤,,40.00,12.00,28.00,8.292,99.75,232.75
11040004,指天椒,,斤,,10.00, ,10.00,12.000, ,120.00
11040005,红椒,,斤,,27.00,1.00,26.00,6.000,6.00,156.00
11040012,红圆椒,,斤,,15.80,2.00,13.80,6.063,12.09,83.46
11040013,黄圆椒,,斤,,16.00,2.00,14.00,6.125,12.19,85.31
11040014,红美人椒,,斤,,8.00,2.00,6.00,8.900,17.50,52.50
11040016,青尖椒,,斤,,39.00,5.00,34.00,3.455,17.37,118.13
11050002,莴笋头,,斤,,8.00, ,8.00,2.800, ,22.40
11050005,芦笋,,斤,,63.00,8.00,55.00,27.765,222.73,"1,531.27"
11050020,冬笋,,斤,,19.00, ,19.00,20.000, ,380.00
11060001,干水菜心,,斤,,41.00,5.00,36.00,5.950,29.82,214.68
11060012,白菜苗,,斤,,3.00, ,3.00,5.300, ,15.90
11060014,干水小塘菜,,斤,,54.00,8.00,46.00,2.455,19.78,113.72
11060015,干水奶白菜,,斤,,7.00,6.00,1.00,2.500,15.00,2.50
11060016,干水西生菜,,斤,,4.50, ,4.50,4.500, ,20.25
11060023,荞菜,,斤,,5.00, ,5.00,5.500, ,27.50
11060027,韭菜,,斤,,1.00, ,1.00,3.000, ,3.00
11060030,大豆芽,,斤,,38.00,3.00,35.00,2.500,7.50,87.50
11060038,鲜白果肉,,斤,,1.50,0.50,1.00,7.000,3.50,7.00
11060039,西芹,,斤,,47.50,15.00,32.50,2.888,42.77,92.68
11060040,香芹,,斤,,13.00,3.00,10.00,4.083,12.23,40.77
11060041,元茜,,斤,,23.00,0.50,22.50,4.482,2.24,101.01
11060042,番茜,,斤,,1.50, ,1.50,22.000, ,33.00
11060044,西兰花,,斤,,12.00,3.00,9.00,4.100,12.25,36.75
11060055,薄荷叶,,斤,,3.50, ,3.50,11.000, ,38.50
11060058,番茄,,斤,,53.00,6.00,47.00,3.818,22.87,179.13
11060060,莲藕,,斤,,24.00,4.00,20.00,3.500,14.00,70.00
11060065,红洋葱,,斤,,70.00,8.00,62.00,2.200,17.60,136.40
11060066,干葱头,,斤,,79.00,5.00,74.00,5.000,25.00,370.00
11060067,京葱,,斤,,48.00,8.00,40.00,4.767,38.15,190.75
11060069,蒜肉,,斤,,17.00,4.00,13.00,5.833,23.53,76.47
11060075,红萝卜,,斤,,70.50,5.00,65.50,2.500,12.50,163.75
11060076,白萝卜,,斤,,42.00,6.00,36.00,1.600,9.60,57.60
11060079,娃娃菜,,斤,,5.00, ,5.00,4.000, ,20.00
11060083,干水皇帝菜,,斤,,185.00,5.00,180.00,5.026,25.04,901.46
11060096,紫苏叶,,斤,,2.00, ,2.00,5.250, ,10.50
11060098,高脚菜心,,斤,,611.00,10.00,601.00,4.500,45.00,"2,704.50"
11060101,春菜苗,,斤,,50.00, ,50.00,3.500, ,175.00
11060104,黄心番薯,,斤,,5.00,3.00,2.00,2.500,7.50,5.00
11060111,九牙生菜,,斤,,27.00,2.00,25.00,8.000,16.00,200.00
11060120,干水芥兰苗,,斤,,5.00, ,5.00,6.500, ,32.50
11060123,玉米条,,斤,,10.00,3.00,7.00,3.500,10.50,24.50
11060124,百合皇,,斤,,16.20,4.00,12.20,45.000,180.00,549.00
11060129,泰国芫西,,斤,,37.50, ,37.50,18.000, ,675.00
11060130,洛神花,,斤,,0.70,0.60,0.10,80.000,48.00,8.00
11060137,意大利黑醋,,支,,4.00,1.50,2.50,28.000,42.00,70.00
11060140,紫淮山,,斤,,10.00,8.00,2.00,7.300,58.80,14.70
11060141,牛黄,,克,,16.00,13.00,3.00,250.000,"3,250.00",750.00
11060142,猴枣散,,克,,49.00,42.00,7.00,350.000,"14,700.00","2,450.00"
11060151,黑金蒜,,只,,42.00,18.00,24.00,10.000,180.00,240.00
11060153,落地球,,斤,,44.00,8.00,36.00,21.000,168.00,756.00
11060154,手指萝卜,,斤,,35.40,8.00,27.40,9.000,72.00,246.60
11060164,烧烤酱,,瓶,,0.80,0.80, ,18.000,14.40, 
11060167,油条,,条,,26.00,10.00,16.00,1.533,15.54,24.86
11060171,乐昌芋头,,斤,,53.00,15.00,38.00,5.500,82.50,209.00
11060174,九层塔,,斤,,3.50, ,3.50,12.000, ,42.00
11060177,泡菜,,包,,2.00,1.50,0.50,25.000,37.50,12.50
11060179,百里香,,斤,,1.50, ,1.50,55.000, ,82.50
11060184,奶油生菜,,斤,,32.00,2.50,29.50,8.500,21.25,250.75
11060186,冠益烧烤酱,227G,支,,12.00,10.00,2.00,6.833,68.33,13.67
11060190,地皮菜,,斤,,5.00,5.00, ,180.000,900.00, 
11060197,精选蒜肉,,斤,,101.00, ,101.00,6.000, ,606.00
11060201,精选手工蒜肉,,斤,,29.50, ,29.50,8.000, ,236.00
11060205,芥兰苗,,斤,,37.00,6.00,31.00,6.500,39.00,201.50
11060211,精选本地干葱,,斤,,53.00,6.00,47.00,13.765,83.09,650.91
11060221,红菜心,,斤,,38.00, ,38.00,4.500, ,171.00
11060229,吕田大芥菜,,斤,,166.00,35.00,131.00,4.000,140.00,524.00
11060231,干水豆苗,,斤,,60.00, ,60.00,16.400, ,985.50
11060233,意大利生菜,,斤,,99.00, ,99.00,2.800, ,277.20
11060235,鲜牛磅,,斤,,10.50,1.00,9.50,5.500,5.50,52.25
11060257,红头生菜,,斤,,32.00, ,32.00,12.000, ,384.00
11060262,鲜玛卡,,包,,7.00,4.00,3.00,80.000,320.00,240.00
11060265,奶白菜苗,,斤,,159.00, ,159.00,5.270, ,836.30
11060277,刁草,,斤,,1.10, ,1.10,80.000, ,88.00
11060278,红菜苔,,斤,,5.00, ,5.00,4.000, ,20.00
11070001,粟子肉,,斤,,18.00,10.00,8.00,13.500,135.00,108.00
11070002,鲜茨实,,包,,20.00,5.00,15.00,4.000,20.00,60.00
11070003,青橄榄,44粒,斤,,4.00,3.20,0.80,22.000,70.40,17.60
11070005,鲜人参,,斤,,10.80,4.00,6.80,165.000,666.67,"1,133.33"
11070007,榄角,,斤,,3.00,0.50,2.50,6.750,3.42,17.08
11070012,马蹄肉,,斤,,3.00, ,3.00,5.500, ,16.50
11070013,沙姜,,斤,,5.00,1.00,4.00,8.000,8.00,32.00
11070015,肉姜,,斤,,124.00,6.00,118.00,6.966,41.85,823.15
11070022,香茅,,斤,,1.00,0.50,0.50,4.500,2.25,2.25
