物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07020023,大沙虾,,斤,,165.00,6.00,159.00,29.239,174.76,"4,649.06"
08060001,雪蛤,,斤,,0.01, ,0.01,"2,038.360", ,20.38
09110002,腊肉,,斤,,2.00,1.50,0.50,37.500,56.25,18.75
09110003,腊肠,,斤,,2.50,1.00,1.50,37.500,37.50,56.25
09120013,黄花鱼,,斤,,0.50,5.00,-4.50,21.000,105.00,-94.50
09120064,冻猪手,,斤,,55.00,20.00,35.00,13.000,260.00,455.00
09120111,珍珠蚝,,斤,,13.00,3.00,10.00,10.000,30.00,100.00
09120133,麻虾仁31-40,,斤,,50.00,0.80,49.20,45.000,36.00,"2,214.00"
09120206,凤爪,,斤,,215.00,20.00,195.00,22.800,456.00,"4,446.00"
09120211,樱花虾,0.5KG/包,斤,,2.50,1.50,1.00,181.840,272.76,181.84
09120222,虾饺馅,,斤,,26.50,3.00,23.50,54.500,163.50,"1,280.75"
09120224,珍珠蚝,,包,,5.00, ,5.00,9.800, ,49.00
09120260,烧卖馅,,斤,,53.00,10.00,43.00,34.300,343.00,"1,474.90"
,肉类,,,,,,,,"1,934.77","14,851.43"
10010020,五彩米,,包,,24.00,11.00,13.00,23.473,249.74,305.14
10010022,三象糯米粉,,包,,37.00,24.00,13.00,5.800,139.20,75.40
10010026,葛仙米,,斤,,0.80,0.80, ,"2,500.000","2,000.00", 
10030038,双箭澄面,,包,,2.50,1.80,0.70,215.000,387.00,150.50
,粮油,,,,,,,,"2,775.94",531.04
10020015,红米粉,,斤,,,3.00,-3.00,20.000,60.00,-60.00
10020022,粘米粉(斤),,斤,,55.00,13.00,42.00,5.000,65.00,210.00
10030030,金装油皮,500g,包,,9.00,2.00,7.00,15.000,30.00,105.00
10030031,白网皮,200g,包,,78.00,10.00,68.00,11.000,110.00,748.00
10030046,金像面粉(斤),,斤,,130.00,9.00,121.00,3.200,28.80,387.20
10030047,美玫面粉(斤),,斤,,305.00,60.00,245.00,3.100,186.00,759.50
10030052,稻庭面,1KG,包,,177.00,119.00,58.00,103.000,"12,257.00","5,974.00"
10030072,方黄金网皮,,包,,9.00,3.00,6.00,20.000,60.00,120.00
10030073,麻薯粉,,包,,4.00,1.00,3.00,95.000,95.00,285.00
10050045,寿桃,,只,,120.00,40.00,80.00,5.000,200.00,400.00
10050047,小笼包馅,,斤,,105.00,7.00,98.00,15.400,107.80,"1,509.20"
10050049,猪皮冻,,斤,,91.00,6.00,85.00,18.000,108.00,"1,530.00"
10050066,排骨馅,,斤,,68.00,8.00,60.00,26.000,208.00,"1,560.00"
10050067,牛肉馅,,斤,,35.00,5.00,30.00,24.200,121.00,726.00
10050069,脆皮,,斤,,10.50,1.00,9.50,15.000,15.00,142.50
,食品,,,,,,,,"13,651.60","14,396.40"
11010004,青瓜,,斤,,32.90,2.00,30.90,1.923,3.83,59.42
11010016,小金瓜,,斤,,9.50,2.00,7.50,4.333,8.20,32.50
11010022,太阳果,,只,,141.00,22.00,119.00,6.500,143.00,773.50
11010038,7两太阳果,,只,,25.00,45.00,-20.00,6.750,303.09,-135.00
11020006,鲜冬菇,,斤,,23.00,2.00,21.00,7.500,15.00,157.50
11020008,翅鲍菇,,斤,,9.00, ,9.00,15.000, ,135.00
11020021,杏鲍菇,,斤,,185.00,10.00,175.00,6.235,62.49,"1,091.18"
11020028,百灵菇,,斤,,4.00,4.00, ,15.000,60.00, 
11060014,干水小塘菜,,斤,,24.00,3.00,21.00,2.782,8.30,58.43
11060015,干水奶白菜,,斤,,25.00,2.00,23.00,3.144,6.29,72.31
11060016,干水西生菜,,斤,,11.50,3.00,8.50,3.530,10.56,30.01
11060027,韭菜,,斤,,2.60,1.00,1.60,2.920,2.94,4.67
11060028,韭菜花,,斤,,0.50, ,0.50,9.500, ,4.75
11060044,西兰花,,斤,,37.00,4.00,33.00,5.710,22.29,188.42
11060055,薄荷叶,,斤,,8.10,0.50,7.60,7.421,3.76,56.40
11060060,莲藕,,斤,,36.50,3.00,33.50,4.935,14.99,165.32
11060075,红萝卜,,斤,,5.00,2.00,3.00,2.300,4.60,6.90
11060076,白萝卜,,斤,,79.00,6.00,73.00,1.560,9.32,113.88
11060103,大白菜,,斤,,15.00,4.00,11.00,2.000,8.00,22.00
11060108,西柠,,斤,,2.50,0.50,2.00,19.333,9.67,38.67
11060124,百合皇,,斤,,4.40, ,4.40,45.000, ,198.00
11060129,泰国芫西,,斤,,6.50, ,6.50,18.000, ,117.00
11060174,九层塔,,斤,,3.00,0.50,2.50,12.500,6.25,31.25
11060205,芥兰苗,,斤,,6.00,7.00,-1.00,6.500,45.50,-6.50
11060255,芥兰远,,斤,,22.00, ,22.00,5.000, ,110.00
11070015,姜肉,,斤,,22.00,10.00,12.00,10.000,100.00,120.00
11070057,大叶,,合,,22.00,1.00,21.00,7.000,7.00,147.00
11070073,冰鲜黑松露菌,,斤,,4.00,1.90,2.10,450.000,855.00,945.00
,蔬菜,,,,,,,,"1,710.08","4,537.59"
12030051,朗姆酒,,支,,1.00,2.50,-1.50,92.500,227.08,-138.75
12030053,咖啡酒,,支,,1.50,1.00,0.50,95.000,95.00,47.50
14020011,点心芒果,,斤,,13.70,2.00,11.70,8.000,16.00,93.60
14060002,草莓,,合,,19.00,1.00,18.00,24.000,24.14,432.00
14070003,黑加仑提子,,斤,,1.40, ,1.40,18.000, ,25.20
14090009,国产柠檬,,斤,,3.00, ,3.00,16.000, ,48.00
14090034,脱衣核桃,,斤,,3.00,3.00, ,54.000,162.00, 
14090040,椰子,,只,,4.00, ,4.00,5.000, ,20.00
15010024,车轮黄牛油,16KG,桶,,2.30,1.00,1.30,308.333,308.00,400.83
15010025,车轮白奶油,15KG,桶,,1.40,1.40, ,317.500,443.88, 
15010037,正义猪板油(斤),,斤,,25.00,20.00,5.00,9.000,180.00,45.00
15010046,纽西兰大牛油,,件,,0.80,0.80, ,"1,050.000",840.00, 
15010047,蛋糕油,,瓶,,1.30,0.90,0.40,45.000,40.50,18.00
15030001,幼沙糖,30kg,包,,2.00,1.50,0.50,220.000,330.00,110.00
15030005,宝生园蜜糖,375克,瓶,,21.00,15.00,6.00,7.000,105.00,42.00
15030029,双桥葡萄糖,,桶,,0.40, ,0.40,135.000, ,54.00
15030030,防潮砂糖,,罐,,0.50, ,0.50,32.000, ,16.00
15030031,银珠糖,,罐,,2.20,1.80,0.40,28.000,50.40,11.20
15040001,樱花芥辣,43g,支,,7.50,4.00,3.50,9.000,36.00,31.50
15040007,四季宝花生酱,1kg,罐,,1.00,0.80,0.20,35.000,28.00,7.00
15040010,卡夫奇妙酱,700ml,瓶,,8.00,1.80,6.20,22.000,39.60,136.40
15040118,黑松露酱,,瓶,,3.20,0.50,2.70,487.567,243.79,"1,316.43"
15040125,杏仁霜,,罐,,,1.00,-1.00,14.000,14.00,-14.00
15040131,英雄栗子茸,,罐,,4.00,4.00, ,80.000,320.00, 
15040132,好时朱古力酱,,支,,1.80,2.00,-0.20,20.000,40.00,-4.00
15050027,八珍甜醋,,罐,,2.00,1.80,0.20,98.000,176.40,19.60
15050028,致美斋甜醋,,罐,,2.00,2.00, ,51.500,103.00, 
15060002,李锦记草菇老抽,1.9l,瓶,,0.80,1.00,-0.20,16.500,16.50,-3.30
15060051,东古一品鲜,1.6L,罐,,2.00,2.00, ,7.500,15.00, 
15060062,东古一品鲜酱油,500ML,支,,1.00, ,1.00,7.250, ,7.25
15070012,薯仔粉,2.46kg,罐,,2.50,1.50,1.00,53.250,77.73,53.25
15070023,鱼胶粉,500克,盒,,1.50,0.50,1.00,52.000,26.00,52.00
15070024,风车生粉,50KG,包,,3.00,1.50,1.50,270.000,405.00,405.00
15070025,(发酵)泡打粉,,罐,,1.20,1.00,0.20,31.500,35.14,6.30
15070026,鹰粟粉,1kg,包,,15.00,4.00,11.00,10.000,40.00,110.00
15070027,斧头食粉,454g,合,,2.00,1.00,1.00,4.500,4.50,4.50
15070029,依仕粉,500g,包,,1.80,1.00,0.80,18.000,18.00,14.40
15070062,奶粉,500g,包,,2.00,2.00, ,30.000,60.00, 
15070067,蛋黄色素,,包,,0.50,0.50, ,93.000,46.50, 
15070084,鸡粉,2kg,罐,,2.00,1.00,1.00,65.000,65.00,65.00
15070126,BBA色素/橙黄,,罐,,0.60,0.60, ,98.000,58.80, 
15070140,三角唛苹果绿,,罐,,0.50,0.50, ,42.000,21.00, 
15070141,ABBA玫瑰红,,罐,,0.50,0.50, ,78.000,39.00, 
15070145,美极香菇粉,,罐,,1.50,0.30,1.20,30.000,9.00,36.00
15070146,木薯粉,0.5KG,包,,10.00,5.00,5.00,5.500,27.50,27.50
15070157,富田大红色素,,支,,1.00,1.00, ,23.000,23.00, 
15070163,金冠唂咕粉,,瓶,,5.00,5.00, ,38.000,190.00, 
15070164,龟苓膏粉,,包,,10.50,5.00,5.50,6.600,34.09,36.30
15070165,即溶吉士粉,,盒,,0.70,0.70, ,52.500,36.75, 
15070166,大师傅塔塔粉,,瓶,,1.00,1.00, ,75.000,75.00, 
15070167,包装杏仁粉,25磅,件,,0.30,0.30, ,870.000,261.00, 
15070171,朱师傅抹茶粉,,罐,,4.00,1.60,2.40,80.000,128.00,192.00
15070172,特A改良剂,,包,,0.40,0.40, ,30.000,12.00, 
15070175,富田粉红色素,,支,,0.80,0.70,0.10,23.000,16.10,2.30
15080002,虾米,,斤,,1.00,1.80,-0.80,56.000,100.80,-44.80
15080027,日本紫菜,50片4两,包,,3.00,3.00, ,25.000,75.00, 
15080070,粽叶,,包,,1.00,1.80,-0.80,21.000,37.80,-16.80
15080078,威化纸,,包,,12.00,10.00,2.00,10.000,100.00,20.00
15080086,师傅300改良剂,,包,,1.00, ,1.00,18.000, ,18.00
15080108,MG芝士,,斤,,10.00,10.00, ,3.130,31.30, 
15080114,卡夫芝士片,,包,,2.00, ,2.00,27.000, ,54.00
15080120,椰丝,,斤,,1.00,1.00, ,12.000,12.00, 
15080168,去衣杏仁,,斤,,6.00,3.00,3.00,21.000,63.00,63.00
15090005,红豆,,斤,,3.00,3.00, ,6.500,19.50, 
15090006,绿豆,,斤,,3.00,3.00, ,5.500,16.50, 
15090015,夏果,,包,,2.00, ,2.00,65.000, ,130.00
15090027,黑芝麻,,斤,,3.80,3.00,0.80,10.750,32.62,8.60
15090106,西杏片,,斤,,3.00,2.00,1.00,40.000,80.00,40.00
15090127,雪莲子,,斤,,1.30,1.00,0.30,175.000,175.00,52.50
15090132,西米,,包,,0.50,6.00,-5.50,1.500,9.00,-8.25
15100002,鹰唛炼奶,370g,罐,,30.00,15.00,15.00,11.000,165.00,165.00
15100005,保利奶,1kg,罐,,44.00,6.00,38.00,16.000,96.00,608.00
15100009,雀巢咖啡,200g,瓶,,0.50,0.60,-0.10,58.000,34.80,-5.80
15100018,豆豉鲮鱼,227g,罐,,,2.00,-2.00,8.000,16.00,-16.00
15100026,高达椰浆,400g,罐,,1.00, ,1.00,8.500, ,8.50
15100034,地扪杂果,,罐,,6.00,3.00,3.00,11.000,33.00,33.00
15100071,桂花糖,300g,支,,2.00,2.00, ,5.000,10.00, 
15100077,金牌水蜜桃,822g,罐,,1.00, ,1.00,13.000, ,13.00
15100082,铁塔淡忌廉,989克,合,,,4.00,-4.00,45.000,180.00,-180.00
15100105,黑车厘子,,瓶,,4.00,3.00,1.00,25.667,76.67,25.67
15100106,淑女光亮膏,,瓶,,0.70,0.80,-0.10,32.000,25.60,-3.20
15100107,太古糖霜,,罐,,0.50,0.60,-0.10,210.000,126.00,-21.00
15100109,铁塔淡奶油,1L,罐,,41.00,5.00,36.00,45.000,225.00,"1,620.00"
15100112,金钻忌廉,,盒,,16.00,5.00,11.00,19.333,95.87,212.67
15110051,雪菜,,斤,,2.00,0.60,1.40,3.000,1.80,4.20
15130018,百利鱼胶片,,盒,,1.60,0.50,1.10,170.000,85.00,187.00
15130019,黄原胶,,罐,,1.00,1.00, ,480.000,480.00, 
15130020,卡拉胶,,罐,,1.00,1.00, ,460.000,460.00, 
15130029,卡码黑朱古力,,块,,1.50,0.80,0.70,335.000,268.00,234.50
15130030,飞鹰黑朱古力,,块,,1.20,1.00,0.20,175.000,175.00,35.00
15130031,飞鹰白朱古力,,块,,0.20,0.30,-0.10,175.000,52.50,-17.50
15130032,铁塔忌廉芝士,,盒,,4.50,0.50,4.00,155.000,77.50,620.00
15130033,朱古力转印纸,,盒,,1.00,1.00, ,165.000,165.00, 
15130034,卡码白朱古力,,块,,1.00,0.80,0.20,335.000,268.00,67.00
15130036,朱古力装饰件,,盒,,2.00,0.60,1.40,45.000,27.00,63.00
15130039,马苏里拉芝士,,块,,0.10,1.00,-0.90,290.000,290.00,-261.00
1634,日本绿茶,,包,,1.57,0.50,1.07,110.778,55.39,118.53
Y1090012,昆明玫瑰,,支,,9.00,3.00,6.00,5.000,15.00,30.00
,食品,,,,,,,,"9,820.05","7,582.83"
合计,,,,,,,,,"29,892.44","41,899.29"
