物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07010062,笋壳鱼,,斤,,101.30,16.80,84.50,63.286,"1,063.20","5,347.64"
07010087,侧鱼,,斤,,96.30,6.00,90.30,13.500,81.00,"1,219.05"
07020005,河虾,,斤,,2.00,3.00,-1.00,24.000,72.00,-24.00
07030010,肉蟹,,斤,,13.40,2.00,11.40,61.500,123.00,701.10
07030011,羔蟹,,斤,,2.00,4.00,-2.00,105.000,420.00,-210.00
07050009,元贝,,斤,,30.00,7.50,22.50,38.000,285.00,855.00
07050019,北极贝,2斤,合,,8.00,3.00,5.00,178.000,534.00,890.00
07050042,白贝,,斤,,75.00,2.00,73.00,3.584,7.17,261.61
07060019,翡翠鲍鱼,8只/包,只,,200.00,72.00,128.00,54.000,"3,888.00","6,912.00"
0709,鲜海参（条）,,条,,394.00,38.00,356.00,28.972,"1,100.92","10,313.92"
,肉类,,,,,,,,"7,574.29","26,266.32"
08010002,一般花胶,,斤,,7.53,3.30,4.23,"1,982.503","6,542.26","8,385.99"
08010005,黄花胶,,斤,,4.97,0.57,4.40,596.000,339.72,"2,622.40"
08010015,阿巴公花胶,,斤,,2.70,1.60,1.10,"3,162.800","5,060.48","3,479.08"
08020001,花旗参片,,斤,,0.30, ,0.30,326.087, ,97.83
08030005,关东辽参,,斤,,6.94,1.76,5.18,"4,525.000","7,964.00","23,439.50"
08030007,关西辽参,,斤,,2.77,1.51,1.26,"1,837.736","2,774.98","2,315.55"
08040001,鸡蛋,,斤,,21.00, ,21.00,5.500, ,115.50
08040008,竹笙蛋,,斤,,9.00,2.00,7.00,30.000,60.00,210.00
08060001,雪蛤,,斤,,0.21,0.21, ,"2,038.360",428.06, 
,食品,,,,,,,,"23,169.50","40,665.84"
08050009,水咸鱼,,条,,7.00,4.00,3.00,60.000,240.00,180.00
08050010,大红咸鱼,,斤,,4.00,3.00,1.00,52.000,156.00,52.00
09010001,三黄鸡,,斤,,50.60,5.00,45.60,10.233,51.17,466.64
09010004,老鸡,,斤,,53.30, ,53.30,12.000, ,639.60
09010024,鸡油,,斤,,18.00, ,18.00,3.000, ,54.00
09010029,鸡脚,,斤,,5.00, ,5.00,12.800, ,64.00
09010033,凤中皇,,斤,,260.00,16.00,244.00,22.467,359.47,"5,481.87"
09010040,鸡壳,,斤,,693.70, ,693.70,8.000, ,"5,549.60"
09020004,水鸭,,只,,40.00,6.00,34.00,20.000,120.00,680.00
09020009,乳鸭,,只,,4.00,2.00,2.00,17.000,34.00,34.00
09030005,鹅肝,,斤,,91.20,50.00,41.20,140.000,"7,000.00","5,768.00"
09030007,进口鹅掌,,斤,,25.50,3.00,22.50,41.000,123.00,922.50
09030012,匈牙利鹅肝,,斤,,26.00,16.00,10.00,144.000,"2,304.00","1,440.00"
09030013,法国鹅肝,,斤,,47.00,40.00,7.00,230.003,"9,200.13","1,610.02"
09030014,潮州鹅,,斤,,55.30,5.00,50.30,30.600,153.00,"1,539.18"
09040002,猪赤肉,,斤,,911.70,36.00,875.70,12.733,458.40,"11,150.58"
09040004,猪肉眼,,斤,,7.20,2.00,5.20,12.000,24.00,62.40
09040009,无皮花肉,,斤,,10.00, ,10.00,11.750, ,117.50
09040010,猪一字梅,,斤,,15.00,12.00,3.00,12.400,148.80,37.20
09040036,猪排骨,,斤,,559.00,24.00,535.00,17.472,419.33,"9,347.64"
09040045,猪圆蹄,,斤,,2.70, ,2.70,11.000, ,29.70
09040047,猪脚,,斤,,4.70, ,4.70,10.000, ,47.00
09040051,猪皮,,斤,,1.00, ,1.00,3.500, ,3.50
09040080,一字枚,,斤,,22.70, ,22.70,12.500, ,283.75
09040084,无皮方花肉,,斤,,92.30,13.00,79.30,15.794,205.32,"1,252.47"
09040092,猪手尖,,斤,,29.10, ,29.10,12.750, ,371.03
09040093,乳猪,,斤,,107.20, ,107.20,23.333, ,"2,501.33"
09040095,奶猪,,斤,,24.00,12.00,12.00,23.333,280.00,280.00
09050001,牛肉,,斤,,5.20, ,5.20,24.038, ,125.00
09050005,牛坑腩,,斤,,12.00,3.00,9.00,25.000,75.00,225.00
09050026,牛横膈膜,,斤,,44.00,9.00,35.00,415.012,"3,735.11","14,525.42"
09050028,牛膀,,斤,,15.40,2.40,13.00,5.500,13.20,71.50
09100006,水蛇,,斤,,58.00,8.00,50.00,22.714,181.71,"1,135.71"
09110012,金华火腿,,斤,,80.00,100.00,-20.00,28.915,"2,891.50",-578.30
09110017,烟肉片,,斤,,,1.00,-1.00,63.000,63.00,-63.00
09110018,西班牙火腿,,斤,,11.00,5.00,6.00,343.090,"1,715.45","2,058.54"
09110019,湘西情腊肉,,斤,,3.00,3.00, ,35.000,105.00, 
09120013,黄花鱼,,斤,,19.00, ,19.00,22.667, ,430.67
09120034,海胆,60G,板,,25.00,9.00,16.00,26.600,239.40,425.60
09120040,金钱肚,,斤,,51.70,6.00,45.70,17.188,103.13,785.47
09120041,肥牛肉,,斤,,10.00,5.00,5.00,46.333,231.67,231.67
09120047,大鸡脚,,斤,,9.20, ,9.20,12.800, ,117.76
09120055,烟肉,2KG,包,,2.00, ,2.00,62.667, ,125.33
09120064,冻猪手,,斤,,10.00,12.00,-2.00,13.250,159.00,-26.50
09120086,鳄鱼肉,,斤,,6.40,2.00,4.40,74.000,148.00,325.60
09120094,帆立贝,2斤/盒,斤,,31.00, ,31.00,85.270, ,"2,643.37"
09120106,鸡胸肉,,斤,,42.00,6.00,36.00,9.000,54.00,324.00
09120148,冻金枪鱼腩,,斤,,25.30,20.00,5.30,524.219,"10,484.37","2,778.36"
09120180,猪颈肉,,斤,,6.00,5.00,1.00,17.750,88.75,17.75
09120182,牛肋骨,,斤,,11.60,11.60, ,62.000,719.20, 
09120190,美国牛仔骨,,斤,,111.00,20.00,91.00,64.300,"1,286.00","5,851.30"
09120192,西冷牛肉,,斤,,102.00,40.00,62.00,360.000,"14,400.00","22,320.00"
09120202,南美海椰皇,,斤,,4.00,4.00, ,160.000,640.00, 
09120211,樱花虾,0.5KG/包,斤,,6.50,1.00,5.50,181.840,181.84,"1,000.12"
09120219,七骨羊扒,,斤,,6.50,4.00,2.50,44.333,177.33,110.83
09120221,干龙趸皮,,斤,,16.95,9.50,7.45,700.000,"6,650.00","5,215.00"
09120223,红标牛小排,,斤,,241.30,75.00,166.30,104.333,"7,825.00","17,350.63"
09120248,蚬肉汤包,,包,,60.00,25.00,35.00,23.780,594.50,832.30
09120255,乌鱼籽,,斤,,19.00,18.00,1.00,"2,900.000","52,200.00","2,900.00"
09120256,A级大凤爪,,斤,,42.00,12.00,30.00,15.125,181.50,453.75
09120270,鲟龙鱼籽酱,50G,盒,,1.00,1.00, ,635.000,635.00, 
09120275,飞驒牛肉,,斤,,60.00,40.00,20.00,500.000,"20,000.00","10,000.00"
09120279,蟹钳0.5KG,0.5KG,包,,62.00,23.00,39.00,120.000,"2,760.00","4,680.00"
09120280,鹅头,,个,,1.00,2.50,-1.50,380.000,950.00,-570.00
09120281,九节虾,,斤,,3.00, ,3.00,55.000, ,165.00
09130004,喜知次鱼,,斤,,94.00,21.80,72.20,189.830,"4,138.29","13,705.73"
09130005,鲩鱼,,斤,,59.60,6.40,53.20,7.865,50.33,418.40
09130008,鱼卜,,斤,,15.90,3.00,12.90,27.000,81.00,348.30
09130029,去皮鲮鱼肉,,斤,,35.80,6.00,29.80,18.000,108.00,536.40
09130031,红鱼,,斤,,7.40, ,7.40,52.000, ,384.80
09140001,鹧鸪,4两以上,只,,10.00,10.00, ,17.000,170.00, 
09140007,蝎子,,斤,,0.18,0.18, ,460.000,82.80, 
09140010,田鸡,,斤,,28.00,3.00,25.00,5.214,15.64,130.36
09140022,草龟,,斤,,3.60,2.10,1.50,18.333,38.50,27.50
09140038,鹌鹑,,只,,5.00,10.00,-5.00,4.000,40.00,-20.00
,肉类,,,,,,,,"155,489.85","161,484.87"
10010015,厨上厨茉莉香米,,斤,,100.00,20.00,80.00,4.800,96.00,384.00
10010021,苏比利尔野米,,包,,10.00,4.00,6.00,71.000,284.00,426.00
10010027,岩米,,斤,,6.00,5.00,1.00,53.000,265.00,53.00
10010032,早丰黑米,3斤,包,,7.00,3.00,4.00,46.500,139.50,186.00
10010033,东坡红米,2.5斤,包,,1.50,0.50,1.00,20.000,10.00,20.00
10020009,肠粉,,斤,,65.00,2.00,63.00,1.522,3.04,95.87
10030006,丽歌意粉,,包,,2.40,1.00,1.40,42.500,42.50,59.50
10030019,粗面,,斤,,30.00,6.00,24.00,6.500,39.00,156.00
10030035,方包,,条,,4.00,1.00,3.00,20.000,20.00,60.00
10030039,燕麦,,斤,,12.00,5.00,7.00,3.460,17.30,24.22
10030057,挂面,,包,,2.00,3.00,-1.00,21.000,63.00,-21.00
10040004,花生油,,斤,,176.00,80.00,96.00,17.000,"1,360.00","1,632.00"
10040008,植之元大豆油,20L,桶,,37.00,6.00,31.00,155.000,930.00,"4,805.00"
10050051,薯片,,盒,,2.00, ,2.00,11.000, ,22.00
10050074,米线,,斤,,42.00,2.00,40.00,2.100,4.20,84.00
,粮油,,,,,,,,"3,273.54","7,986.59"
11010001,冬瓜,,斤,,35.00,8.00,27.00,1.400,11.20,37.80
11010002,南瓜,,斤,,217.00,12.00,205.00,2.130,25.56,436.65
11010003,茄瓜,,斤,,98.00,6.00,92.00,2.259,13.56,207.87
11010005,丝瓜,,斤,,18.00,3.00,15.00,3.373,10.12,50.60
11010006,凉瓜,,斤,,42.50,4.00,38.50,2.370,9.48,91.23
11010019,日本小青瓜,,斤,,2.00, ,2.00,3.500, ,7.00
11010022,太阳果,,只,,48.00,30.00,18.00,6.571,197.14,118.29
11010024,本地木瓜,,斤,,4.50, ,4.50,2.000, ,9.00
11010032,水果青瓜,,斤,,15.00, ,15.00,5.625, ,84.38
11010038,7两太阳果,,只,,270.00, ,270.00,6.050, ,"1,633.50"
11020006,鲜冬菇,,斤,,39.00,4.00,35.00,7.500,30.00,262.50
11020007,鲜松茸菌,,斤,,49.00,9.00,40.00,265.000,"2,385.00","10,600.00"
11020018,鲜竹笙,,斤,,10.00,2.00,8.00,45.333,90.67,362.67
11020021,杏鲍菇,,斤,,52.50, ,52.50,6.265, ,328.90
11020022,姬松茸,,斤,,2.70,1.10,1.60,140.000,154.00,224.00
11020033,白肉菇,,包,,7.00,4.00,3.00,4.500,18.00,13.50
11020040,云南鲜鸡枞菌,,斤,,6.00, ,6.00,190.000, ,"1,140.00"
11020041,云南鲜牛肝菌,,斤,,19.00, ,19.00,63.750, ,"1,211.25"
11020044,黑鸡枞,,斤,,38.40, ,38.40,59.091, ,"2,269.09"
11030005,荷兰豆,,斤,,5.00,1.00,4.00,7.944,7.94,31.78
11030007,龙牙豆,,斤,,9.00,2.00,7.00,4.100,8.20,28.70
11030018,山水豆腐,,合,,28.00,5.00,23.00,3.300,16.50,75.90
11030020,豆腐,,板,,1.00,0.50,0.50,6.500,3.25,3.25
11030028,甜蜜豆,,斤,,18.00,2.00,16.00,7.769,15.54,124.31
11030031,土豆,,斤,,2.00,3.00,-1.00,2.300,6.90,-2.30
11030032,厚豆腐,,板,,19.50, ,19.50,29.000, ,565.50
11040001,鲜花椒,,包,,5.00,1.00,4.00,18.000,18.00,72.00
11040002,湖南青椒,,斤,,58.00,3.00,55.00,4.967,14.90,273.17
11040004,指天椒,,斤,,9.00, ,9.00,6.000, ,54.00
11040005,红椒,,斤,,20.00,2.00,18.00,4.778,9.56,86.00
11040012,红彩椒,,斤,,27.40,2.00,25.40,5.552,11.10,141.02
11040013,黄彩椒,,斤,,29.50,2.00,27.50,5.548,11.10,152.57
11040014,红美人椒,,斤,,13.00,1.00,12.00,5.000,5.00,60.00
11040016,青椒,,斤,,16.00,3.00,13.00,2.831,8.49,36.80
11040020,杜远凉瓜,,斤,,18.50,2.00,16.50,6.500,13.00,107.25
11050002,莴笋头,,斤,,7.00, ,7.00,2.800, ,19.60
11050005,鲜露笋,,斤,,67.00,7.00,60.00,15.407,107.85,924.44
11050025,云南笋,,斤,,80.00, ,80.00,6.333, ,506.67
11060001,干水菜心,,斤,,125.60,5.00,120.60,6.431,32.15,775.52
11060004,干水通菜,,斤,,51.50,4.00,47.50,5.929,23.71,281.61
11060012,白菜苗,,斤,,134.80,4.00,130.80,4.350,17.40,568.98
11060014,干水小塘菜,,斤,,56.50,5.00,51.50,2.777,13.88,143.01
11060016,干水西生菜,,斤,,2.00, ,2.00,3.500, ,7.00
11060022,水东芥菜,,斤,,105.50,5.00,100.50,3.483,17.41,350.00
11060026,鲜黄花菜,,斤,,45.40,5.00,40.40,14.900,74.50,601.96
11060027,韭菜,,斤,,21.00,3.00,18.00,2.886,8.66,51.94
11060029,韭黄,,斤,,0.60, ,0.60,6.500, ,3.90
11060030,大豆芽,,斤,,102.00,4.00,98.00,2.284,9.14,223.86
11060036,萝卜苗,,斤,,125.70,8.00,117.70,4.889,39.11,575.42
11060037,夜香花,,斤,,10.80,2.00,8.80,20.000,40.00,176.00
11060038,鲜白果肉,,斤,,1.00,0.50,0.50,7.000,3.50,3.50
11060039,西芹,,斤,,49.70,5.00,44.70,3.226,16.13,144.22
11060040,香芹,,斤,,46.00,2.00,44.00,3.521,7.04,154.93
11060041,元茜,,斤,,34.10,0.50,33.60,6.088,3.04,204.55
11060042,意蕃茜,,斤,,1.50, ,1.50,22.500, ,33.75
11060044,西兰花,,斤,,16.50,2.00,14.50,5.346,10.69,77.52
11060049,辣椒叶,,斤,,418.60, ,418.60,8.279, ,"3,465.52"
11060052,鲜荷叶,,张,,7.00, ,7.00,10.000, ,70.00
11060055,薄荷叶,,斤,,0.50, ,0.50,8.125, ,4.06
11060058,番茄,,斤,,50.00,5.00,45.00,3.769,18.85,169.62
11060059,薯仔,,斤,,4.00, ,4.00,2.300, ,9.20
11060060,莲藕,,斤,,16.00,2.00,14.00,5.000,10.00,70.00
11060065,红洋葱,,斤,,120.20,3.00,117.20,2.500,7.50,293.00
11060066,干葱头,,斤,,72.00,2.00,70.00,5.000,10.00,350.00
11060067,京葱,,斤,,58.00,5.00,53.00,3.405,17.02,180.45
11060075,红萝卜,,斤,,86.90,4.00,82.90,2.300,9.20,190.67
11060076,白萝卜,,斤,,19.60,3.00,16.60,1.555,4.66,25.81
11060081,九芽生菜,,斤,,46.00, ,46.00,7.000, ,322.00
11060103,大白菜,,斤,,8.00, ,8.00,2.000, ,16.00
11060108,西柠,,斤,,,1.00,-1.00,20.000,20.00,-20.00
11060110,鲜花生,,斤,,3.00, ,3.00,5.000, ,15.00
11060111,九牙生菜,,斤,,,1.00,-1.00,7.059,7.06,-7.06
11060123,玉米条,,斤,,7.50,3.00,4.50,3.333,10.00,15.00
11060124,百合皇,,斤,,8.60,2.00,6.60,45.000,90.00,297.00
11060129,泰国芫西,,斤,,21.00, ,21.00,18.000, ,378.00
11060130,洛神花,,斤,,0.50,0.20,0.30,80.000,16.00,24.00
11060131,鲜荷叶,,斤,,1.70, ,1.70,7.400, ,12.58
,蔬菜,,,,,,,,"3,738.73","32,607.40"
10020038,灵芝孢子粉,,罐,,0.70,0.50,0.20,78.000,39.00,15.60
11060137,意大利黑醋,,支,,1.50,1.00,0.50,26.000,26.00,13.00
11060141,牛黄,,克,,33.00,21.00,12.00,300.000,"6,300.00","3,600.00"
