物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07050032,大海螺,,斤,,143.00,3.00,140.00,46.471,139.50,"6,505.88"
09030005,鹅肝,,斤,,6.80,5.00,1.80,140.000,700.00,252.00
09120001,冻三文鱼,,斤,,36.90,13.00,23.90,39.167,508.86,936.08
09120013,黄花鱼,,斤,,3.20,6.00,-2.80,21.000,126.00,-58.80
09120095,三文鱼籽,,斤,,2.40,1.40,1.00,190.000,266.00,190.00
09120122,鸭利,,斤,,55.00,12.00,43.00,28.000,336.00,"1,204.00"
09120209,海蜇丝,,斤,,220.00,116.00,104.00,12.500,"1,450.00","1,300.00"
09120239,红珊蚌,,盒,,15.00,4.00,11.00,73.333,293.04,806.67
09120273,阿拉斯加生冻皇帝蟹脚,,斤,,8.40,3.40,5.00,82.500,277.76,412.50
,肉类,,,,,, ,,"4,097.16","11,548.33"
10010008,红谷米,,斤,,5.00,5.00, ,7.000,35.00, 
10010017,糯米(斤),,斤,,2.70,2.70, ,4.400,11.88, 
10030023,春卷皮,,包,,5.00, ,5.00,18.000, ,90.00
10030055,越南春卷皮/干,,包,,5.50,4.50,1.00,18.000,81.00,18.00
11010004,青瓜,,斤,,, , ,1.800, , 
11010032,水果青瓜,,斤,,43.00,2.80,40.20,5.630,15.70,226.34
11030028,甜蜜豆,,斤,,16.00, ,16.00,8.088, ,129.41
11030044,鲜蚕豆,,斤,,10.00,3.00,7.00,5.500,16.50,38.50
11030046,进口厚腐皮,,斤,,4.00,1.20,2.80,26.500,31.80,74.20
,食品,,,,,, ,,191.88,576.46
11030052,毛豆,,斤,,4.00,2.00,2.00,6.000,12.00,12.00
11050002,莴笋头,,斤,,36.00,3.00,33.00,2.800,8.40,92.40
11050025,云南笋,,斤,,15.00,4.00,11.00,4.500,18.00,49.50
11060016,干水西生菜,,斤,,6.50, ,6.50,3.500, ,22.75
11060027,韭菜,,斤,,6.00,1.00,5.00,2.886,2.85,14.43
11060037,夜香花,,斤,,4.20,0.50,3.70,20.000,10.00,74.00
11060038,鲜白果肉,,斤,,1.80, ,1.80,7.000, ,12.60
11060040,香芹,,斤,,15.00, ,15.00,3.500, ,52.50
11060041,元茜,,斤,,, , ,5.000, , 
11060055,薄荷叶,,斤,,14.00,0.50,13.50,7.615,3.90,102.81
11060065,红洋葱,,斤,,25.00, ,25.00,2.500, ,62.50
11060075,红萝卜,,斤,,24.00, ,24.00,2.300, ,55.20
11060076,白萝卜,,斤,,21.00, ,21.00,1.525, ,32.03
11060110,鲜花生,,斤,,3.00, ,3.00,5.000, ,15.00
11060115,洋葱,,斤,,3.00,2.00,1.00,3.600,7.20,3.60
11060137,意大利黑醋,,支,,3.20, ,3.20,25.667, ,82.13
11060138,素鲍鱼,,只,,52.00,18.00,34.00,8.500,153.00,289.00
11060181,万年青,,斤,,23.00,13.80,9.20,28.000,386.40,257.60
11060192,红心番薯,,斤,,1.00, ,1.00,3.000, ,3.00
11060251,芝麻菜,,斤,,, , ,20.000, , 
11070069,鲜天麻,,斤,,2.50,2.50, ,42.000,105.00, 
,蔬菜,,,,,, ,,706.75,"1,233.04"
12030019,长城干红,750ml,支,,4.00, ,4.00,24.000, ,96.00
12030025,清酒,1.8升,支,,1.00, ,1.00,137.500, ,137.50
13020007,苹果醋,,支,,13.50,5.00,8.50,5.200,26.00,44.20
13020017,葡萄汁,,支,,3.00, ,3.00,34.500, ,103.50
14020012,芒果,,斤,,, , ,8.000, , 
14030002,新奇士橙,,斤,,39.70, ,39.70,13.000, ,516.10
14050004,泰国蜜柚,,只,,1.00, ,1.00,40.000, ,40.00
14060002,草莓,,合,,14.00, ,14.00,23.571, ,330.00
14070001,红提子,,斤,,, , ,20.000, , 
14070004,进口红提,,斤,,7.90, ,7.90,17.222, ,136.06
14080001,雪梨,,斤,,4.40, ,4.40,5.000, ,22.00
14090010,番茄仔,,斤,,4.80, ,4.80,4.000, ,19.20
14090039,百合番茄,黄色,斤,,1.00, ,1.00,9.000, ,9.00
14090058,红色百合番茄,,斤,,1.00, ,1.00,5.500, ,5.50
15010011,芥茉油,60毫升,支,,8.50,4.00,4.50,4.000,16.00,18.00
15010013,花椒油,360ml,瓶,,6.00, ,6.00,13.500, ,81.00
15010017,橄榄油,1公升,瓶,,1.00, ,1.00,36.000, ,36.00
15030004,麦牙糖,250g,罐,,1.00,0.70,0.30,3.000,2.10,0.90
15040007,四季宝花生酱,1kg,罐,,2.00,2.00, ,35.000,70.00, 
15040010,卡夫奇妙酱,700ml,瓶,,1.50,0.50,1.00,22.000,11.00,22.00
15040036,味可美草莓酱,,瓶,,5.00, ,5.00,8.900, ,44.50
15040063,蓝莓酱,340g,瓶,,, , ,38.000, , 
15040148,丘比蓝莓酱,,瓶,,7.00, ,7.00,17.000, ,119.00
