物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
09010001,三黄鸡,,斤,,128.50, ,128.50,10.000, ,"1,285.00"
09020002,光鸭,,斤,,143.70, ,143.70,9.500, ,"1,365.15"
09040002,猪赤肉,,斤,,58.00, ,58.00,12.769, ,740.62
09040009,无皮花肉,,斤,,144.90,25.00,119.90,11.450,285.28,"1,372.86"
09040036,猪排骨,,斤,,68.60, ,68.60,17.500, ,"1,200.50"
09040071,无皮上肉,,斤,,10.00, ,10.00,10.000, ,100.00
09120064,冻猪手,,斤,,45.00, ,45.00,13.000, ,585.00
09130005,鲩鱼,,斤,,115.50, ,115.50,7.767, ,897.05
,肉类,,,,,,,,285.28,"7,546.17"
10010016,厨上厨猫牙米,,包,,18.00,2.00,16.00,125.000,250.00,"2,000.00"
10020007,优质河粉,,斤,,60.00, ,60.00,1.700, ,102.00
10020009,肠粉,,斤,,35.00, ,35.00,1.500, ,52.50
10050074,米线,,斤,,65.00, ,65.00,2.100, ,136.50
17050009,福食虾子面,,斤,,65.00,16.00,49.00,13.333,103.70,653.33
17050011,福食东莞米粉,,包,,3.00, ,3.00,55.000, ,165.00
,粮油,,,,,,,,353.70,"3,109.33"
14090036,菠萝,,斤,,6.00, ,6.00,4.500, ,27.00
15040050,腐乳,335克,瓶,,46.00,32.00,14.00,4.800,153.60,67.20
15090006,绿豆,,斤,,15.00, ,15.00,5.875, ,88.13
15090107,红衣花生,,斤,,23.00, ,23.00,8.000, ,184.00
17070002,福食榨菜丝,,斤,,35.00,5.00,30.00,2.500,12.50,75.00
17070010,福食甜梅菜,,斤,,52.00,10.00,42.00,3.000,30.00,126.00
15120107,凉茶,,包,,10.00, ,10.00,1.500, ,15.00
,食品,,,,,,,,196.10,582.33
11010007,节瓜,,斤,,92.00, ,92.00,2.000, ,184.00
17010001,福食生菜,,斤,,35.00, ,35.00,2.200, ,77.00
17010003,福食茄瓜,,斤,,113.00, ,113.00,2.200, ,248.60
17010004,福食冬瓜,,斤,,124.70, ,124.70,1.211, ,151.03
17010005,福食油麦菜,,斤,,248.00, ,248.00,2.300, ,570.40
17010006,福食大白菜,,斤,,219.00, ,219.00,1.662, ,363.88
17010009,福食本地菜心,,斤,,176.00, ,176.00,3.300, ,580.80
17010010,福食青尖椒,,斤,,82.00, ,82.00,2.318, ,190.09
17010013,福食椰菜,,斤,,36.00, ,36.00,1.500, ,54.00
17010015,福食青瓜,,斤,,53.00, ,53.00,1.800, ,95.40
17010016,福食鲜冬菇,,斤,,55.00, ,55.00,6.500, ,357.50
17010020,福食肉姜,,斤,,3.00, ,3.00,9.000, ,27.00
17010021,福食葱肉,,斤,,3.00, ,3.00,5.000, ,15.00
17010024,福食椰菜花,,斤,,62.00, ,62.00,2.000, ,124.00
17010025,福食小白菜,,斤,,111.50, ,111.50,2.500, ,278.75
17010029,福食红萝卜,,斤,,12.00, ,12.00,2.000, ,24.00
17010035,福食沙葛,,斤,,20.00, ,20.00,2.600, ,52.00
17010038,福食奶白菜,,斤,,103.00, ,103.00,2.886, ,297.23
17010046,福食酸菜,,斤,,47.00, ,47.00,2.500, ,117.50
17010047,福食通菜,,斤,,206.00, ,206.00,2.050, ,422.30
17010048,福食大豆芽,,斤,,31.00, ,31.00,1.000, ,31.00
17010049,福食苋菜,,斤,,222.00, ,222.00,1.891, ,419.78
17010052,福食番薯苗,,斤,,77.00, ,77.00,2.750, ,211.75
17010053,福食潺菜,,斤,,36.00, ,36.00,2.067, ,74.40
17010056,福食凉瓜,,斤,,114.00, ,114.00,2.129, ,242.66
17010059,福食春菜,,斤,,177.00, ,177.00,2.657, ,470.31
17010060,福食白瓜,,斤,,123.00, ,123.00,2.129, ,261.81
17010061,福食海带丝,,斤,,9.00, ,9.00,2.800, ,25.20
17010065,福食细豆芽,,斤,,150.00, ,150.00,1.000, ,150.00
17010068,福食香脆片,,斤,,50.50,10.00,40.50,2.850,28.58,115.43
17010070,福食水东芥菜,,斤,,219.00, ,219.00,2.700, ,591.30
17010071,福食红洋葱,,斤,,35.50, ,35.50,2.000, ,71.00
17010078,福食上海青,,斤,,35.00, ,35.00,2.250, ,78.75
,蔬菜,,,,,,,,28.58,"6,973.86"
17020003,福食冻猪手,,斤,,70.00, ,70.00,13.000, ,910.00
17030003,福食咸鱼,,斤,,16.00,2.00,14.00,18.000,36.00,252.00
17030010,福食有皮花肉,,斤,,25.50, ,25.50,10.000, ,255.00
17030012,福食鸡翼尖,,斤,,49.70, ,49.70,9.000, ,447.30
17040001,福食鸡蛋,,斤,,547.60, ,547.60,5.739, ,"3,142.75"
17040006,福食鸡腿,,斤,,120.90, ,120.90,9.000, ,"1,088.10"
17040010,福食咸蛋,,只,,140.00, ,140.00,1.300, ,182.00
17040012,福食仓鱼,,斤,,70.90, ,70.90,9.000, ,638.10
17070006,福食腊肠,,斤,,6.00, ,6.00,16.500, ,99.00
17070007,福食腊肉,,斤,,6.00, ,6.00,32.500, ,195.00
,肉类,,,,,,,,36.00,"7,209.25"
合计,,,,,,,,,899.66,"50,285.33"
