物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
02010009,80-90克岩手大网鲍,,只,,5.00,5.00, ,"1,409.000","7,045.00", 
02010010,90-100克岩手大网鲍,,只,,3.00,3.00, ,"2,213.000","6,639.00", 
02010011,120-150克岩手大网鲍,,只,,2.00,2.00, ,"5,018.000","10,036.00", 
02010012,南非干鲍,8头,只,,2.00, ,2.00,280.000, ,560.00
02020002,26-30头吉品鲍,,斤,,1.00,0.96,0.04,"4,250.000","4,080.00",170.00
02020010,16头-20头吉品鲍,,斤,,0.91,0.67,0.24,"6,000.000","4,020.00","1,440.00"
02030005,10-13头南非网鲍,,斤,,1.87,1.24,0.63,"1,333.330","1,653.33",840.00
02030006,20头南非吉品鲍,,斤,,0.88,0.88, ,"2,103.200","1,850.81", 
02030008,25头南非吉品鲍,,斤,,0.09,0.09, ,"3,318.000",298.62, 
02050001,20-29克禾麻鲍,,斤,,1.12,1.12, ,"5,933.980","6,646.05", 
合计,,,,,,,,,"42,268.81","3,010.00"
03050003,12寸牙勾翅,,斤,,4.40,3.18,1.22,"1,013.310","3,222.33","1,236.24"
0308,23寸鬼春翅,,斤,,5.80,4.14,1.66,"1,766.665","7,313.99","2,932.66"
合计,,,,,,,,,"10,536.32","4,168.90"
0102,燕盏,,斤,,2.06,1.07,0.99,"2,880.000","3,081.60","2,851.20"
合计,,,,,,,,,"3,081.60","2,851.20"
0401,冬虫草,,斤,,0.03,0.01,0.02,"73,482.640",734.83,"1,469.65"
0403,冬虫草1500支,,斤,,0.05,0.05, ,"80,000.000","4,000.00", 
合计,,,,,,,,,"4,734.83","1,469.65"
总计,食品,,,,,,,,"60,621.56","11,499.75"
07010112,大鱼,,斤,,35.80,13.50,22.30,287.500,"2,337.05","3,860.45"
合计,肉类,,,,,,,,"2,337.05","3,860.45"
