物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07010001,大苏眉,,斤,,9.20, ,9.20,366.667, ,"3,373.33"
07010002,苏眉,,斤,,3.90, ,3.90,450.000, ,"1,755.00"
07010005,大龙趸,,斤,,233.00,13.00,220.00,39.192,509.09,"8,622.31"
07010008,大东星斑,,斤,,74.30,19.60,54.70,132.308,"2,595.20","7,237.23"
07010009,细东星斑,,斤,,20.00,1.90,18.10,153.846,291.54,"2,784.62"
07010013,老鼠斑,,斤,,28.00,1.20,26.80,238.409,286.20,"6,389.36"
07010127,次苏眉,,斤,,7.00, ,7.00,250.000, ,"1,750.00"
07010142,蓝东星,,斤,,120.40,13.80,106.60,81.360,"1,125.03","8,672.98"
07010146,大蓝东星,,斤,,9.60, ,9.60,65.000, ,624.00
07020001,波斯龙虾,,斤,,89.80,49.10,40.70,76.300,"3,723.38","3,105.41"
07020003,花龙虾,,斤,,92.90,31.00,61.90,307.229,"9,277.05","19,017.48"
07020010,斑马富贵虾,,斤,,23.50, ,23.50,154.000, ,"3,619.00"
07020024,青龙虾仔,,斤,,31.10,2.30,28.80,182.667,416.82,"5,260.80"
07030024,黄油蟹（只）,5-5.9两,只,,15.00, ,15.00,205.000, ,"3,075.00"
07030025,黄油蟹（只）,4-4.9两,只,,57.00,17.00,40.00,155.000,"2,635.00","6,200.00"
07030026,黄油蟹（只）,3-3.9两,只,,71.00,11.00,60.00,105.000,"1,155.00","6,300.00"
07040001,象拨蚌,,斤,,89.50,12.00,77.50,195.000,"2,338.93","15,112.50"
07050007,圣子王,,斤,,15.00, ,15.00,53.667, ,805.00
07060002,大连鲍(5只/斤),,斤,,57.26,6.53,50.73,98.000,639.94,"4,971.54"
07060009,南非鲜鲍(2只/斤),,斤,,51.60,3.00,48.60,195.000,600.56,"9,477.00"
07060013,南非鲜鲍（3只/斤）,,斤,,33.20,31.80,1.40,218.333,"6,791.25",305.67
09120225,特大九节虾,1KG 7只/盒,盒,,6.71, ,6.71,210.000, ,"1,409.10"
09120229,7头大虾,,盒,,30.00,10.14,19.86,210.000,"2,129.40","4,170.60"
合计,海鲜,,,,,,,,"34,514.39","124,037.92"
