物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07020023,大沙虾,,斤,,145.00,10.00,135.00,31.200,310.34,"4,189.66"
09110002,腊肉,,斤,,2.00, ,2.00,37.500, ,75.00
09110003,腊肠,,斤,,2.00,0.50,1.50,37.500,18.75,56.25
09120013,黄花鱼,,斤,,7.10,0.50,6.60,21.000,10.50,138.60
09120064,冻猪手,,斤,,42.00,25.00,17.00,13.000,325.00,221.00
09120111,珍珠蚝,,斤,,3.00,2.00,1.00,10.000,20.00,10.00
09120133,麻虾仁31-40,,斤,,100.00,50.00,50.00,45.000,"2,250.00","2,250.00"
09120206,凤爪,,斤,,192.00,31.00,161.00,22.800,706.80,"3,670.80"
09120211,樱花虾,0.5KG/包,斤,,3.50,1.50,2.00,181.840,272.76,363.68
09120222,虾饺馅,,斤,,32.00,4.50,27.50,54.500,245.25,"1,498.75"
09120224,珍珠蚝,,包,,13.00, ,13.00,9.750, ,125.00
09120260,烧卖馅,,斤,,42.00,6.00,36.00,34.300,205.80,"1,234.80"
,肉类,,,,,,,,"4,365.20","13,833.54"
10010020,五彩米,,包,,6.00,4.00,2.00,24.900,99.60,49.80
10010022,三象糯米粉,,包,,39.00,17.00,22.00,5.800,98.60,127.60
10010026,葛仙米,,斤,,0.80,0.80, ,"2,500.000","2,000.00", 
10010033,东坡红米,2.5斤,包,,2.50, ,2.50,20.000, ,50.00
10020015,红米粉,,斤,,8.00, ,8.00,20.000, ,160.00
10020022,粘米粉(斤),,斤,,57.00,15.00,42.00,5.000,75.00,210.00
10030030,金装油皮,500g,包,,8.00,3.00,5.00,15.000,45.00,75.00
10030031,白网皮,200g,包,,66.00,6.00,60.00,11.000,66.00,660.00
10030038,双箭澄面,,包,,1.00,1.50,-0.50,215.000,322.50,-107.50
,粮油,,,,,,,,"2,706.70","1,224.90"
10030046,金像面粉(斤),,斤,,80.00,80.00, ,3.200,256.00, 
10030047,美玫面粉(斤),,斤,,360.00,105.00,255.00,3.100,325.50,790.50
10030052,稻庭面,1KG,包,,136.00,89.00,47.00,103.000,"9,167.00","4,841.00"
10030072,方黄金网皮,,包,,8.50,2.00,6.50,20.000,40.00,130.00
10030073,麻薯粉,,包,,1.80,1.00,0.80,95.000,95.00,76.00
10050045,寿桃,,只,,30.00, ,30.00,5.000, ,150.00
10050047,小笼包馅,,斤,,90.00,8.00,82.00,15.400,123.20,"1,262.80"
10050049,猪皮冻,,斤,,77.00,7.00,70.00,18.000,126.00,"1,260.00"
10050066,排骨馅,,斤,,57.50,6.00,51.50,26.000,156.00,"1,339.00"
10050067,牛肉馅,,斤,,34.00,6.00,28.00,24.200,145.20,677.60
10050069,脆皮,,斤,,7.00,1.00,6.00,15.000,15.00,90.00
,食品,,,,,,,,"10,448.90","10,616.90"
11010004,青瓜,,斤,,29.50,6.00,23.50,1.857,11.04,43.26
11010016,小金瓜,,斤,,1.00,0.50,0.50,5.000,2.50,2.50
11010022,太阳果,,只,,60.00, ,60.00,6.500, ,390.00
11010038,7两太阳果,,只,,85.00,25.00,60.00,6.750,168.38,404.12
11020006,鲜冬菇,,斤,,26.00,3.00,23.00,7.500,22.50,172.50
11020008,翅鲍菇,,斤,,13.50, ,13.50,15.000, ,202.50
11020021,杏鲍菇,,斤,,166.00,18.00,148.00,6.500,117.00,962.00
11020028,百灵菇,,斤,,4.00,4.00, ,15.000,60.00, 
11060014,干水小塘菜,,斤,,24.00,3.00,21.00,2.757,8.21,57.49
11060015,干水奶白菜,,斤,,13.00,3.00,10.00,3.383,10.18,33.92
11060016,干水西生菜,,斤,,6.00,3.00,3.00,3.575,10.65,10.65
11060027,韭菜,,斤,,1.10, ,1.10,2.800, ,3.08
11060044,西兰花,,斤,,43.00,5.00,38.00,4.867,24.42,185.58
11060055,薄荷叶,,斤,,5.30,0.50,4.80,8.143,4.13,39.67
11060060,莲藕,,斤,,29.00,3.00,26.00,4.417,13.24,114.76
11060066,干葱头,,斤,,4.00, ,4.00,5.000, ,20.00
11060075,红萝卜,,斤,,3.00, ,3.00,2.300, ,6.90
11060076,白萝卜,,斤,,45.00,4.00,41.00,1.667,6.57,67.33
11060108,西柠,,斤,,5.00, ,5.00,20.000, ,100.00
11060129,泰国芫西,,斤,,1.00, ,1.00,18.000, ,18.00
11060154,手指萝卜,,斤,,2.00, ,2.00,9.000, ,18.00
11060174,九层塔,,斤,,0.50,0.50, ,20.000,10.00, 
11060197,精选蒜肉,,斤,,4.00, ,4.00,6.000, ,24.00
11060254,艾叶,,斤,,1.00, ,1.00,4.500, ,4.50
11060255,芥兰远,,斤,,25.50,2.00,23.50,5.000,10.00,117.50
11070015,姜肉,,斤,,12.00, ,12.00,10.000, ,120.00
11070057,大叶,,合,,20.00,3.00,17.00,7.000,21.00,119.00
11070073,冰鲜黑松露菌,,斤,,4.00,2.00,2.00,450.000,900.00,900.00
,蔬菜,,,,,,,,"1,399.82","4,137.26"
12030051,朗姆酒,,支,,1.20,1.00,0.20,92.500,90.83,18.17
12030053,咖啡酒,,支,,1.50,0.50,1.00,95.000,47.50,95.00
14020011,点心芒果,,斤,,7.80,1.00,6.80,8.000,8.00,54.40
14060002,草莓,,合,,18.00,2.00,16.00,23.125,46.67,373.33
