物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07010062,笋壳鱼,,斤,,102.30,17.00,85.30,63.500,"1,079.62","5,417.18"
07010064,山斑,,斤,,6.00, ,6.00,13.000, ,78.00
07010087,侧鱼,,斤,,109.60,10.00,99.60,13.500,135.00,"1,344.60"
07010145,红尾钳,,斤,,15.40, ,15.40,16.000, ,246.40
07020005,河虾,,斤,,4.00,2.00,2.00,24.000,47.00,47.00
07020023,大沙虾,,斤,,7.50, ,7.50,36.000, ,247.50
07030010,肉蟹,,斤,,11.00,6.00,5.00,65.000,390.00,325.00
07030011,羔蟹,,斤,,7.00,2.00,5.00,105.000,210.00,525.00
07030022,阿拉斯加蟹,,斤,,7.40, ,7.40,50.000, ,370.00
07050019,北极贝,2斤,合,,4.00,2.00,2.00,178.000,356.00,356.00
07050042,白贝,,斤,,75.00,3.00,72.00,3.609,10.96,263.04
07060009,南非鲜鲍(2只/斤),,斤,,0.40, ,0.40,215.000, ,86.00
07060019,翡翠鲍鱼,8只/包,只,,219.00,80.00,139.00,54.000,"4,320.00","7,506.00"
0709,鲜海参（条）,,条,,307.00,34.00,273.00,26.717,895.83,"7,192.97"
,肉类,,,,,,,,"7,444.41","24,004.69"
08010002,一般花胶,,斤,,5.73,2.83,2.90,"1,982.503","5,608.31","5,747.04"
08010005,黄花胶,,斤,,4.47,1.97,2.50,680.000,"1,339.60","1,700.00"
08010015,阿巴公花胶,,斤,,3.20,1.30,1.90,"3,162.800","4,111.64","6,009.32"
08020001,花旗参片,,斤,,0.50,0.30,0.20,326.087,97.82,65.22
08030005,关东辽参,,斤,,6.87,2.14,4.73,"4,500.000","9,630.00","21,285.00"
08030007,关西辽参,,斤,,2.63,0.67,1.96,"1,837.736","1,231.34","3,602.12"
08040008,竹笙蛋,,斤,,7.00,5.00,2.00,25.000,125.00,50.00
08050009,水咸鱼,,条,,4.00,2.00,2.00,60.000,120.00,120.00
08050010,大红咸鱼,,斤,,4.00,4.00, ,52.000,208.00, 
08060001,雪蛤,,斤,,0.22,0.22, ,"2,038.360",448.44, 
,食品,,,,,,,,"22,920.15","38,578.70"
09010001,三黄鸡,,斤,,31.50,9.00,22.50,10.500,94.50,236.25
09010004,老鸡,,斤,,58.90, ,58.90,12.000, ,706.80
09010024,鸡油,,斤,,33.00, ,33.00,3.000, ,99.00
09010033,凤中皇,,斤,,180.50,3.00,177.50,21.857,65.75,"3,890.25"
09010040,鸡壳,,斤,,507.90, ,507.90,8.000, ,"4,063.20"
09010044,脆皮鸡,,斤,,2.00, ,2.00,35.000, ,70.00
09010045,白切鸡,,只,,1.00, ,1.00,70.000, ,70.00
09020004,水鸭,,只,,29.00,4.00,25.00,20.000,80.00,500.00
09030005,鹅肝,,斤,,23.00,41.00,-18.00,140.000,"5,740.00","-2,520.00"
09030012,匈牙利鹅肝,,斤,,44.00,26.00,18.00,144.000,"3,744.00","2,592.00"
09030013,法国鹅肝,,斤,,52.00,47.00,5.00,230.003,"10,810.05","1,150.01"
09030014,潮州鹅,,斤,,15.70, ,15.70,30.000, ,471.00
09040002,猪赤肉,,斤,,897.30,33.00,864.30,12.952,427.51,"11,196.89"
09040006,有皮花肉,,斤,,3.20, ,3.20,11.500, ,36.80
09040009,无皮花肉,,斤,,8.30, ,8.30,12.500, ,103.75
09040010,猪一字梅,,斤,,21.20,15.00,6.20,12.400,185.80,76.80
09040036,猪排骨,,斤,,528.90,27.00,501.90,17.444,471.73,"8,769.02"
09040040,猪大骨,,斤,,14.50, ,14.50,11.000, ,159.50
09040045,猪圆蹄,,斤,,10.40, ,10.40,11.000, ,114.40
09040049,猪手,,斤,,18.20, ,18.20,12.000, ,218.40
09040051,猪皮,,斤,,2.70, ,2.70,3.500, ,9.45
09040080,一字枚,,斤,,19.20, ,19.20,13.000, ,249.60
09040084,无皮方花肉,,斤,,79.70,10.00,69.70,15.611,156.66,"1,091.94"
09040092,猪手尖,,斤,,3.60,27.00,-23.40,13.000,351.00,-304.20
09040095,奶猪,,斤,,42.00,24.00,18.00,23.333,560.00,420.00
09050005,牛坑腩,,斤,,6.70,4.00,2.70,24.000,96.00,64.80
09050026,牛横膈膜,,斤,,64.00,44.00,20.00,415.012,"18,260.54","8,300.24"
09050028,牛膀,,斤,,6.00,2.40,3.60,5.500,13.20,19.80
09100006,水蛇,,斤,,66.00,8.00,58.00,23.500,188.36,"1,365.64"
09110012,金华火腿,,斤,,123.00,80.00,43.00,28.915,"2,327.47","1,251.02"
09110017,烟肉片,,斤,,4.00, ,4.00,63.000, ,252.00
09110018,西班牙火腿,,斤,,15.60,11.00,4.60,343.090,"3,773.99","1,578.21"
09110019,湘西情腊肉,,斤,,3.00,3.00, ,35.000,105.00, 
09120002,冻银雪鱼,,斤,,10.00, ,10.00,95.000, ,950.00
09120013,黄花鱼,,斤,,8.00, ,8.00,22.000, ,176.00
09120034,海胆,60G,板,,36.00,15.00,21.00,26.375,396.25,554.75
09120040,金钱肚,,斤,,55.20,19.00,36.20,15.500,294.50,561.10
09120041,肥牛肉,,斤,,18.70,10.00,8.70,46.333,470.75,409.55
09120047,大鸡脚,,斤,,17.00, ,17.00,12.800, ,217.60
