物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07020023,大沙虾,,斤,,20.00, ,20.00,42.000, ,840.00
09020002,光鸭,,斤,,290.40, ,290.40,9.500, ,"2,758.80"
09040002,猪赤肉,,斤,,68.00, ,68.00,13.000, ,884.00
09040009,无皮花肉,,斤,,54.70, ,54.70,12.500, ,683.75
09040071,无皮上肉,,斤,,10.00,10.00, ,10.000,100.00, 
09120014,马交鱼,,斤,,61.00, ,61.00,9.500, ,579.50
09130005,鲩鱼,,斤,,62.30,10.00,52.30,7.900,79.17,414.07
,肉类,,,,,,,,179.17,"6,160.12"
10010016,厨上厨猫牙米,,包,,20.50,5.00,15.50,125.000,625.00,"1,937.50"
10020007,优质河粉,,斤,,60.00, ,60.00,1.700, ,102.00
10020009,肠粉,,斤,,53.00, ,53.00,1.500, ,79.50
10050007,咸肉粽,,只,,81.00, ,81.00,3.900, ,315.90
10050074,米线,,斤,,53.00, ,53.00,2.100, ,111.30
,粮油,,,,,,,,625.00,"2,546.20"
15040050,腐乳,335克,瓶,,33.00,10.00,23.00,4.800,48.00,110.40
15090006,绿豆,,斤,,15.00, ,15.00,5.500, ,82.50
15090107,红衣花生,,斤,,40.00, ,40.00,8.000, ,320.00
15110044,乌江榨菜,,包,,60.00, ,60.00,0.900, ,54.00
15120107,凉茶,,包,,25.00,10.00,15.00,1.500,15.00,22.50
,食品,,,,,,,,63.00,589.40
17010001,福食生菜,,斤,,43.00, ,43.00,2.200, ,94.60
17010004,福食冬瓜,,斤,,177.00, ,177.00,1.220, ,216.50
17010005,福食油麦菜,,斤,,155.00, ,155.00,2.300, ,356.50
17010006,福食大白菜,,斤,,219.00, ,219.00,1.500, ,328.50
17010009,福食本地菜心,,斤,,250.00, ,250.00,3.300, ,825.00
17010010,福食青尖椒,,斤,,60.00, ,60.00,2.000, ,120.00
17010015,福食青瓜,,斤,,100.00, ,100.00,1.800, ,180.00
17010016,福食鲜冬菇,,斤,,40.00, ,40.00,6.500, ,260.00
17010022,福食莲藕,,斤,,62.00, ,62.00,3.500, ,217.00
17010024,福食椰菜花,,斤,,185.00,25.00,160.00,2.000,50.00,320.00
17010029,福食红萝卜,,斤,,23.00, ,23.00,2.000, ,46.00
17010031,福食白豆角,,斤,,86.00, ,86.00,3.333, ,288.00
17010035,福食沙葛,,斤,,46.00, ,46.00,2.500, ,115.00
17010038,福食奶白菜,,斤,,152.00, ,152.00,2.800, ,425.60
17010047,福食通菜,,斤,,370.00, ,370.00,2.200, ,814.00
17010048,福食大豆芽,,斤,,131.00, ,131.00,1.000, ,131.00
17010049,福食苋菜,,斤,,190.00, ,190.00,2.000, ,380.00
17010052,福食番薯苗,,斤,,74.00, ,74.00,3.000, ,222.00
17010053,福食潺菜,,斤,,75.00, ,75.00,2.300, ,172.50
17010056,福食凉瓜,,斤,,88.00, ,88.00,2.300, ,202.40
17010059,福食春菜,,斤,,73.00, ,73.00,2.300, ,167.90
17010060,福食白瓜,,斤,,88.00, ,88.00,2.300, ,202.40
17010061,福食海带丝,,斤,,12.00, ,12.00,2.800, ,33.60
17010063,福食干水小塘菜,,斤,,41.00, ,41.00,2.000, ,82.00
17010065,福食细豆芽,,斤,,93.00, ,93.00,1.000, ,93.00
17010068,福食香脆片,,斤,,30.00,12.00,18.00,2.900,35.20,52.80
17010069,福食粉芋头,,斤,,31.00, ,31.00,4.800, ,148.80
17010070,福食水东芥菜,,斤,,109.00, ,109.00,2.500, ,272.50
17010078,福食上海青,,斤,,36.00, ,36.00,2.000, ,72.00
17010079,福食甜麦菜,,斤,,183.00, ,183.00,2.500, ,457.50
,蔬菜,,,,,,,,85.20,"7,297.10"
17020002,福食猪排骨,,斤,,91.00, ,91.00,17.500, ,"1,592.50"
17020003,福食冻猪手,,斤,,60.00, ,60.00,13.000, ,780.00
17030012,福食鸡翼尖,,斤,,50.00, ,50.00,9.000, ,450.00
17040001,福食鸡蛋,,斤,,528.60, ,528.60,6.000, ,"3,171.60"
17040006,福食鸡腿,,斤,,154.90, ,154.90,9.000, ,"1,394.10"
17040010,福食咸蛋,,只,,280.00, ,280.00,1.300, ,364.00
17040012,福食仓鱼,,斤,,67.40, ,67.40,9.000, ,606.60
17050009,福食虾子面,,斤,,18.00,4.00,14.00,18.000,28.44,99.56
17050011,福食东莞米粉,,包,,1.00,3.00,-2.00,55.000,165.00,-110.00
17070002,福食榨菜丝,,斤,,94.00,15.00,79.00,2.500,37.50,197.50
17070006,福食腊肠,,斤,,10.00,3.00,7.00,16.500,49.50,115.50
17070007,福食腊肉,,斤,,9.00,3.00,6.00,32.500,97.50,195.00
,肉类,,,,,,,,377.94,"8,856.36"
合计,,,,,,,,,"1,330.31","25,449.18"
