物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07050032,大海螺,,斤,,145.00,8.00,137.00,45.111,360.83,"6,179.17"
09030005,鹅肝,,斤,,49.80,6.80,43.00,140.000,952.00,"6,020.00"
09120001,冻三文鱼,,斤,,51.10,12.50,38.60,38.750,484.17,"1,495.13"
09120013,黄花鱼,,斤,,4.00,3.20,0.80,21.000,67.20,16.80
09120095,三文鱼籽,,斤,,1.60,0.40,1.20,190.000,76.00,228.00
09120122,鸭利,,斤,,48.00,15.00,33.00,28.000,420.00,924.00
09120209,海蜇丝,,斤,,118.00,20.00,98.00,12.500,250.00,"1,225.00"
09120239,红珊蚌,,盒,,11.00,3.00,8.00,75.000,225.00,600.00
09120273,阿拉斯加生冻皇帝蟹脚,,斤,,5.90,1.60,4.30,85.000,136.00,365.50
,肉类,,,,,,,,"2,971.20","17,053.60"
10010008,红谷米,,斤,,5.00,5.00, ,7.000,35.00, 
10010017,糯米(斤),,斤,,2.70,2.70, ,4.400,11.88, 
10030023,春卷皮,,包,,5.00, ,5.00,18.000, ,90.00
10030055,越南春卷皮/干,,包,,6.50,5.50,1.00,18.000,99.00,18.00
11010004,青瓜,,斤,,2.00, ,2.00,1.800, ,3.60
11010032,水果青瓜,,斤,,36.20,3.00,33.20,5.750,17.18,190.12
11030028,甜蜜豆,,斤,,10.00,1.00,9.00,5.938,5.95,53.55
11030046,进口厚腐皮,,斤,,4.50,2.00,2.50,26.500,53.00,66.25
,食品,,,,,,,,222.01,421.52
11050002,莴笋头,,斤,,35.00, ,35.00,2.800, ,98.00
11060027,韭菜,,斤,,16.20, ,16.20,2.800, ,45.36
11060040,香芹,,斤,,29.00, ,29.00,3.500, ,101.50
11060041,元茜,,斤,,4.00, ,4.00,5.000, ,20.00
11060055,薄荷叶,,斤,,15.30,0.50,14.80,8.500,4.25,125.80
11060065,红洋葱,,斤,,58.00, ,58.00,2.500, ,145.00
11060075,红萝卜,,斤,,37.50, ,37.50,2.300, ,86.25
11060076,白萝卜,,斤,,17.00, ,17.00,1.567, ,26.60
11060115,洋葱,,斤,,4.00,3.00,1.00,3.600,10.80,3.60
11060137,意大利黑醋,,支,,5.00,0.20,4.80,25.500,5.08,121.92
11060138,素鲍鱼,,只,,42.00,12.00,30.00,8.500,102.00,255.00
11060181,万年青,,斤,,14.00,13.00,1.00,28.000,364.00,28.00
11060192,红心番薯,,斤,,5.00, ,5.00,3.000, ,15.00
11060251,芝麻菜,,斤,,3.00, ,3.00,20.000, ,60.00
11070069,鲜天麻,,斤,,2.50,2.50, ,42.000,105.00, 
,蔬菜,,,,,,,,591.13,"1,132.03"
12030019,长城干红,750ml,支,,7.00, ,7.00,24.000, ,168.00
12030025,清酒,1.8升,支,,2.00, ,2.00,145.000, ,290.00
13020007,苹果醋,,支,,10.50,4.50,6.00,5.200,23.40,31.20
13020017,葡萄汁,,支,,4.00, ,4.00,33.000, ,132.00
14020012,芒果,,斤,,1.00, ,1.00,8.000, ,8.00
14030002,新奇士橙,,斤,,69.60,7.70,61.90,13.000,100.10,804.70
14060002,草莓,,合,,26.00, ,26.00,22.500, ,585.00
14070001,红提子,,斤,,1.00, ,1.00,20.000, ,20.00
14070004,进口红提,,斤,,3.70,0.50,3.20,19.500,9.86,63.14
14090010,番茄仔,,斤,,5.00,0.80,4.20,4.000,3.20,16.80
14090039,百合番茄,黄色,斤,,4.00,1.00,3.00,9.000,9.00,27.00
14090058,红色百合番茄,,斤,,4.00,1.00,3.00,5.500,5.50,16.50
15010011,芥茉油,60毫升,支,,14.00,8.50,5.50,4.000,34.00,22.00
15010013,花椒油,360ml,瓶,,9.00,6.00,3.00,13.500,81.00,40.50
15010017,橄榄油,1公升,瓶,,1.00,1.00, ,36.000,36.00, 
15030004,麦牙糖,250g,罐,,1.00,1.00, ,3.000,3.00, 
15040007,四季宝花生酱,1kg,罐,,2.00,2.00, ,35.000,70.00, 
15040010,卡夫奇妙酱,700ml,瓶,,1.50,0.50,1.00,22.000,11.00,22.00
15040036,味可美草莓酱,,瓶,,6.00,1.00,5.00,8.900,8.90,44.50
15040063,蓝莓酱,340g,瓶,,7.00, ,7.00,38.000, ,266.00
15040148,丘比蓝莓酱,,瓶,,1.00, ,1.00,17.000, ,17.00
15050016,宁化府陈醋,330ml,支,,26.50,6.00,20.50,10.750,64.50,220.37
15050019,宝鼎上海白醋,,支,,5.50,0.50,5.00,3.200,1.60,16.00
15060029,味淋,1.8l,瓶,,3.00, ,3.00,29.500, ,88.50
15060033,家乐浓缩鸡汁,1kg,瓶,,9.00,2.20,6.80,51.000,112.20,346.80
15060042,家乐辣鲜露,400毫升,支,,2.00,2.50,-0.50,15.000,37.50,-7.50
15060050,丘比凯撒沙拉汁,1kg,支,,1.00, ,1.00,60.000, ,60.00
15060062,东古一品鲜酱油,500ML,支,,5.50,0.50,5.00,7.167,3.59,35.91
15060063,丘比焙煎芝麻汁,1.5L,支,,2.50,1.50,1.00,60.000,90.00,60.00
15060069,家乐麻辣鲜露,400ml,支,,4.00, ,4.00,15.000, ,60.00
15070023,鱼胶粉,500克,盒,,1.50,1.10,0.40,52.000,57.20,20.80
15080113,靓老鼠耳,,斤,,11.80,0.70,11.10,125.000,87.50,"1,387.50"
15080120,椰丝,,斤,,0.80,0.80, ,12.000,9.60, 
15080126,冬菇仔,,斤,,1.60,0.40,1.20,52.000,20.80,62.40
15080127,小米椒,,斤,,4.00,2.00,2.00,4.000,8.00,8.00
15080139,山楂干,,斤,,0.40, ,0.40,15.000, ,6.00
15080178,小米辣椒,,斤,,8.00, ,8.00,4.000, ,32.00
15080185,外婆醉鱼,150G,包,,16.00,12.00,4.00,12.000,144.00,48.00
15090009,黑豆,,斤,,10.00,3.00,7.00,8.000,24.00,56.00
15090028,白芝麻,,斤,,2.00,1.10,0.90,11.000,12.10,9.90
15090042,大红枣,,斤,,1.00,0.90,0.10,35.000,31.50,3.50
15090107,红衣花生,,斤,,18.50,4.00,14.50,8.000,32.00,116.00
15100005,保利奶,1kg,罐,,30.50,5.50,25.00,16.000,88.00,400.00
15100018,豆豉鲮鱼,227g,罐,,1.00, ,1.00,8.000, ,8.00
15100071,桂花糖,300g,支,,2.00,1.00,1.00,5.000,5.00,5.00
15120102,虫草花,,斤,,0.40,0.40, ,80.000,32.00, 
15120165,小茴香,,斤,,0.70,0.60,0.10,11.000,6.60,1.10
1601,铁观音,,斤,,2.30,1.30,1.00,24.000,31.20,24.00
1611,红茶,,斤,,0.50,0.50, ,17.000,8.50, 
Y1090017,高山芷扬,,扎,,2.00,1.00,1.00,12.000,12.00,12.00
Y1090023,跳舞兰,,扎,,4.50,1.00,3.50,40.000,40.00,140.00
Y1090142,大菊花,,支,,199.00,30.00,169.00,2.500,75.00,422.50
,食品,,,,,,,,"1,429.35","6,217.12"
合计,,,,,,,,,"5,213.69","24,824.27"
