物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
10010019,鱼沼米,5KG,包,,19.00,5.00,14.00,364.780,"1,823.90","5,106.92"
15020013,黑盐,,瓶,,6.00,3.00,3.00, , , 
15040001,樱花芥辣,43g,支,,25.00,3.00,22.00,9.000,27.00,198.00
15040005,李锦记豆瓣酱,226克,支,,12.00, ,12.00,15.000, ,180.00
15050016,宁化府陈醋,330ml,支,,18.00,9.00,9.00,10.750,96.75,96.75
15060009,日本海鲜豉油,200ml,瓶,,14.00,2.00,12.00,19.000,38.00,228.00
15060016,泰国鱼露,725毫升,瓶,,2.00,1.00,1.00,8.000,8.00,8.00
15060048,海天罐装金标生抽,1.9l,罐,,14.00,6.00,8.00,16.600,99.60,132.80
15060063,丘比焙煎芝麻汁,1.5L,支,,1.00,1.00, ,60.000,60.00, 
15060090,辣椒浸蒜头,,斤,,3.50,28.00,-24.50,12.000,336.00,-294.00
合计,食品,,,,,,,,"2,489.25","5,656.47"
