物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
02010009,80-90克岩手大网鲍,,只,,5.00,5.00, ,"1,409.000","7,045.00", 
02010010,90-100克岩手大网鲍,,只,,3.00,3.00, ,"2,213.000","6,639.00", 
02010011,120-150克岩手大网鲍,,只,,2.00,2.00, ,"5,018.000","10,036.00", 
02020002,26-30头吉品鲍,,斤,,1.14,1.00,0.14,"4,250.000","4,250.00",595.00
02020009,21-25头吉品鲍,,斤,,0.44, ,0.44,"4,750.000", ,"2,090.00"
02020010,16头-20头吉品鲍,,斤,,1.00,0.91,0.09,"6,000.000","5,460.00",540.00
02030004,6头南非鲍,,斤,,3.20, ,3.20,"1,343.750", ,"4,300.00"
02030005,10-13头南非网鲍,,斤,,4.37,1.87,2.50,"1,508.523","2,801.44","3,745.25"
02030006,20头南非吉品鲍,,斤,,0.88,0.88, ,"2,103.200","1,850.81", 
02030008,25头南非吉品鲍,,斤,,0.09,0.09, ,"3,318.000",298.62, 
02050001,20-29克禾麻鲍,,斤,,1.12,1.12, ,"5,933.980","6,646.05", 
合计,,,,,,,,,"45,026.92","11,270.25"
03050003,12寸牙勾翅,,斤,,2.00,2.30,-0.30,"1,013.310","2,330.61",-303.99
0308,23寸鬼春翅,,斤,,4.80,2.40,2.40,"1,866.669","4,480.00","4,480.01"
合计,,,,,,,,,"6,810.61","4,176.02"
0102,燕盏,,斤,,1.56,1.06,0.50,"2,880.000","3,052.80","1,440.00"
合计,,,,,,,,,"3,052.80","1,440.00"
0401,冬虫草,,斤,,0.06,0.03,0.03,"73,482.640","2,204.48","2,204.48"
0403,冬虫草1500支,,斤,,0.05,0.05, ,"80,000.000","4,000.00", 
合计,,,,,,,,,"6,204.48","2,204.48"
总计,食品,,,,,,,,61094.81,19090.75
07010112,大鱼,,斤,,10.80,5.30,5.50,450.000,"2,385.00","2,475.00"
合计,肉类,,,,,,,,"2,385.00","2,475.00"
