物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07010001,大苏眉,,斤,,36.60, ,36.60,370.000, ,"13,396.00"
07010005,大龙趸,,斤,,208.60,35.70,172.90,39.385,"1,406.62","6,812.48"
07010008,大东星斑,,斤,,77.60,12.80,64.80,138.571,"1,719.42","8,704.58"
07010009,细东星斑,,斤,,35.10,1.60,33.50,152.222,243.33,"5,094.67"
07010013,老鼠斑,,斤,,29.30,3.10,26.20,239.231,741.67,"6,268.33"
07010041,三刀,,斤,,2.60, ,2.60,38.000, ,98.80
07010142,蓝东星,,斤,,94.70,11.50,83.20,78.857,904.93,"6,546.97"
07010146,大蓝东星,,斤,,9.60, ,9.60,65.000, ,624.00
07020001,波斯龙虾,,斤,,60.80,28.40,32.40,77.500,"2,206.14","2,516.86"
07020003,花龙虾,,斤,,82.20,14.00,68.20,321.679,"4,483.08","21,839.01"
07020010,斑马富贵虾,,斤,,38.30,2.40,35.90,156.250,382.84,"5,726.66"
07020024,青龙虾仔,,斤,,37.40,3.10,34.30,186.500,573.04,"6,340.46"
07020030,大红节虾,,斤,,0.40, ,0.40,170.000, ,68.00
07030013,奄仔蟹,,斤,,3.10, ,3.10,120.000, ,372.00
07040001,象拨蚌,,斤,,118.30,9.20,109.10,194.250,"1,784.47","21,161.53"
07040002,象拔蚌仔,,斤,,6.80, ,6.80,195.000, ,"1,326.00"
07060002,大连鲍(5只/斤),,斤,,58.17,8.16,50.01,98.000,799.68,"4,900.98"
07060009,南非鲜鲍(2只/斤),,斤,,42.50,1.20,41.30,186.667,226.80,"7,805.70"
07060013,南非鲜鲍（3只/斤）,,斤,,28.18, ,28.18,222.500, ,"6,136.40"
09120225,特大九节虾,1KG 7只/盒,盒,,25.00,6.71,18.29,210.000,"1,409.10","3,840.90"
09120229,7头大虾,,盒,,10.00, ,10.00,210.000, ,"2,100.00"
合计,海鲜,,,,,,,,"16,881.12","131,680.33"
