物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
10010019,鱼沼米,5KG,包,,13.00,4.00,9.00,373.427,"1,468.58","3,304.31"
11060201,精选手工蒜肉,,斤,,32.00, ,32.00,8.000, ,256.00
15020013,黑盐,,瓶,,13.00,7.00,6.00,50.000,376.92,323.08
15040001,樱花芥辣,43g,支,,17.00,8.00,9.00,9.000,72.00,81.00
15050016,宁化府陈醋,330ml,支,,9.00,4.00,5.00,10.750,43.00,53.75
15060009,日本海鲜豉油,200ml,瓶,,10.00,5.00,5.00,19.000,95.00,95.00
15060016,泰国鱼露,725毫升,瓶,,1.00, ,1.00,8.000, ,8.00
15060048,海天罐装金标生抽,1.9l,罐,,11.00,5.00,6.00,16.600,83.00,99.60
15060090,辣椒浸蒜头,,斤,,30.00,50.00,-20.00,12.000,600.00,-240.00
合计,食品,,,,,,,,"2,738.50","3,980.74"
