物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
09020002,光鸭,,斤,,119.00, ,119.00,8.000, ,952.00
09040009,无皮花肉,,斤,,92.30,10.00,82.30,13.063,128.62,"1,058.53"
09040010,猪一字梅,,斤,,21.00,5.00,16.00,14.250,71.25,228.00
09040071,无皮上肉,,斤,,12.80,4.00,8.80,10.000,40.00,88.00
09120223,红标牛小排,,斤,,53.00, ,53.00,85.000, ,"4,505.00"
09130005,鲩鱼,,斤,,68.30, ,68.30,7.300, ,498.59
,肉类,,,,,,,,239.87,"7,330.12"
10010004,东北大米,,斤,,50.00, ,50.00,2.700, ,135.00
10010016,厨上厨猫牙米,,包,,19.00, ,19.00,125.000, ,"2,375.00"
10020007,优质河粉,,斤,,48.00, ,48.00,1.700, ,81.60
10020009,肠粉,,斤,,60.00, ,60.00,1.500, ,90.00
10040008,植之元大豆油,20L,桶,,10.00, ,10.00,155.000, ,"1,550.00"
10050074,米线,,斤,,35.00, ,35.00,2.100, ,73.50
,粮油,,,,,,,, ,"4,305.10"
15040050,腐乳,335克,瓶,,25.00,18.00,7.00,4.800,86.40,33.60
15070125,客家鸡料,,盒,,1.00, ,1.00,9.000, ,9.00
15090006,绿豆,,斤,,25.00, ,25.00,5.000, ,125.00
15090107,红衣花生,,斤,,10.00, ,10.00,8.000, ,80.00
15110044,乌江榨菜,,包,,50.00,50.00, ,0.900,45.00, 
15120107,凉茶,,包,,20.00,10.00,10.00,1.450,14.50,14.50
,食品,,,,,,,,145.90,262.10
17010001,福食生菜,,斤,,284.00, ,284.00,1.800, ,511.20
17010002,福食白萝卜,,斤,,153.00, ,153.00,1.500, ,229.50
17010005,福食油麦菜,,斤,,259.00, ,259.00,1.800, ,466.20
17010006,福食大白菜,,斤,,243.00, ,243.00,1.400, ,340.20
17010008,福食西洋菜,,斤,,319.00, ,319.00,2.000, ,638.00
17010009,福食本地菜心,,斤,,221.00, ,221.00,3.800, ,839.80
17010010,福食青尖椒,,斤,,60.00, ,60.00,3.000, ,180.00
17010013,福食椰菜,,斤,,277.00, ,277.00,1.500, ,415.50
17010015,福食青瓜,,斤,,170.00,25.00,145.00,3.000,75.00,435.00
17010016,福食鲜冬菇,,斤,,55.00, ,55.00,6.500, ,357.50
17010018,福食小塘菜,,斤,,46.00, ,46.00,1.800, ,82.80
17010022,福食莲藕,,斤,,129.00, ,129.00,4.000, ,516.00
17010024,福食椰菜花,,斤,,175.00, ,175.00,2.200, ,385.00
17010025,福食小白菜,,斤,,290.00, ,290.00,1.800, ,522.00
17010029,福食红萝卜,,斤,,26.00, ,26.00,2.000, ,52.00
17010035,福食沙葛,,斤,,38.00, ,38.00,2.000, ,76.00
17010059,福食春菜,,斤,,192.00, ,192.00,2.200, ,422.40
17010061,福食海带丝,,斤,,3.00, ,3.00,2.800, ,8.40
17010062,福食莴笋,,斤,,40.00, ,40.00,2.200, ,88.00
17010065,福食细豆芽,,斤,,120.00, ,120.00,1.000, ,120.00
17010068,福食香脆片,,斤,,36.00,10.00,26.00,2.800,28.00,72.80
17010069,福食粉芋头,,斤,,133.00, ,133.00,4.500, ,598.50
17010070,福食水东芥菜,,斤,,119.00, ,119.00,2.300, ,273.70
,蔬菜,,,,,,,,103.00,"7,630.50"
17020002,福食猪排骨,,斤,,98.40, ,98.40,17.000, ,"1,672.80"
17020003,福食冻猪手,,斤,,80.00, ,80.00,13.500, ,"1,080.00"
17020008,福食一字梅,,斤,,22.80, ,22.80,14.000, ,319.20
17030005,福食鸭边,,斤,,168.50, ,168.50,4.500, ,758.25
17030012,福食鸡翼尖,,斤,,69.70,5.00,64.70,9.000,45.00,582.30
17040001,福食鸡蛋,,斤,,423.80, ,423.80,5.000, ,"2,119.00"
17040006,福食鸡腿,,斤,,142.00, ,142.00,9.000, ,"1,278.00"
17040010,福食咸蛋,,只,,340.00, ,340.00,1.300, ,442.00
17040012,福食仓鱼,,斤,,120.00, ,120.00,9.000, ,"1,080.00"
17050009,福食虾子面,,斤,,36.00,10.00,26.00,18.000,71.11,184.89
17050011,福食东莞米粉,,包,,2.00,0.50,1.50,55.000,27.50,82.50
17070002,福食榨菜丝,,斤,,65.00,5.00,60.00,2.500,12.50,150.00
17070006,福食腊肠,,斤,,12.00,3.00,9.00,16.500,49.50,148.50
17070007,福食腊肉,,斤,,12.00,3.00,9.00,32.500,97.50,292.50
,肉类,,,,,,,,303.11,"10,189.94"
合计,,,,,,,,,791.88,"29,717.76"
