物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额,,,,
02010009,80-90克岩手大网鲍,,只,,5.00,5.00, ,"1,409.000","7,045.00", ,,,,
02010010,90-100克岩手大网鲍,,只,,3.00,3.00, ,"2,213.000","6,639.00", ,,,,
02010011,120-150克岩手大网鲍,,只,,2.00,2.00, ,"5,018.000","10,036.00", ,,,,
02020002,26-30头吉品鲍,,斤,,1.14,1.14, ,"4,250.000","4,845.00", ,,,,
02020004,22-24克头吉品鲍,,斤,,0.23,0.09,0.14,"5,000.000",450.00,700.00,,,,
02020009,21-25头吉品鲍,,斤,,1.00,0.87,0.13,"4,750.000","4,132.50",617.50,,,,
02020010,16头-20头吉品鲍,,斤,,0.40,0.13,0.27,"6,000.000",780.00,"1,620.00",,,,
02030004,6头南非鲍,,斤,,3.24,3.20,0.04,"1,343.750","4,300.00",53.75,,,,
02030005,10-13头南非网鲍,,斤,,4.22,2.86,1.36,"1,858.910","5,316.48","2,528.12",,,,
02030006,20头南非吉品鲍,,斤,,1.45,1.26,0.19,"2,103.200","2,650.03",399.61,,,,
02030008,25头南非吉品鲍,,斤,,0.26,0.09,0.17,"3,318.000",298.62,564.06,,,,
02050001,20-29克禾麻鲍,,斤,,1.21,1.21, ,"5,933.980","7,180.11", ,,,,
02050002,30-39克禾麻鲍,,斤,,0.07,0.07, ,"6,500.000",455.00, ,,,,
合计,,,,,,,,,"54,127.74","6,483.04",,,,
0401,冬虫草,,斤,,0.10,0.077,0.023,"73,482.640","5,348.26","2,000.00",,,,
0403,冬虫草1500支,,斤,,0.06,0.057,0.003,"80,000.000","4,320.00",480.00,,,,
合计,,,,,,,,,"9,668.26","2,480.00",,,,
0102,燕盏,,斤,,1.26,0.72,0.54,"2,830.540","2,037.99","1,528.49",,,,
合计,,,,,,,,,"2,037.99","1,528.49",,,,
03050002,11寸牙勾翅,,斤,,1.50,1.50, ,"1,059.171","1,588.76", ,,,,
03050003,12寸牙勾翅,,斤,,2.20,1.00,1.20,"1,127.500","1,127.50","1,353.00",,,,
0308,23寸鬼春翅,,斤,,2.96,1.80,1.16,"1,866.671","3,360.01","2,165.34",,,,
合计,,,,,,,,,"6,076.27","3,518.34",,,,
总计,食品,,,,,,,,71910.26,14009.87,,,,
