物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07010001,大苏眉,,斤,,59.60,10.60,49.00,312.857,"3,468.12","16,031.88"
07010005,大龙趸,,斤,,108.40,13.00,95.40,38.125,496.72,"3,645.18"
07010006,老虎斑,,斤,,74.70,8.60,66.10,67.995,580.59,"4,462.41"
07010008,大东星斑,,斤,,101.50,22.60,78.90,148.376,"3,208.31","11,200.69"
07010009,细东星斑,,斤,,28.90,1.80,27.10,202.222,365.98,"5,510.02"
07010013,老鼠斑,,斤,,24.20,1.90,22.30,239.583,453.21,"5,319.29"
07010051,黄丁,,斤,,17.90, ,17.90,78.333, ,"1,410.00"
07010082,大老虎斑,,斤,,15.60, ,15.60,140.000, ,"2,184.00"
07010139,红玫瑰鱼,,斤,,9.00, ,9.00,180.000, ,"1,620.00"
07010142,蓝东星,,斤,,52.10,12.90,39.20,72.700,931.08,"2,829.32"
07010144,大黄丁,,斤,,8.10, ,8.10,90.000, ,712.00
07020001,波斯龙虾,,斤,,27.70,20.90,6.80,96.000,"2,008.81",653.59
07020003,花龙虾,,斤,,41.30,21.50,19.80,318.190,"6,378.50","5,874.15"
07020010,斑马富贵虾,,斤,,71.70, ,71.70,171.250, ,"12,282.00"
07020024,青龙虾仔,,斤,,30.50,8.50,22.00,178.333,"1,512.86","3,915.64"
07020030,大红节虾,,斤,,4.90,0.40,4.50,170.000,68.00,765.00
07040001,象拨蚌,,斤,,88.70,8.60,80.10,201.333,"1,735.76","16,166.74"
07050009,元贝,,斤,,6.90, ,6.90,35.000, ,241.50
07050048,龙趸螺,,斤,,4.00,1.00,3.00,80.000,80.00,240.00
07060002,大连鲍(5只/斤),,斤,,39.60,9.40,30.20,110.000,"1,039.22","3,338.78"
07060013,南非鲜鲍（3只/斤）,,斤,,24.00, ,24.00,210.000, ,"5,040.00"
09120225,特大九节虾,1KG 7只/盒,盒,,16.70,4.14,12.56,200.000,854.53,"2,592.47"
合计,海鲜,,,,,,,,"23,181.69","106,034.66"
