物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07010029,多宝鱼,,斤,,1.20, ,1.20,31.000, ,37.20
07010062,笋壳鱼,,斤,,127.30,20.30,107.00,64.000,"1,304.75","6,877.25"
07010064,山斑,,斤,,34.30,13.00,21.30,12.611,163.67,268.18
07010087,侧鱼,,斤,,112.50,10.00,102.50,13.111,131.18,"1,344.57"
07010143,大连海胆,,只,,10.00,8.00,2.00,22.000,176.00,44.00
07020005,河虾,,斤,,22.00,6.00,16.00,20.200,118.91,317.09
07030011,羔蟹,,斤,,2.30,2.30, ,115.000,264.50, 
07050019,北极贝,2斤,合,,2.00,1.00,1.00,181.500,181.50,181.50
07050025,生蚝,,只,,18.00, ,18.00,9.000, ,162.00
07050032,大海螺,,斤,,11.20, ,11.20,43.333, ,499.00
07050042,白贝,,斤,,40.00,8.00,32.00,3.132,24.90,99.60
,肉类,,,,,,,,"2,365.41","9,830.39"
07060011,大连鲍12头,,斤,,4.20,2.50,1.70,57.500,144.05,97.95
07060018,7头大连鲍,,斤,,11.90,3.00,8.90,80.000,240.00,712.00
07060019,翡翠鲍鱼,8只/包,只,,172.00,159.00,13.00,54.000,"8,586.00",702.00
08010002,一般花胶,,斤,,6.67,2.67,4.00,"1,983.320","5,295.47","7,933.28"
08010005,黄花胶,,斤,,5.03,1.13,3.90,680.000,768.40,"2,652.00"
08010015,阿巴公花胶,,斤,,4.78,2.60,2.18,"3,154.534","8,207.09","6,881.33"
08020001,花旗参片,,斤,,2.50,1.00,1.50,326.089,326.09,489.13
08020005,山参,,斤,,1.40,1.00,0.40, , , 
08030005,关东辽参,,斤,,13.35,3.03,10.32,"4,400.000","13,419.38","45,705.62"
08030007,关西辽参,,斤,,4.30,2.40,1.90,"1,844.970","4,427.93","3,505.44"
08050010,大红咸鱼,,斤,,8.30, ,8.30,52.000, ,431.60
08060001,雪蛤,,斤,,0.22,0.22, ,"2,038.360",448.44, 
,食品,,,,,,,,"41,862.85","69,110.35"
09010003,清远鸡,,斤,,7.00, ,7.00,15.500, ,108.50
09010004,老鸡,,斤,,704.80,30.00,674.80,11.000,330.00,"7,422.80"
09010024,鸡油,,斤,,16.00, ,16.00,3.000, ,48.00
09010033,凤中皇,,斤,,105.50,10.00,95.50,18.278,181.23,"1,730.77"
09010040,鸡壳,,斤,,310.60, ,310.60,7.000, ,"2,174.20"
09020004,水鸭,,只,,19.00,5.00,14.00,20.000,100.00,280.00
09020013,青头鸭,,斤,,1.00, ,1.00,35.000, ,35.00
09030005,鹅肝,,斤,,107.60,52.80,54.80,140.000,"7,392.00","7,672.00"
09030013,法国鹅肝,,斤,,17.20,17.20, ,140.000,"2,408.00", 
09040002,猪赤肉,,斤,,807.60,45.00,762.60,12.533,563.84,"9,555.16"
09040009,无皮花肉,,斤,,70.00,11.00,59.00,12.500,137.50,737.50
09040010,猪一字梅,,斤,,20.10,15.00,5.10,14.167,210.56,71.59
09040036,猪排骨,,斤,,62.80,9.00,53.80,17.000,153.00,914.60
09040037,猪肋排,,斤,,5.00, ,5.00,21.000, ,105.00
09040045,猪圆蹄,,斤,,3.00, ,3.00,12.000, ,36.00
09040047,猪脚,,斤,,6.50, ,6.50,10.000, ,65.00
09040051,猪皮,,斤,,2.40, ,2.40,3.500, ,8.40
09040095,奶猪,,斤,,95.00,45.00,50.00,23.750,"1,053.95","1,171.05"
09050012,牛孖根,,斤,,5.00,3.00,2.00,22.000,66.00,44.00
09050026,牛横膈膜,,斤,,93.00,52.00,41.00,413.946,"21,519.43","16,967.24"
09100006,水蛇,,斤,,44.00,5.00,39.00,40.600,203.86,"1,590.14"
09110003,腊肠,,斤,,3.00,2.00,1.00,55.000,110.00,55.00
09110012,金华火腿,,斤,,115.00,72.00,43.00,28.915,"2,066.71","1,234.29"
09110018,西班牙火腿,,斤,,18.00,17.00,1.00,343.090,"5,832.53",343.09
09110019,湘西情腊肉,,斤,,3.00,3.00, ,35.000,105.00, 
09120002,冻银雪鱼,,斤,,10.00,10.00, ,95.000,950.00, 
09120013,黄花鱼,,斤,,11.70, ,11.70,20.000, ,234.00
09120020,九肚鱼,,斤,,6.00,5.00,1.00,10.000,50.00,10.00
09120034,海胆,60G,板,,32.00,18.00,14.00,28.000,504.00,392.00
09120040,金钱肚,,斤,,61.00,12.00,49.00,15.500,186.00,759.50
09120041,肥牛肉,,斤,, ,3.00,-3.00,47.800,143.40,
09120047,大鸡脚,,斤,,4.00, ,4.00,12.800, ,51.20
09120055,烟肉,2KG,包,,3.00,1.00,2.00,63.000,63.00,126.00
