物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07050032,大海螺,,斤,,200.10,9.00,191.10,45.000,405.00,"8,599.50"
09120001,冻三文鱼,,斤,,30.90,13.00,17.90,41.000,537.00,739.40
09120013,黄花鱼,,斤,,4.00,2.80,1.20,19.000,53.20,22.80
09120095,三文鱼籽,,斤,,2.00,1.90,0.10,172.500,327.75,17.25
09120122,鸭利,,斤,,56.00,8.00,48.00,31.000,248.00,"1,488.00"
09120209,海哲丝,,斤,,129.00,53.00,76.00,12.500,662.50,950.00
09120239,红珊蚌,,盒,,12.00,3.00,9.00,78.333,235.00,705.00
,肉类,,,,,,,,"2,468.45","12,521.95"
10010008,红谷米,,斤,,5.20,5.00,0.20,7.000,35.00,1.40
10010017,糯米(斤),,斤,,6.30,5.00,1.30,4.400,22.00,5.72
10030023,春卷皮,,包,,5.00, ,5.00,18.000, ,90.00
10030055,越南春卷皮/干,,包,,14.50,8.00,6.50,17.333,139.03,112.97
11030046,进口厚腐皮,,斤,,4.50,1.20,3.30,26.500,31.80,87.45
11060137,意大利黑醋,,支,,1.00, ,1.00,27.000, ,27.00
,食品,,,,,,,,227.83,324.54
11010004,青瓜,,斤,,3.00, ,3.00,3.000, ,9.00
11010032,水果青瓜仔,,斤,,43.50,5.50,38.00,7.643,42.89,296.36
11020006,鲜冬菇,,斤,,2.00, ,2.00,7.500, ,15.00
11030005,荷兰豆,,斤,,1.00, ,1.00,7.000, ,7.00
11030016,豆腐皮,,斤,,4.50,0.50,4.00,4.000,2.00,16.00
11030028,甜蜜豆,,斤,,13.00,0.50,12.50,7.089,3.53,88.27
11050002,莴笋头,,斤,,18.00,1.00,17.00,2.500,2.50,42.50
11060027,韭菜,,斤,,8.00, ,8.00,2.840, ,22.60
11060039,西芹,,斤,,3.00, ,3.00,2.800, ,8.40
11060040,香芹,,斤,,35.50, ,35.50,3.500, ,124.25
11060055,薄荷叶,,斤,,5.50,0.50,5.00,10.125,5.05,50.45
11060060,莲藕,,斤,,15.00, ,15.00,3.900, ,62.50
11060063,紫心番薯,,斤,,4.00, ,4.00,3.800, ,15.20
11060065,红洋葱,,斤,,64.00, ,64.00,2.300, ,147.20
11060075,红萝卜,,斤,,86.00,2.00,84.00,2.311,4.61,193.59
11060076,白萝卜,,斤,,18.00,2.40,15.60,1.600,3.84,24.96
11060115,洋葱,,斤,,5.00,5.00, ,3.600,18.00, 
11060138,素鲍鱼,,只,,44.00,5.00,39.00,8.000,40.00,312.00
11060174,九层塔,,斤,,0.50, ,0.50,22.000, ,11.00
11060181,万年春,,斤,,23.80,10.20,13.60,28.000,285.60,380.80
11060251,芝麻菜,,斤,,4.00, ,4.00,20.000, ,80.00
11070069,鲜天麻,,斤,,2.50,2.50, ,42.000,105.00, 
11070081,广西老淮山,,斤,,6.00, ,6.00,5.000, ,30.00
17010071,福食红洋葱,,斤,,5.00, ,5.00,2.300, ,11.50
,蔬菜,,,,,,,,513.02,"1,948.58"
12030019,长城干红,750ml,支,,3.00, ,3.00,24.000, ,72.00
13020007,苹果醋,,支,,17.50,3.00,14.50,5.200,15.60,75.40
13020017,葡萄汁,,支,,2.00, ,2.00,33.000, ,66.00
14020012,芒果,,斤,,3.10, ,3.10,8.000, ,24.80
14030002,新奇士橙,,斤,,51.70,4.80,46.90,10.000,48.00,469.00
14060002,草莓,,合,,28.50, ,28.50,7.154, ,203.00
14070001,红提子,,斤,,1.00, ,1.00,15.000, ,15.00
14070004,进口红提,,斤,,7.60, ,7.60,19.000, ,144.40
