物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07020023,大沙虾,,斤,,126.00,7.00,119.00,42.857,300.67,"5,111.33"
09010025,鸡腿肉,,斤,,1.00, ,1.00,7.000, ,7.00
09120013,黄花鱼,,斤,,4.70,4.00,0.70,21.000,84.00,14.70
09120064,冻猪手,,斤,,29.80,10.00,19.80,13.000,130.00,257.40
09120111,珍珠蚝,,斤,,0.30, ,0.30,10.000, ,3.00
09120133,麻虾仁31-40,,斤,,139.20,100.00,39.20,45.000,"4,500.00","1,764.00"
09120136,白虾仁31-40,,斤,,9.00, ,9.00,52.500, ,472.50
09120206,凤爪,,斤,,187.00,6.00,181.00,22.800,136.80,"4,126.80"
09120211,樱花虾,0.5KG/包,斤,,2.00,1.50,0.50,181.840,272.76,90.92
09120222,虾饺馅,,斤,,33.00,5.00,28.00,54.500,272.50,"1,526.00"
09120224,珍珠蚝,,包,,12.50,2.00,10.50,10.000,20.00,105.00
09120260,烧卖馅,,斤,,49.00,10.00,39.00,34.300,343.00,"1,337.70"
,肉类,,,,,,,,"6,059.73","14,816.35"
10010020,五彩米,,包,,11.00,6.00,5.00,24.900,149.40,124.50
10010022,三象糯米粉,,包,,44.00,19.00,25.00,5.800,110.20,145.00
10010026,葛仙米,,斤,,0.80,0.80, ,"2,500.000","2,000.00", 
10010032,早丰黑米,3斤,包,,0.20, ,0.20,46.500, ,9.30
10010033,东坡红米,2.5斤,包,,3.50,1.50,2.00,20.000,30.00,40.00
10020015,红米粉,,斤,,4.50,3.00,1.50,20.000,60.00,30.00
10020022,粘米粉(斤),,斤,,61.00,17.00,44.00,5.000,85.00,220.00
,粮油,,,,,,,,"2,434.60",568.80
10030031,白网皮,200g,包,,59.00,12.00,47.00,11.000,132.00,517.00
10030046,金像面粉(斤),,斤,,155.00,80.00,75.00,3.200,256.00,240.00
10030047,美玫面粉(斤),,斤,,180.00,60.00,120.00,3.100,186.00,372.00
10030052,稻庭面,1KG,包,,207.00,156.00,51.00,103.000,"16,068.00","5,253.00"
10030072,方黄金网皮,,包,,7.50,1.50,6.00,20.000,30.00,120.00
10030073,麻薯粉,,包,,1.80,0.80,1.00,95.000,76.00,95.00
10030074,饺子皮,,斤,,6.00, ,6.00,3.000, ,18.00
10050047,小笼包馅,,斤,,86.00,12.00,74.00,15.400,184.80,"1,139.60"
10050049,猪皮冻,,斤,,74.00,7.00,67.00,18.000,126.00,"1,206.00"
10050066,排骨馅,,斤,,66.50,6.50,60.00,26.000,169.00,"1,560.00"
10050067,牛肉馅,,斤,,39.50,4.00,35.50,24.200,96.80,859.10
10050069,脆皮,,斤,,7.00,5.00,2.00,15.000,75.00,30.00
,食品,,,,,,,,"17,399.60","11,409.70"
11010004,青瓜,,斤,,16.10,3.00,13.10,2.325,6.97,30.45
11010022,太阳果,,只,,50.00, ,50.00,7.000, ,350.00
11010038,7两太阳果,,只,,158.00,40.00,118.00,7.000,280.00,826.00
11020006,鲜冬菇,,斤,,33.00,3.00,30.00,7.500,22.50,225.00
11020021,杏鲍菇,,斤,,108.00,15.00,93.00,6.500,97.50,604.50
