物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
10010019,鱼沼米,5KG,包,,19.00,4.00,15.00,364.567,"1,458.22","5,468.34"
11060201,精选手工蒜肉,,斤,,59.00, ,59.00,8.000, ,472.00
15020013,黑盐,,瓶,,9.00,6.00,3.00, , , 
15040001,樱花芥辣,43g,支,,12.00,4.00,8.00,9.000,36.00,72.00
15050016,宁化府陈醋,330ml,支,,9.00,6.00,3.00,10.750,64.50,32.25
15060009,日本海鲜豉油,200ml,瓶,,11.00,4.00,7.00,19.000,76.00,133.00
15060016,泰国鱼露,725毫升,瓶,,2.00,1.00,1.00,8.000,8.00,8.00
15060048,海天罐装金标生抽,1.9l,罐,,11.00,2.00,9.00,16.600,33.20,149.40
15060090,辣椒浸蒜头,,斤,,35.00,3.50,31.50,12.000,42.00,378.00
合计,食品,,,,,,,,"1,717.92","6,712.99"
