物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
09020002,光鸭,,斤,,313.30, ,313.30,9.000, ,"2,819.70"
09040002,猪赤肉,,斤,,50.00, ,50.00,11.500, ,575.00
09040009,无皮花肉,,斤,,31.80, ,31.80,11.500, ,365.70
09040036,猪排骨,,斤,,25.00, ,25.00,16.000, ,400.00
09040071,无皮上肉,,斤,,10.00,10.00, ,10.000,100.00, 
09130005,鲩鱼,,斤,,146.20, ,146.20,7.567, ,"1,108.75"
,肉类,,,,,,,,100.00,"5,269.15"
10010016,厨上厨猫牙米,,包,,20.00,3.50,16.50,125.000,437.50,"2,062.50"
10020007,优质河粉,,斤,,75.00, ,75.00,1.700, ,127.50
10020009,肠粉,,斤,,55.00, ,55.00,1.500, ,82.50
10040008,植之元大豆油,20L,桶,,10.00, ,10.00,155.000, ,"1,550.00"
10050074,米线,,斤,,45.00, ,45.00,2.100, ,94.50
,粮油,,,,,,,,437.50,"3,917.00"
15030003,冰片糖,9.6千克,件,,2.00, ,2.00,68.000, ,136.00
15040050,腐乳,335克,瓶,,45.00,33.00,12.00,4.800,158.40,57.60
15090006,绿豆,,斤,,21.00, ,21.00,5.500, ,115.50
15090107,红衣花生,,斤,,10.00, ,10.00,8.000, ,80.00
15110044,乌江榨菜,,包,,150.00,60.00,90.00,0.900,54.00,81.00
15120107,凉茶,,包,,20.00,5.00,15.00,1.500,7.50,22.50
,食品,,,,,,,,219.90,492.60
17010001,福食生菜,,斤,,114.00, ,114.00,2.200, ,250.80
17010005,福食油麦菜,,斤,,365.60, ,365.60,2.200, ,804.32
17010006,福食大白菜,,斤,,143.00, ,143.00,1.500, ,214.50
17010008,福食西洋菜,,斤,,35.50, ,35.50,2.000, ,71.00
17010009,福食本地菜心,,斤,,248.00, ,248.00,3.300, ,818.40
17010010,福食青尖椒,,斤,,52.00, ,52.00,2.800, ,145.60
17010013,福食椰菜,,斤,,102.00, ,102.00,1.500, ,153.00
17010015,福食青瓜,,斤,,166.50, ,166.50,2.000, ,333.00
17010016,福食鲜冬菇,,斤,,50.00, ,50.00,6.500, ,325.00
17010022,福食莲藕,,斤,,81.00, ,81.00,3.500, ,283.50
17010023,福食南瓜,,斤,,31.00, ,31.00,2.300, ,71.30
17010024,福食椰菜花,,斤,,169.00, ,169.00,1.900, ,322.50
17010025,福食小白菜,,斤,,77.90, ,77.90,2.000, ,155.80
17010029,福食红萝卜,,斤,,32.00, ,32.00,2.000, ,64.00
17010031,福食白豆角,,斤,,122.00,60.00,62.00,3.500,210.00,217.00
17010035,福食沙葛,,斤,,48.00, ,48.00,2.200, ,105.60
17010038,福食奶白菜,,斤,,47.00, ,47.00,2.500, ,117.50
17010047,福食通菜,,斤,,225.00, ,225.00,2.800, ,630.00
17010048,福食大豆芽,,斤,,67.00, ,67.00,1.000, ,67.00
17010049,福食苋菜,,斤,,247.00, ,247.00,2.500, ,617.50
17010053,福食潺菜,,斤,,36.00, ,36.00,2.800, ,100.80
17010059,福食春菜,,斤,,213.00, ,213.00,2.000, ,426.00
17010061,福食海带丝,,斤,,9.00, ,9.00,2.800, ,25.20
17010062,福食莴笋,,斤,,40.00, ,40.00,2.500, ,100.00
17010065,福食细豆芽,,斤,,93.00, ,93.00,1.000, ,93.00
17010068,福食香脆片,,斤,,45.50,10.00,35.50,2.800,28.00,99.40
17010069,福食粉芋头,,斤,,102.10, ,102.10,5.000, ,510.50
17010070,福食水东芥菜,,斤,,236.00, ,236.00,2.300, ,542.80
17010078,福食上海青,,斤,,81.00, ,81.00,2.000, ,162.00
,蔬菜,,,,,,,,238.00,"7,827.02"
17020002,福食猪排骨,,斤,,114.30, ,114.30,16.000, ,"1,828.80"
17020003,福食冻猪手,,斤,,45.70, ,45.70,13.000, ,594.10
17030012,福食鸡翼尖,,斤,,45.00, ,45.00,8.600, ,385.00
17030016,福食猪手,,斤,,20.00, ,20.00,13.000, ,260.00
17040001,福食鸡蛋,,斤,,432.40, ,432.40,5.200, ,"2,248.48"
17040006,福食鸡腿,,斤,,190.40, ,190.40,9.000, ,"1,713.60"
17040010,福食咸蛋,,只,,400.00, ,400.00,1.300, ,520.00
17040012,福食仓鱼,,斤,,130.70, ,130.70,9.000, ,"1,176.30"
17050009,福食虾子面,,斤,,38.00, ,38.00,18.000, ,320.00
17050011,福食东莞米粉,,包,,1.00,1.00, ,55.000,55.00, 
17060001,福食苹果,,斤,,85.60, ,85.60,6.670, ,570.95
17070002,福食榨菜丝,,斤,,79.50, ,79.50,2.500, ,198.75
17070006,福食腊肠,,斤,,11.00, ,11.00,16.500, ,181.50
17070007,福食腊肉,,斤,,11.00, ,11.00,32.500, ,357.50
,肉类,,,,,,,,55.00,"10,354.98"
合计,,,,,,,,,"1,050.40","27,860.75"
