物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07010062,笋壳鱼,,斤,,116.50,14.60,101.90,61.438,893.52,"6,236.28"
07010064,山斑,,斤,,39.00,6.00,33.00,13.100,78.77,433.23
07010087,侧鱼,,斤,,94.30, ,94.30,12.438, ,"1,177.30"
07020005,河虾,,斤,,20.00,4.00,16.00,22.000,87.60,350.40
07030011,羔蟹,,斤,,34.90,7.00,27.90,103.833,720.34,"2,871.06"
07050019,北极贝,2斤,合,,1.00, ,1.00,180.000, ,180.00
07050042,白贝,,斤,,64.00,9.00,55.00,3.295,30.23,184.77
07060011,大连鲍12头,,斤,,0.80, ,0.80,55.000, ,44.00
07060018,7头大连鲍,,斤,,8.60, ,8.60,66.667, ,562.00
07060019,翡翠鲍鱼,8只/包,只,,148.00,139.00,9.00,54.000,"7,506.00",486.00
,肉类,,,,,,,,"9,316.46","12,525.04"
0709,鲜海参（条）,,条,,80.00,34.00,46.00,24.318,821.10,"1,110.90"
08010002,一般花胶,,斤,,7.47,0.73,6.74,"1,982.095","1,447.27","13,362.49"
08010005,黄花胶,,斤,,5.57,1.47,4.10,680.000,999.60,"2,788.00"
08010015,阿巴公花胶,,斤,,6.77,3.20,3.57,"3,150.400","10,079.11","11,244.51"
08020001,花旗参片,,斤,,1.50,0.50,1.00,326.087,163.04,326.09
08020005,山参,,斤,,1.00, ,1.00, , , 
08030005,关东辽参,,斤,,9.67,2.07,7.60,"4,500.000","9,315.00","34,200.00"
08030007,关西辽参,,斤,,4.78,1.33,3.45,"1,837.736","2,453.01","6,363.06"
08050009,水咸鱼,,条,,12.00,4.00,8.00,60.000,240.00,480.00
08050010,大红咸鱼,,斤,,8.90,4.00,4.90,52.000,208.00,254.80
08060001,雪蛤,,斤,,0.22,0.22, ,"2,038.360",448.44, 
,食品,,,,,,,,"26,174.57","70,129.85"
09010004,老鸡,,斤,,36.10, ,36.10,11.000, ,397.10
09010024,鸡油,,斤,,21.00, ,21.00,3.000, ,63.00
09010033,凤中皇,,斤,,176.50,5.00,171.50,18.905,94.78,"3,250.92"
09010040,鸡壳,,斤,,543.20, ,543.20,7.000, ,"3,802.40"
09010045,白切鸡,,只,,1.00, ,1.00,70.000, ,70.00
09020004,水鸭,,只,,25.00,6.00,19.00,20.000,120.00,380.00
09030005,鹅肝,,斤,,50.40,23.00,27.40,140.000,"3,220.00","3,836.00"
09030012,匈牙利鹅肝,,斤,,56.50,44.00,12.50,144.000,"6,336.00","1,800.00"
09030013,法国鹅肝,,斤,,59.00,52.00,7.00,230.003,"11,960.11","1,610.02"
09040002,猪赤肉,,斤,,869.00,27.00,842.00,11.530,310.97,"9,697.53"
09040009,无皮花肉,,斤,,29.70, ,29.70,11.667, ,345.55
09040010,猪一字梅,,斤,,40.60,13.00,27.60,12.167,158.24,335.96
09040027,猪肺,,只,,2.00, ,2.00,4.000, ,8.00
09040036,猪排骨,,斤,,529.60,10.00,519.60,16.037,160.38,"8,333.22"
09040040,猪大骨,,斤,,5.50, ,5.50,10.500, ,57.75
09040047,猪脚,,斤,,13.50, ,13.50,10.000, ,135.00
09040051,猪皮,,斤,,4.60, ,4.60,3.500, ,16.10
09040052,猪大油,,斤,,11.70, ,11.70,6.000, ,70.20
09040084,无皮方花肉,,斤,,48.60,5.00,43.60,16.000,80.00,697.60
09040093,乳猪,,斤,,9.00, ,9.00,24.000, ,216.00
09040095,奶猪,,斤,,86.00, ,86.00,23.333, ,"2,006.67"
09050012,牛孖根,,斤,,2.00, ,2.00,22.000, ,44.00
09050026,牛横膈膜,,斤,,101.00,64.00,37.00,414.185,"26,539.62","15,343.22"
09100006,水蛇,,斤,,61.00,8.00,53.00,26.000,209.31,"1,386.69"
09110012,金华火腿,,斤,,50.00,23.00,27.00,28.630,658.49,773.01
09110018,西班牙火腿,,斤,,16.00,15.60,0.40,343.090,"5,352.20",137.24
09110019,湘西情腊肉,,斤,,3.00,3.00, ,35.000,105.00, 
09120001,冻三文鱼,,斤,,13.20, ,13.20,38.000, ,501.60
09120002,冻银雪鱼,,斤,,10.00,10.00, ,95.000,950.00, 
09120020,九肚鱼,,斤,,3.00, ,3.00,10.000, ,30.00
09120034,海胆,60G,板,,23.00,6.00,17.00,27.000,160.17,453.83
09120040,金钱肚,,斤,,59.10,10.00,49.10,15.500,155.00,761.05
09120041,肥牛肉,,斤,,5.20,3.00,2.20,47.400,141.46,103.74
09120045,牛肋排,,斤,,20.00, ,20.00,18.000, ,360.00
09120047,大鸡脚,,斤,,8.30, ,8.30,12.800, ,106.24
09120055,烟肉,2KG,包,,3.00,0.50,2.50,62.000,31.00,155.00
09120064,冻猪手,,斤,,20.00,7.00,13.00,13.500,94.50,175.50
09120086,鳄鱼肉,,斤,,10.50,5.00,5.50,70.000,352.38,387.62
09120094,帆立贝,2斤/盒,斤,,83.00,60.00,23.00,81.810,"4,908.60","1,881.63"
09120095,三文鱼籽,,斤,,2.00, ,2.00,190.000, ,380.00
09120133,麻虾仁31-40,,斤,,10.00, ,10.00,45.000, ,450.00
09120148,冻金枪鱼腩,,斤,,20.00,17.00,3.00,527.439,"8,946.75","1,578.84"
09120180,猪颈肉,,斤,,9.00,3.00,6.00,18.000,54.00,108.00
09120190,美国牛仔骨,,斤,,143.20,32.00,111.20,64.571,"2,063.93","7,172.17"
09120192,西冷牛肉,,斤,,15.00, ,15.00,280.000, ,"4,200.00"
09120202,南美海椰皇,,斤,,4.00,4.00, ,160.000,640.00, 
09120211,樱花虾,0.5KG/包,斤,,7.00, ,7.00,181.840, ,"1,272.88"
09120219,七骨羊扒,,斤,,10.60,2.00,8.60,48.500,97.92,421.08
09120221,干龙趸皮,,斤,,12.90,7.20,5.70,700.000,"5,040.00","3,990.00"
09120223,红标牛小排,,斤,,216.90,34.00,182.90,99.833,"3,428.36","18,442.54"
09120248,蚬肉汤包,,包,,45.00,13.00,32.00,23.780,309.14,760.96
09120255,乌鱼籽,,斤,,27.00,19.50,7.50,"1,750.000","46,516.89","17,891.11"
09120256,A级大凤爪,,斤,,45.00,13.00,32.00,14.000,182.00,448.00
09120270,鲟龙鱼籽酱,50G,盒,,1.00,1.00, ,635.000,635.00, 
09120271,蟹钳,1KG,包,,43.00,23.00,20.00,118.575,"2,727.23","2,371.50"
09120275,飞驒牛肉,,斤,,186.10,128.00,58.10,522.500,"64,478.02","29,266.98"
09120276,飞驒牛柳,,斤,,18.00, ,18.00,488.000, ,"8,784.00"
09130004,喜知次鱼,,斤,,50.00,42.00,8.00,166.460,"6,991.32","1,331.68"
09130005,鲩鱼,,斤,,77.70,4.00,73.70,7.606,30.57,563.21
09130008,鱼卜,,斤,,14.00,5.00,9.00,27.000,135.00,243.00
09130019,大鱼头,,斤,,1.20, ,1.20,15.000, ,18.00
09130029,去皮鲮鱼肉,,斤,,27.00,5.00,22.00,18.000,90.00,396.00
09140001,鹧鸪,4两以上,只,,53.00,6.00,47.00,17.857,102.68,804.32
09140007,蝎子,,斤,,0.18,0.18, ,460.000,82.80, 
09140010,田鸡,,斤,,21.00,3.00,18.00,9.182,27.07,162.43
09140022,草龟,,斤,,1.00,0.50,0.50,17.000,8.50,8.50
09140038,鹌鹑,,只,,26.00,10.00,16.00,4.000,40.00,64.00
,肉类,,,,,,,,"204,725.39","160,858.59"
10010015,厨上厨茉莉香米,,斤,,50.00,20.00,30.00,4.800,96.00,144.00
10010021,苏比利尔野米,,包,,13.00,5.00,8.00,74.333,371.15,593.85
10010027,岩米,,斤,,8.50,8.00,0.50,53.000,424.00,26.50
10010032,早丰黑米,3斤,包,,6.00,2.50,3.50,46.500,116.25,162.75
10010033,东坡红米,2.5斤,包,,7.50,0.50,7.00,20.000,10.00,140.00
10020009,肠粉,,斤,,59.00,5.00,54.00,1.500,7.50,81.00
10030006,丽歌意粉,,件,,1.00, ,1.00,37.000, ,37.00
10030015,面包丝,,斤,,2.00, ,2.00,20.000, ,40.00
10030019,粗面,,斤,,24.00,5.00,19.00,6.500,32.50,123.50
10030030,金装油皮,500g,包,,2.00, ,2.00,15.000, ,30.00
10030033,粗生面,,斤,,5.00, ,5.00,6.500, ,32.50
10030035,方包,,条,,4.00,1.00,3.00,20.000,20.00,60.00
10030038,双箭淀面,,包,,1.00, ,1.00,215.000, ,215.00
10030039,燕麦,,斤,,16.00,7.00,9.00,3.460,24.22,31.14
10030047,美玫面粉(斤),,斤,,50.00, ,50.00,3.100, ,155.00
10030057,挂面,,包,,6.00,4.00,2.00,21.000,84.00,42.00
10040004,花生油,,斤,,160.00,50.00,110.00,17.000,850.00,"1,870.00"
10040008,植之元大豆油,20L,桶,,39.00,15.00,24.00,155.000,"2,325.00","3,720.00"
,粮油,,,,,,,,"4,360.62","7,504.24"
10050051,薯片,,盒,,4.00,1.50,2.50,11.000,16.50,27.50
10050074,米线,,斤,,14.00, ,14.00,2.100, ,29.40
11010001,冬瓜,,斤,,6.00, ,6.00,2.300, ,13.80
11010002,南瓜,,斤,,225.50,20.00,205.50,2.200,44.00,452.10
11010003,茄瓜,,斤,,74.60,5.00,69.60,2.567,12.84,178.66
11010004,青瓜,,斤,,11.00, ,11.00,2.200, ,24.20
11010005,丝瓜,,斤,,16.00,3.00,13.00,5.100,15.30,66.30
11010006,凉瓜,,斤,,20.00,1.50,18.50,4.833,7.20,88.80
11010016,小金瓜,,斤,,4.00, ,4.00,5.000, ,20.00
11010022,太阳果,,只,,120.00,38.00,82.00,7.000,266.00,574.00
11010032,水果青瓜仔,,斤,,22.00,3.00,19.00,6.571,19.64,124.36
11010038,7两太阳果,,只,,153.00, ,153.00,7.000, ,"1,071.00"
11010041,荷兰冬瓜仔,,只,,8.00,6.00,2.00,10.000,60.00,20.00
11020001,金针菇,,斤,,4.00,1.00,3.00,5.500,5.50,16.50
11020006,鲜冬菇,,斤,,46.00,6.00,40.00,7.500,45.00,300.00
11020008,翅鲍菇,,斤,,9.00, ,9.00,15.000, ,135.00
11020021,杏鲍菇,,斤,,83.50,15.00,68.50,6.500,97.50,445.25
11020022,姬松茸,,斤,,3.20,0.60,2.60,140.000,84.00,364.00
11020033,白肉菇,,包,,10.00,4.00,6.00,4.500,18.00,27.00
11030003,青豆角,,斤,,3.00,1.00,2.00,6.333,6.33,12.67
11030005,荷兰豆,,斤,,7.00,1.50,5.50,6.167,9.54,34.96
11030007,龙牙豆,,斤,,9.00, ,9.00,4.440, ,40.60
11030018,山水豆腐,,合,,22.00,6.00,16.00,3.300,19.80,52.80
11030028,甜蜜豆,,斤,,12.00,1.60,10.40,5.900,9.33,60.67
11030032,厚豆腐,,板,,14.00,1.00,13.00,29.000,29.00,377.00
11030049,青豆,,包,,3.00,1.00,2.00,12.500,13.33,26.67
11040001,鲜花椒,,包,,5.00,2.00,3.00,18.000,36.00,54.00
11040002,湖南青椒,,斤,,48.00,4.00,44.00,4.500,18.00,198.00
11040004,指天椒,,斤,,12.00, ,12.00,6.500, ,78.00
11040005,红椒,,斤,,29.00, ,29.00,5.331, ,153.60
11040012,红圆椒,,斤,,19.10,2.00,17.10,6.864,13.67,116.91
11040013,黄圆椒,,斤,,21.00,2.00,19.00,6.864,13.67,129.83
11040014,红美人椒,,斤,,12.00,2.00,10.00,5.250,10.50,52.50
11040016,青尖椒,,斤,,22.00,5.00,17.00,3.025,15.14,51.46
11040020,杜阮凉瓜,,斤,,2.30, ,2.30,8.000, ,18.40
11050002,莴笋头,,斤,,11.00, ,11.00,2.867, ,31.60
11050005,芦笋,,斤,,71.00,9.50,61.50,15.133,143.84,931.16
11050020,冬笋,,斤,,5.00, ,5.00,17.000, ,85.00
11050021,交笋,,斤,,7.00,3.00,4.00,5.000,15.00,20.00
11060001,干水菜心,,斤,,103.00,5.00,98.00,6.059,30.24,592.76
11060004,干水通菜,,斤,,156.00,10.00,146.00,6.563,65.38,954.62
11060014,干水小塘菜,,斤,,61.00,5.00,56.00,2.543,12.67,141.93
11060015,干水奶白菜,,斤,,15.00, ,15.00,2.800, ,42.00
11060016,干水西生菜,,斤,,7.50, ,7.50,3.500, ,26.25
11060022,水东芥菜,,斤,,111.50,10.00,101.50,2.600,26.00,263.90
11060023,荞菜,,斤,,69.50, ,69.50,4.563, ,316.75
11060026,鲜黄花菜,,斤,,27.40,5.00,22.40,19.500,97.50,436.80
11060027,韭菜,,斤,,35.60,6.00,29.60,2.800,16.80,82.88
11060030,大豆芽,,斤,,39.00,3.00,36.00,2.324,6.95,83.35
11060037,夜香花,,斤,,11.60,3.00,8.60,20.000,60.00,172.00
11060038,鲜白果肉,,斤,,2.30,0.50,1.80,7.000,3.50,12.60
11060039,西芹,,斤,,42.60,5.00,37.60,2.800,14.00,105.28
11060040,香芹,,斤,,8.00,3.00,5.00,3.967,11.81,19.69
11060041,元茜,,斤,,28.50,1.00,27.50,4.984,4.97,136.78
11060042,番茜,,斤,,0.70, ,0.70,22.000, ,15.40
11060044,西兰花,,斤,,21.00,3.00,18.00,4.250,12.57,75.43
11060048,枸杞,,斤,,100.50, ,100.50,5.227, ,529.50
11060049,辣椒叶,,斤,,419.00,20.00,399.00,8.500,170.00,"3,391.50"
11060053,番薯叶,,斤,,57.00, ,57.00,4.929, ,268.50
11060055,薄荷叶,,斤,,13.90, ,13.90,6.000, ,83.40
11060058,番茄,,斤,,62.00,5.00,57.00,3.500,17.50,199.50
11060059,薯仔,,斤,,8.00, ,8.00,2.300, ,18.40
11060060,莲藕,,斤,,11.00,3.00,8.00,4.000,12.00,32.00
11060062,粉葛,,斤,,46.00,12.00,34.00,4.500,54.00,153.00
11060065,红洋葱,,斤,,81.00,5.00,76.00,2.500,12.50,190.00
11060066,干葱头,,斤,,78.00,3.00,75.00,5.000,15.00,375.00
11060067,京葱,,斤,,62.00,5.00,57.00,3.542,17.70,201.80
11060069,蒜肉,,斤,,2.00, ,2.00,11.000, ,22.00
11060075,红萝卜,,斤,,38.50,4.00,34.50,2.325,9.32,80.43
