物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07010001,大苏眉,,斤,,21.20, ,21.20,350.000, ,"7,420.00"
07010005,大龙趸,,斤,,165.50,18.00,147.50,39.667,713.29,"5,845.01"
07010006,老虎斑,,斤,,5.70, ,5.70,65.500, ,371.60
07010008,大东星斑,,斤,,77.00,16.50,60.50,145.625,"2,468.68","9,051.82"
07010009,细东星斑,,斤,,43.60,2.90,40.70,190.455,554.19,"7,777.81"
07010013,老鼠斑,,斤,,27.40,1.00,26.40,235.385,235.26,"6,210.74"
07010142,蓝东星,,斤,,139.00,10.70,128.30,71.400,764.09,"9,161.91"
07020001,波斯龙虾,,斤,,31.50,19.00,12.50,91.667,"1,736.00","1,142.10"
07020003,花龙虾,,斤,,82.20,15.60,66.60,300.790,"4,671.51","19,943.77"
07020010,斑马富贵虾,,斤,,81.30,10.00,71.30,171.667,"1,710.46","12,195.54"
07020024,青龙虾仔,,斤,,25.60,8.10,17.50,185.833,"1,515.27","3,273.73"
07020030,大红节虾,,斤,,0.40,0.40, ,170.000,68.00, 
07040001,象拨蚌,,斤,,103.30,11.50,91.80,192.500,"2,211.33","17,652.17"
07060002,大连鲍(5只/斤),,斤,,59.52,11.17,48.35,98.000,"1,094.66","4,738.30"
07060013,南非鲜鲍（3只/斤）,,斤,,32.10,5.18,26.92,230.000,"1,191.40","6,191.60"
07070001,海水晶,,件,,2.00, ,2.00,35.000, ,70.00
09120225,特大九节虾,1KG 7只/盒,盒,,17.86,6.00,11.86,210.000,"1,260.00","2,490.60"
合计,海鲜,,,,,,,,"20,194.14","113,536.70"
