物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
02010009,80-90克岩手大网鲍,,只,,5.00,5.00, ,"1,409.000","7,045.00", 
02010010,90-100克岩手大网鲍,,只,,3.00,3.00, ,"2,213.000","6,639.00", 
02010011,120-150克岩手大网鲍,,只,,2.00,2.00, ,"5,018.000","10,036.00", 
02020002,26-30头吉品鲍,,斤,,1.14,1.14, ,"4,250.000","4,845.00", 
02020004,22-24克头吉品鲍,,斤,,0.05, ,0.05,"5,000.000", ,250.00
02020009,21-25头吉品鲍,,斤,,0.65,0.44,0.21,"4,750.000","2,090.00",997.50
02020010,16头-20头吉品鲍,,斤,,0.13, ,0.13,"6,000.000", ,780.00
02030004,6头南非鲍,,斤,,3.20,3.20, ,"1,343.750","4,300.00", 
02030005,10-13头南非网鲍,,斤,,2.48,1.37,1.11,"1,858.910","2,546.70","2,063.39"
02030006,20头南非吉品鲍,,斤,,1.26,0.88,0.38,"2,103.200","1,850.81",799.22
02030008,25头南非吉品鲍,,斤,,0.09,0.09, ,"3,318.000",298.62, 
02050001,20-29克禾麻鲍,,斤,,1.21,1.12,0.09,"5,933.980","6,646.05",534.06
02050002,30-39克禾麻鲍,,斤,,0.07, ,0.07,"6,500.000", ,455.00
合计,,,,,,,,,"46,297.18","5,879.17"
03050002,11寸牙勾翅,,斤,,2.40, ,2.40,"1,059.170", ,"2,542.00"
03050003,12寸牙勾翅,,斤,,4.10,2.00,2.10,"1,013.310","2,026.62","2,127.95"
0308,23寸鬼春翅,,斤,,3.87,1.80,2.07,"1,866.670","3,360.00","3,864.01"
合计,,,,,,,,,"5,386.62","8,533.96"
0401,冬虫草,,斤,,0.08,0.06,0.02,"73,482.640","4,408.96","1,469.65"
0403,冬虫草1500支,,斤,,0.05,0.05, ,"80,000.000","4,000.00", 
合计,,,,,,,,,"8,408.96","1,469.65"
0102,燕盏,,斤,,3.00,0.56,2.44,"2,852.500","1,602.53","6,982.47"
合计,,,,,,,,,"1,602.53","6,982.47"
总计,食品,,,,,,,,"61,695.29","22,865.25"
07010112,大鱼,,斤,,10.90,5.50,5.40,475.000,"2,611.24","2,563.76"
合计,肉类,,,,,,,,"2,611.24","2,563.76"
