物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07050032,大海螺,,斤,,177.00,5.00,172.00,40.300,201.69,"6,938.31"
09120001,冻三文鱼,,斤,,20.10,12.50,7.60,45.000,545.52,331.68
09120013,黄花鱼,,斤,,12.20,4.00,8.20,20.333,81.51,167.09
09120095,三文鱼籽,,斤,,2.00,1.60,0.40,190.000,304.00,76.00
09120122,鸭利,,斤,,69.00,16.00,53.00,28.000,448.00,"1,484.00"
09120209,海哲丝,,斤,,80.00,18.00,62.00,12.500,225.00,775.00
09120239,红珊蚌,,盒,,15.50,3.00,12.50,75.000,225.00,937.50
,肉类,,,,,,,,"2,030.72","10,709.58"
10010008,红谷米,,斤,,5.00,5.00, ,7.000,35.00, 
10010017,糯米(斤),,斤,,5.00,2.70,2.30,4.400,11.88,10.12
10020009,肠粉,,斤,,10.00, ,10.00,1.500, ,15.00
10030055,越南春卷皮/干,,包,,13.00,6.50,6.50,18.000,117.00,117.00
11010004,青瓜,,斤,,9.50, ,9.50,2.200, ,20.90
11010032,水果青瓜仔,,斤,,32.80,8.20,24.60,6.583,53.65,160.95
11030016,豆腐皮,,斤,,1.60, ,1.60,4.000, ,6.40
11030028,甜蜜豆,,斤,,13.00,1.00,12.00,5.750,5.65,67.85
11030046,进口厚腐皮,,斤,,7.00,2.50,4.50,26.500,66.25,119.25
,食品,,,,,,,,289.43,517.47
11050002,莴笋头,,斤,,18.00, ,18.00,2.800, ,50.40
11060027,韭菜,,斤,,7.20,0.50,6.70,2.800,1.40,18.76
11060039,西芹,,斤,,4.00, ,4.00,2.800, ,11.20
11060040,香芹,,斤,,42.50, ,42.50,4.113, ,176.40
11060055,薄荷叶,,斤,,4.30, ,4.30,6.333, ,26.20
11060058,番茄,,斤,,1.00, ,1.00,4.000, ,4.00
11060060,莲藕,,斤,,5.00, ,5.00,4.000, ,20.00
11060065,红洋葱,,斤,,81.00, ,81.00,2.500, ,202.50
11060067,京葱,,斤,,5.00, ,5.00,3.500, ,17.50
11060075,红萝卜,,斤,,67.00,1.50,65.50,2.313,3.46,151.24
11060076,白萝卜,,斤,,35.20, ,35.20,1.500, ,52.80
11060115,洋葱,,斤,,2.00,4.00,-2.00,3.600,14.40,-7.20
11060138,素鲍鱼,,只,,50.00,2.00,48.00,8.333,16.80,403.20
11060181,万年春,,斤,,25.00,14.00,11.00,28.000,392.00,308.00
11060192,红心番薯,,斤,,2.00, ,2.00,3.000, ,6.00
11060252,香椿,,斤,,4.20, ,4.20,32.000, ,134.40
11070069,鲜天麻,,斤,,2.50,2.50, ,42.000,105.00, 
,蔬菜,,,,,,,,533.06,"1,575.40"
12030019,长城干红,750ml,支,,2.00, ,2.00,24.000, ,48.00
12030025,清酒,1.8升,支,,1.00, ,1.00,145.000, ,145.00
13020007,苹果醋,,支,,12.20,2.50,9.70,5.200,13.00,50.44
13020017,葡萄汁,,支,,1.00, ,1.00,33.000, ,33.00
14030002,新奇士橙,,斤,,59.90,7.50,52.40,13.000,97.50,681.20
14060002,草莓,,合,,34.00,1.00,33.00,20.000,20.00,660.00
14070004,进口红提,,斤,,8.80,0.50,8.30,18.000,9.00,149.40
14090010,番茄仔,,斤,,5.00, ,5.00,4.000, ,20.00
14090039,百合番茄,黄色,斤,,4.40, ,4.40,9.000, ,39.60
14090058,红色百合番茄,,斤,,4.40, ,4.40,5.500, ,24.20
15010011,芥茉油,60毫升,支,,8.00,2.00,6.00,4.000,8.00,24.00
15010017,橄榄油,1公升,瓶,,1.00,1.00, ,36.000,36.00, 
15030004,麦牙糖,250g,罐,,1.50,1.00,0.50,3.000,3.00,1.50
15040007,四季宝花生酱,1kg,罐,,2.00,2.00, ,35.000,70.00, 
15040010,卡夫奇妙酱,700ml,瓶,,0.80,0.50,0.30,22.000,11.00,6.60
15040036,味可美草莓酱,,瓶,,4.00, ,4.00,8.900, ,35.60
15040063,蓝莓酱,340g,瓶,,5.00,1.00,4.00,38.000,38.00,152.00
15050016,宁化府陈醋,330ml,支,,26.00,2.50,23.50,10.750,26.87,252.63
15050019,宝鼎上海白醋,,支,,2.50,0.50,2.00,3.200,1.60,6.40
15060029,味淋,1.8l,瓶,,1.00, ,1.00,55.000, ,55.00
15060033,家乐浓缩鸡汁,1kg,瓶,,7.50,1.00,6.50,51.000,51.00,331.50
15060042,家乐辣鲜露,400毫升,支,,5.00,2.00,3.00,15.000,30.00,45.00
15060062,东古一品鲜酱油,500ML,支,,3.00,1.50,1.50,7.000,10.50,10.50
15060063,丘比焙煎芝麻汁,1.5L,支,,3.40,0.50,2.90,60.000,30.00,174.00
15070023,鱼胶粉,500克,盒,,2.80,1.50,1.30,52.000,78.00,67.60
15080113,靓老鼠耳,,斤,,9.00,1.30,7.70,125.000,162.50,962.50
15080120,椰丝,,斤,,0.80,0.80, ,12.000,9.60, 
15080126,冬菇仔,,斤,,3.50,1.60,1.90,52.000,83.20,98.80
15080127,小米椒,,斤,,5.00,4.00,1.00,4.000,16.00,4.00
15080139,山楂干,,斤,,0.50,0.40,0.10,15.000,6.00,1.50
15080152,辣椒干,,斤,,3.80, ,3.80,10.000, ,38.00
15080178,小米辣椒,,斤,,8.00, ,8.00,4.000, ,32.00
15080185,外婆醉鱼,150G,包,,33.00,16.00,17.00,12.000,192.00,204.00
15090009,黑豆,,斤,,10.50,5.00,5.50,8.000,40.00,44.00
15090028,白芝麻,,斤,,3.10,2.00,1.10,11.500,22.71,12.49
15090042,大红枣,,斤,,1.20,1.00,0.20,35.000,35.00,7.00
15090107,红衣花生,,斤,,15.70,1.50,14.20,8.000,12.00,113.60
15100005,保利奶,1kg,罐,,28.50,4.50,24.00,16.000,72.00,384.00
15120102,虫草花,,斤,,0.90,0.40,0.50,80.000,32.00,40.00
15120165,小茴香,,斤,,0.70,0.70, ,11.000,7.70, 
1601,铁观音,,斤,,1.40,0.30,1.10,24.000,7.20,26.40
1611,红茶,,斤,,0.50,0.50, ,17.000,8.50, 
,食品,,,,,,,,"1,239.88","4,981.46"
合计,,,,,,,,,"4,093.09","17,783.91"
