物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
10010019,鱼沼米,5KG,包,,4.00,1.00,3.00,304.000,304.00,912.00
10010035,金象牌精选泰香米,5KG,袋,,10.00,3.00,7.00,88.000,264.00,616.00
11060201,精选手工蒜肉,,斤,,59.80, ,59.80,8.000, ,478.40
15020013,黑盐,,瓶,,6.00,5.00,1.00, , , 
15040001,樱花芥辣,43g,支,,19.00,6.00,13.00,9.000,54.00,117.00
15050016,宁化府陈醋,330ml,支,,8.00,6.00,2.00,10.750,64.50,21.50
15060009,日本海鲜豉油,200ml,瓶,,17.00,8.00,9.00,19.500,156.71,176.29
15060016,泰国鱼露,725毫升,瓶,,1.00,0.50,0.50,8.000,4.00,4.00
15060048,海天罐装金标生抽,1.9l,罐,,11.00,1.00,10.00,16.600,16.60,166.00
15060090,辣椒浸蒜头,,斤,,25.00,30.00,-5.00,12.000,360.00,-60.00
合计,食品,,,,,,,,"1,223.81","2,431.19"
