物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07020020,明虾,,斤,,151.00, ,151.00,30.759, ,"4,643.00"
07020023,大沙虾,,斤,,5.00,3.00,2.00,22.000,63.00,42.00
07030021,毛蟹,,斤,,6.00,3.00,3.00,38.000,114.00,114.00
08040006,咸蛋黄,,只,,25.00,10.00,15.00,1.200,12.00,18.00
09040005,猪肥肉,,斤,,9.40,5.00,4.40,7.500,37.50,33.00
09050001,牛肉,,斤,,3.00, ,3.00,24.200, ,72.60
09110002,腊肉,,斤,,5.00,2.00,3.00,37.500,75.00,112.50
09110003,腊肠,,斤,,4.00,2.00,2.00,37.500,75.00,75.00
09120013,黄花鱼,,斤,,2.00,2.00, ,21.000,42.00, 
09120064,冻猪手,,斤,,25.00,10.00,15.00,14.000,140.00,210.00
09120111,珍珠蚝,,斤,,1.00,3.00,-2.00,10.000,30.00,-20.00
09120133,麻虾仁31-40,,斤,,155.00,125.00,30.00,45.000,"5,625.00","1,350.00"
09120206,凤爪,,斤,,49.00, ,49.00,22.800, ,"1,117.20"
09120211,樱花虾,0.5KG/包,斤,,1.00,1.00, ,181.840,181.84, 
09120222,虾饺馅,,斤,,5.00, ,5.00,54.500, ,272.50
09120224,珍珠蚝,,包,,21.00, ,21.00,9.800, ,204.00
09120260,烧卖馅,,斤,,52.00,14.00,38.00,34.300,480.20,"1,303.40"
,肉类,,,,,,,,"6,875.54","9,547.20"
10010020,五彩米,,包,,13.00, ,13.00,30.800, ,400.40
10010026,葛仙米,,斤,,0.80,0.80, ,"2,500.000","2,000.00", 
10030038,双箭澄面,,包,,2.00,1.20,0.80,215.000,258.00,172.00
,粮油,,,,,,,,"2,258.00",572.40
11010004,青瓜,,斤,,16.00,2.00,14.00,2.450,4.92,34.48
11010016,小金瓜,,斤,,17.00,5.00,12.00,4.000,20.00,48.00
11010038,7两太阳果,,只,,71.00, ,71.00,7.000, ,497.00
11010042,9两太阳果,,只,,115.00,2.00,113.00,7.000,14.00,791.00
11020006,鲜冬菇,,斤,,13.00,4.00,9.00,7.500,30.00,67.50
11020021,杏鲍菇,,斤,,64.00,6.00,58.00,6.500,39.00,377.00
11020028,百灵菇,,斤,,6.00, ,6.00,18.000, ,108.00
11050009,鲜莲子,,包,,6.00, ,6.00,3.800, ,22.80
11060014,干水小塘菜,,斤,,13.00,1.00,12.00,2.383,2.38,28.52
11060015,干水奶白菜,,斤,,13.00,1.00,12.00,3.217,3.22,38.58
11060016,干水西生菜,,斤,,9.50,2.00,7.50,4.714,9.58,35.92
11060027,韭菜,,斤,,0.50, ,0.50,3.500, ,1.75
11060038,鲜白果肉,,斤,,1.20, ,1.20,7.000, ,8.40
11060044,西兰花,,斤,,46.00,3.00,43.00,5.067,15.13,216.87
11060055,薄荷叶,,斤,,7.50,0.50,7.00,9.850,4.95,69.30
11060060,莲藕,,斤,,45.50,6.00,39.50,4.214,25.27,166.33
11060066,干葱头,,斤,,1.00,1.00, ,5.500,5.50, 
11060076,白萝卜,,斤,,125.00,10.00,115.00,1.594,15.94,183.26
11060124,百合皇,,斤,,1.70,3.00,-1.30,45.000,135.00,-58.50
11060129,泰国芫西,,斤,,3.50,0.50,3.00,18.000,9.00,54.00
11060130,洛神花,,斤,,0.50, ,0.50,90.000, ,45.00
11060174,九层塔,,斤,,5.00,0.50,4.50,8.000,4.00,36.00
11060205,芥兰苗,,斤,,4.00,3.00,1.00,6.500,19.50,6.50
11060255,芥兰远,,斤,,19.00, ,19.00,5.500, ,104.50
11070015,姜肉,,斤,,23.00,6.00,17.00,8.000,47.09,133.41
11070057,大叶,,合,,25.00,3.00,22.00,7.000,21.00,154.00
11070073,冰鲜黑松露菌,,斤,,2.00,0.50,1.50,450.000,225.00,675.00
,蔬菜,,,,,,,,650.48,"3,844.62"
10010022,三象糯米粉,,包,,35.00,20.00,15.00,6.150,123.43,92.57
10020015,红米粉,,斤,,4.00,3.00,1.00,20.000,60.00,20.00
10020022,粘米粉(斤),,斤,,46.00,2.00,44.00,5.000,10.00,220.00
10030030,金装油皮,500g,包,,1.00, ,1.00,15.000, ,15.00
10030031,白网皮,200g,包,,21.00,7.00,14.00,11.000,77.00,154.00
10030046,金像面粉(斤),,斤,,60.00,50.00,10.00,3.417,176.43,35.29
10030047,美玫面粉(斤),,斤,,181.20,80.00,101.20,3.524,281.94,356.65
10030052,稻庭面,1KG,包,,84.00,45.00,39.00,91.590,"3,874.00","3,357.46"
10030072,方黄金网皮,,包,,10.00,3.00,7.00,20.000,60.00,140.00
10030073,麻薯粉,,包,,3.50,2.00,1.50,95.000,190.00,142.50
10050009,饼干,,包,,1.00, ,1.00,20.000, ,20.00
10050045,寿桃,,只,,55.00, ,55.00,8.000, ,440.00
10050047,小笼包馅,,斤,,78.00,13.00,65.00,15.400,200.20,"1,001.00"
10050049,猪皮冻,,斤,,89.00,6.00,83.00,18.000,108.00,"1,494.00"
10050066,排骨馅,,斤,,59.00,4.00,55.00,26.000,104.00,"1,430.00"
10050067,牛肉馅,,斤,,43.00,9.00,34.00,24.200,217.80,822.80
10050069,脆皮,,斤,,6.00,3.00,3.00,15.000,45.00,45.00
12030051,朗姆酒,,支,,2.00,2.00, ,90.000,180.00, 
12030053,咖啡酒,,支,,1.00,1.00, ,95.000,95.00, 
14020005,牛油果,,只,,2.00, ,2.00,13.000, ,26.00
14020011,点心芒果,,斤,,10.20,2.00,8.20,9.000,18.00,73.80
14060002,草莓,,合,,16.00,2.00,14.00,25.000,50.00,350.00
14080001,雪梨,,斤,,34.50,15.00,19.50,4.286,63.04,81.96
14090034,脱衣核桃,,斤,,2.00,2.00, ,54.000,108.00, 
14090040,椰子,,只,,33.00,3.00,30.00,5.200,15.45,154.55
15010024,车轮黄牛油,16KG,桶,,1.50,1.00,0.50,305.000,305.00,152.50
15010025,车轮白奶油,15KG,桶,,2.50,1.00,1.50,315.000,315.00,472.50
15010037,正义猪板油(斤),,斤,,3.50,30.00,-26.50,9.000,270.00,-238.50
15010046,纽西兰大牛油,,件,,0.50,0.50, ,"1,050.000",525.00, 
15010047,蛋糕油,,瓶,,1.00,1.00, ,45.000,45.00, 
15030001,幼沙糖,30kg,包,,5.50,1.50,4.00,212.000,318.41,849.09
15030004,麦牙糖,250g,罐,,3.00, ,3.00,3.000, ,9.00
15030005,宝生园蜜糖,375克,瓶,,14.00,3.00,11.00,6.500,19.50,71.50
15030031,银珠糖,,罐,,2.00,2.00, ,28.000,56.00, 
15030034,粗沙糖,,斤,,5.00, ,5.00,3.500, ,17.50
15030035,雀巢咖啡布丁,,包,,1.00,3.00,-2.00,28.500,85.50,-57.00
15030036,三花咖啡粉,,包,,3.00, ,3.00,30.833, ,92.50
15040001,樱花芥辣,43g,支,,5.00,3.00,2.00,9.000,27.00,18.00
15040007,四季宝花生酱,1kg,罐,,0.50,1.00,-0.50,34.000,34.00,-17.00
15040010,卡夫奇妙酱,700ml,瓶,,7.00,2.00,5.00,21.667,43.43,108.57
15040118,黑松露酱,,瓶,,2.20,1.00,1.20,468.750,467.05,560.45
15040131,英雄栗子茸,,罐,,2.00,1.00,1.00,80.000,80.00,80.00
15040132,好时朱古力酱,,支,,1.00,2.00,-1.00,20.000,40.00,-20.00
15040151,蟹粉,,瓶,,1.50,1.00,0.50,170.000,170.00,85.00
15050027,八珍甜醋,,罐,,2.00,1.00,1.00,98.000,98.00,98.00
15050028,致美斋甜醋,,罐,,2.00,1.00,1.00,51.500,51.50,51.50
15060002,李锦记草菇老抽,1.9l,瓶,,1.00, ,1.00,16.500, ,16.50
15060062,东古一品鲜酱油,500ML,支,,0.50, ,0.50,7.500, ,3.75
15060095,百利甜汤,,支,,2.00, ,2.00,82.000, ,164.00
15070012,薯仔粉,2.46kg,罐,,2.00,1.00,1.00,50.000,50.00,50.00
15070023,鱼胶粉,500克,盒,,2.00,2.00, ,52.000,104.00, 
15070024,风车生粉,50KG,包,,1.50,1.50, ,270.000,405.00, 
15070025,(发酵)泡打粉,,罐,,2.00,1.00,1.00,40.000,40.00,40.00
15070026,鹰粟粉,1kg,包,,11.00,4.00,7.00,10.000,40.00,70.00
15070027,斧头食粉,454g,合,,4.00,2.00,2.00,4.500,9.00,9.00
15070029,依仕粉,500g,包,,2.00,1.00,1.00,18.000,18.00,18.00
15070030,吉士粉,3.5kg,罐,,1.00,1.00, ,80.000,80.00, 
15070062,奶粉,500g,包,,1.00,1.00, ,31.000,31.00, 
15070067,蛋黄色素,,包,,1.00,1.00, ,93.000,93.00, 
15070098,金山杏仁粉,,包,,1.00,1.00, ,900.000,900.00, 
15070120,风车生粉(斤),,斤,,301.50,70.00,231.50,5.400,378.00,"1,250.10"
15070126,BBA色素/橙黄,,罐,,1.00,1.00, ,98.000,98.00, 
15070140,三角唛苹果绿,,罐,,1.00,1.00, ,42.000,42.00, 
15070141,ABBA玫瑰红,,罐,,1.00,1.00, ,78.000,78.00, 
15070145,美极香菇粉,,罐,,3.00,1.00,2.00,30.000,30.00,60.00
15070146,木薯粉,0.5KG,包,,9.00,2.00,7.00,5.500,11.00,38.50
15070157,富田大红色素,,支,,1.00,1.00, ,23.000,23.00, 
15070163,金冠唂咕粉,,瓶,,3.00,2.00,1.00,38.000,76.00,38.00
15070164,龟苓膏粉,,包,,5.00, ,5.00,7.650, ,38.10
15070165,即溶吉士粉,,盒,,1.50,1.50, ,52.500,78.75, 
15070166,大师傅塔塔粉,,瓶,,1.00,1.00, ,75.000,75.00, 
15070171,朱师傅抹茶粉,,罐,,1.00,1.00, ,80.000,80.00, 
15070172,特A改良剂,,包,,0.50,0.50, ,30.000,15.00, 
15070175,富田粉红色素,,支,,1.00,1.00, ,23.000,23.00, 
15080002,虾米,,斤,,2.00,0.50,1.50,43.000,21.50,64.50
15080024,黄耳,,斤,,1.00,1.00, ,180.000,180.00, 
15080027,日本紫菜,50片4两,包,,3.00,3.00, ,25.000,75.00, 
15080070,粽叶,,包,,1.00,2.00,-1.00,18.000,36.00,-18.00
15080078,威化纸,,包,,2.50,2.00,0.50,10.000,20.00,5.00
15080120,椰丝,,斤,,3.00,3.00, ,12.000,36.00, 
15080165,野生金耳,0.5斤/包,斤,,0.20,1.00,-0.80,100.000,100.00,-80.00
15080168,去衣杏仁,,斤,,8.00,3.00,5.00,21.000,63.00,105.00
15090005,红豆,,斤,,3.00, ,3.00,6.500, ,19.50
15090006,绿豆,,斤,,5.00,2.00,3.00,6.500,13.00,19.50
15090027,黑芝麻,,斤,,3.00,0.50,2.50,11.000,5.50,27.50
