物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
09010001,三黄鸡,,斤,,186.30, ,186.30,10.000, ,"1,863.00"
09020001,番鸭,,斤,,30.00, ,30.00,12.000, ,360.00
09020002,光鸭,,斤,,246.60, ,246.60,9.000, ,"2,219.40"
09040009,无皮花肉,,斤,,304.60,25.00,279.60,12.000,300.00,"3,355.20"
09040069,枚肉(瘦肉),,斤,,10.00, ,10.00,13.000, ,130.00
17020003,福食冻猪手,,斤,,24.40, ,24.40,14.000, ,341.60
17030001,福食鲩鱼,,斤,,112.90, ,112.90,7.150, ,806.64
17030003,福食咸鱼,,斤,,12.00, ,12.00,18.000, ,216.00
17030016,福食猪手,,斤,,89.70, ,89.70,14.000, ,"1,255.80"
17040006,福食鸡腿,,斤,,120.30, ,120.30,9.000, ,"1,082.70"
17070006,福食腊肠,,斤,,13.00, ,13.00,16.500, ,214.50
17070007,福食腊肉,,斤,,12.00, ,12.00,32.500, ,390.00
,肉类,,,,,,,,300.00,"12,234.84"
10010016,厨上厨猫牙米,,包,,20.00,2.00,18.00,125.000,250.00,"2,250.00"
10020007,优质河粉,,斤,,60.00, ,60.00,1.700, ,102.00
10050074,米线,,斤,,75.00, ,75.00,2.100, ,157.50
17050009,福食虾子面,,斤,,74.00,10.00,64.00,4.000,40.00,256.00
,粮油,,,,,,,,290.00,"2,765.50"
15040050,腐乳,335克,瓶,,12.00,15.00,-3.00,4.800,72.00,-14.40
15040153,蒜茸辣椒酱,,桶,,1.00, ,1.00,100.000, ,100.00
15090006,绿豆,,斤,,24.00, ,24.00,6.560, ,157.50
15090107,红衣花生,,斤,,13.00, ,13.00,8.000, ,104.00
17040001,福食鸡蛋,,斤,,329.20, ,329.20,6.300, ,"2,073.96"
17070002,福食榨菜丝,,斤,,2.00,2.00, ,2.500,5.00, 
,食品,,,,,,,,77.00,"2,421.06"
11010044,福食云南小瓜,,斤,,76.00,25.00,51.00,2.200,55.00,112.20
11040003,元椒,,斤,,60.00, ,60.00,2.300, ,138.00
11060076,白萝卜,,斤,,30.00, ,30.00,1.300, ,39.00
17010001,福食生菜,,斤,,261.00, ,261.00,2.200, ,574.20
17010002,福食白萝卜,,斤,,90.00, ,90.00,1.300, ,117.00
17010005,福食油麦菜,,斤,,250.00, ,250.00,2.200, ,550.00
17010006,福食大白菜,,斤,,205.00, ,205.00,1.500, ,307.50
17010008,福食西洋菜,,斤,,195.00, ,195.00,3.500, ,682.50
17010009,福食本地菜心,,斤,,262.00, ,262.00,2.800, ,733.60
17010010,福食青尖椒,,斤,,16.00, ,16.00,2.300, ,36.80
17010013,福食椰菜,,斤,,70.00, ,70.00,1.400, ,98.00
17010015,福食青瓜,,斤,,150.00, ,150.00,2.033, ,304.00
17010016,福食鲜冬菇,,斤,,48.00, ,48.00,7.500, ,360.00
17010020,福食肉姜,,斤,,16.00, ,16.00,7.000, ,112.00
17010021,福食葱肉,,斤,,9.00, ,9.00,4.500, ,40.50
17010025,福食小白菜,,斤,,227.00, ,227.00,1.800, ,408.60
17010028,福食芥菜,,斤,,30.00, ,30.00,2.000, ,60.00
17010047,福食通菜,,斤,,35.00, ,35.00,1.500, ,52.50
17010048,福食大豆芽,,斤,,121.00, ,121.00,1.000, ,121.00
17010056,福食凉瓜,,斤,,140.00, ,140.00,2.300, ,322.00
17010057,福食鲜木耳,,斤,,23.00, ,23.00,3.000, ,69.00
17010059,福食春菜,,斤,,150.00, ,150.00,2.000, ,300.00
17010060,福食白瓜,,斤,,35.00, ,35.00,1.800, ,63.00
17010061,福食海带丝,,斤,,8.00, ,8.00,2.800, ,22.40
17010068,福食香脆片,,斤,,43.50,8.00,35.50,2.800,22.40,99.40
17010069,福食粉芋头,,斤,,125.00, ,125.00,4.000, ,500.00
17010070,福食水东芥菜,,斤,,251.00, ,251.00,2.300, ,577.30
17010071,福食红洋葱,,斤,,40.00, ,40.00,2.000, ,80.00
17010078,福食上海青,,斤,,73.00, ,73.00,2.000, ,146.00
17010079,福食甜麦菜,,斤,,75.00, ,75.00,2.200, ,165.00
,蔬菜,,,,,,,,77.40,"7,191.50"
合计,,,,,,,,,744.40,"24,612.90"
