物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07010056,大白花,,斤,,9.50,9.60,-0.10,14.000,134.40,-1.40
07010062,笋壳鱼,,斤,,56.10,8.90,47.20,58.286,518.33,"2,748.87"
07010087,侧鱼,,斤,,60.10, ,60.10,13.000, ,781.30
07010142,蓝东星,,斤,,3.40,3.40, ,48.000,163.20, 
07030011,羔蟹,,斤,,11.10,5.00,6.10,71.500,355.41,433.59
07030018,红毛蟹,,斤,,33.50,1.90,31.60,95.000,180.50,"3,002.00"
07050016,海螺,,斤,,93.00,8.00,85.00,39.000,312.00,"3,315.00"
07050019,北极贝,2斤,合,,2.00,2.00, ,180.000,360.00, 
07050042,白贝,,斤,,101.00,4.00,97.00,3.000,12.00,291.00
07060004,大连鲍(小),,斤,,1.00, ,1.00,76.000, ,76.00
07060011,大连鲍12头,,斤,,9.00,0.50,8.50,98.000,49.00,833.00
07060019,翡翠鲍鱼,8只/包,只,,281.00,15.00,266.00,54.000,810.00,"14,364.00"
,肉类,,,,,,,,"2,894.84","25,843.36"
02050005,鲍鱼片（粉）,,斤,,2.40,1.50,0.90,625.020,937.53,562.52
08010002,一般花胶,,斤,,7.70,2.50,5.20,"2,007.990","5,054.42","10,513.18"
08010005,黄花胶,,斤,,4.47,1.50,2.97,535.000,809.60,"1,603.00"
08010015,阿巴公花胶,,斤,,2.27,1.25,1.02,"3,162.800","3,953.50","3,226.05"
08010015,阿巴公花胶,,斤,,,,-0.90,,,"-2,916.00"
08030005,关东辽参,,斤,,4.76,2.34,2.42,"4,600.000","10,764.00","11,132.00"
08030005,关东辽参,,斤,,,,-0.17,,,-880.00
08030007,关西辽参,,斤,,5.60,1.05,4.55,"1,666.669","1,750.00","7,583.35"
08040001,鸡蛋,,斤,,95.60, ,95.60,6.300, ,602.28
08040008,竹笙蛋,,斤,,2.00,1.20,0.80,38.000,45.60,30.40
08060001,雪蛤,,斤,,0.21,0.21, ,"2,038.360",428.06, 
,食品,,,,,,,,"23,742.71","31,456.78"
08050010,大红咸鱼,,斤,,2.00,2.00, ,52.000,104.00, 
09010018,珍珠鸡,,斤,,231.10,39.00,192.10,28.000,"1,092.00","5,378.80"
09010024,鸡油,,斤,,29.00, ,29.00,3.000, ,87.00
09010029,鸡脚,,斤,,5.00, ,5.00,12.800, ,64.00
09010033,凤中皇,,斤,,355.60,13.00,342.60,23.000,299.00,"7,879.80"
09010040,鸡壳,,斤,,740.60, ,740.60,8.000, ,"5,924.80"
09010044,脆皮鸡,,斤,,3.00, ,3.00,30.000, ,90.00
09010046,脆皮鸡,,只,,4.00, ,4.00,69.000, ,276.00
09010047,扇鸡,,斤,,4.20, ,4.20,25.000, ,105.00
09020004,水鸭,,只,,72.00,12.00,60.00,17.417,205.83,"1,029.17"
09020009,乳鸭,,只,,28.00,5.00,23.00,16.200,80.54,370.46
09030002,黑宗鹅,,斤,,12.50, ,12.50,21.000, ,262.50
09030005,鹅肝,,斤,,61.00,12.50,48.50,140.000,"1,750.00","6,790.00"
09030007,进口鹅掌,,斤,,1.00, ,1.00,41.000, ,41.00
09030011,烧鹅,,斤,,5.00,3.00,2.00,21.000,63.00,42.00
09030012,匈牙利鹅肝,,斤,,11.50,2.00,9.50,144.000,288.00,"1,368.00"
09030013,法国鹅肝,,斤,,3.80,9.00,-5.20,230.000,"2,070.00","-1,196.00"
09040006,有皮花肉,,斤,,10.30,8.00,2.30,15.000,120.00,34.50
09040010,猪一字梅,,斤,,20.90,10.00,10.90,13.000,130.00,141.70
09040036,猪排骨,,斤,,564.30,40.00,524.30,18.483,739.36,"9,691.19"
09040045,猪圆蹄,,斤,,2.60, ,2.60,10.500, ,27.30
09040060,烧肉,,斤,,2.00, ,2.00,19.000, ,38.00
09040068,乳猪,4-5斤,头,,2.00, ,2.00,207.000, ,414.00
09040069,枚肉(瘦肉),,斤,,"1,032.00",45.00,987.00,12.983,584.17,"12,812.83"
09040080,一字枚,,斤,,4.80, ,4.80,13.000, ,62.40
09040084,无皮方花肉,,斤,,66.10,15.00,51.10,15.875,239.98,817.52
09040090,有皮方花肉,,斤,,17.00, ,17.00,15.000, ,255.00
09040093,乳猪,,斤,,142.50,32.00,110.50,23.000,736.00,"2,541.50"
09040096,猪利,,斤,,1.00, ,1.00,14.000, ,14.00
09050026,牛横膈膜,,斤,,4.50, ,4.50,372.500, ,"1,676.25"
09050028,牛膀,,斤,,12.20,1.00,11.20,5.500,5.50,61.60
