物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
02010009,80-90克岩手大网鲍,,只,,7.50,7.50, ,"1,409.000","10,567.50", 
02010010,90-100克岩手大网鲍,,只,,1.00,1.00, ,"2,213.000","2,213.00", 
02010011,120-150克岩手大网鲍,,只,,14.00,13.00,1.00,"5,009.000","65,033.43","5,002.57"
02020002,26-30头吉品鲍,,斤,,0.68,0.18,0.50,"4,250.000",765.00,"2,125.00"
02020004,22-24克头吉品鲍,,斤,,0.59, ,0.59,"5,000.000", ,"2,950.00"
02020009,21-25头吉品鲍,,斤,,1.00,1.00, ,"4,750.000","4,750.00", 
02020010,16头-20头吉品鲍,,斤,,2.00,2.00, ,"6,000.000","12,000.00", 
02030005,10-13头南非网鲍,,斤,,1.03,1.03, ,"1,333.330","1,373.33", 
02030006,20头南非吉品鲍,,斤,,0.25, ,0.25,"2,103.200", ,525.80
02030008,25头南非吉品鲍,,斤,,0.95,0.86,0.09,"1,872.710","1,610.53",168.54
02050001,20-29克禾麻鲍,,斤,,0.90, ,0.90,"5,933.980", ,"5,340.58"
02050001,20-29克禾麻鲍,,斤,,,,-0.90,,,"-5,600.00"
合计,,,,,,,,,"98,312.79","10,512.49"
0403,冬虫草1500支,,斤,,0.082005,0.024668,0.057337,"80,000.000","1,973.44","4,586.96"
合计,,,,,,,,,"1,973.44","4,586.96"
0102,燕盏,,斤,,1.93,1.40,0.53,"2,880.000","4,032.00","1,526.40"
合计,,,,,,,,,"4,032.00","1,526.40"
03050003,12寸牙勾翅,,斤,,1.77,1.36,0.41,"1,013.311","1,378.10",415.46
0308,23寸鬼春翅,,斤,,3.59,2.65,0.94,"1,666.660","4,416.65","1,566.66"
合计,,,,,,,,,"5,794.75","1,982.12"
,食品,,,,,,,,"110,112.98","18,607.97"
07010112,大鱼,,斤,,9.70,10.00,-0.30,125.000,"1,250.00",-37.50
合计,肉类,,,,,,,,"1,250.00",-37.50
