物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07050016,海螺,,斤,,6.00,5.00,1.00,48.000,240.00,48.00
09030005,鹅肝,,斤,,9.50,6.00,3.50,140.000,840.00,490.00
09120001,冻三文鱼,,斤,,2.80,12.50,-9.70,40.000,500.00,-388.00
09120095,三文鱼籽,,斤,,2.00,0.20,1.80,190.000,38.00,342.00
09120122,鸭利,,斤,,60.00,12.00,48.00,28.000,336.00,"1,344.00"
,肉类,,,,,,,,"1,954.00","1,836.00"
11010032,水果青瓜,,斤,,25.20,6.00,19.20,5.500,33.00,105.60
11030028,甜蜜豆,,斤,,5.00,1.00,4.00,9.750,9.80,39.20
11030052,毛豆,,斤,,12.00,1.50,10.50,4.611,6.91,48.34
11050002,莴笋头,,斤,,30.00, ,30.00,3.000, ,90.00
11060027,韭菜,,斤,,4.30,0.50,3.80,3.500,1.75,13.30
11060040,香芹,,斤,,8.00,3.00,5.00,5.500,16.50,27.50
11060055,薄荷叶,,斤,,12.00,0.50,11.50,9.929,4.97,114.28
11060063,紫心番薯,,斤,,7.00,3.70,3.30,4.000,14.80,13.20
11060065,红洋葱,,斤,,43.00,5.00,38.00,2.317,11.55,87.75
11060075,红萝卜,,斤,,18.00,2.00,16.00,2.033,4.04,32.36
11060076,白萝卜,,斤,,15.00, ,15.00,1.567, ,23.60
11060081,九芽生菜,,斤,,1.00,0.50,0.50,8.000,4.00,4.00
11060181,万年青,,斤,,19.30,6.50,12.80,28.000,182.00,358.40
11070049,生花生,,斤,,13.60,10.00,3.60,9.250,93.68,33.72
,蔬菜,,,,,,,,383.00,991.25
09120209,海蜇丝,,斤,,86.00,43.00,43.00,12.500,537.50,537.50
09120239,红珊蚌,,盒,,16.00,2.50,13.50,66.250,167.97,907.03
10010008,红谷米,,斤,,5.00,4.20,0.80,7.000,29.40,5.60
10010017,糯米(斤),,斤,,2.00,1.60,0.40,4.800,7.68,1.92
10030023,春卷皮,,包,,6.00, ,6.00,18.000, ,108.00
10030055,越南春卷皮/干,,包,,5.00,3.00,2.00,18.000,54.00,36.00
11030046,进口厚腐皮,,斤,,1.60,0.70,0.90,26.500,18.55,23.85
11060137,意大利黑醋,,支,,2.00, ,2.00,26.000, ,52.00
11060138,素鲍鱼,,只,,52.00,22.00,30.00,8.500,187.00,255.00
12030019,长城干红,750ml,支,,3.00, ,3.00,24.000, ,72.00
12030025,清酒,1.8升,支,,0.50, ,0.50,130.000, ,65.00
13020007,苹果醋,,支,,9.50,3.50,6.00,5.200,18.20,31.20
13020017,葡萄汁,,支,,3.00, ,3.00,36.000, ,108.00
14020013,红富士苹果,,斤,,6.30,1.00,5.30,7.750,7.62,40.38
14030002,新奇士橙,,斤,,23.20,1.00,22.20,10.000,10.00,222.00
14060002,草莓,,合,,17.50,1.00,16.50,25.000,25.00,412.50
14070001,红提子,,斤,,0.50,1.00,-0.50,15.000,15.00,-7.50
14070004,进口红提,,斤,,4.70, ,4.70,15.000, ,70.50
14090010,番茄仔,,斤,,11.50,1.00,10.50,4.000,4.00,42.00
15010011,芥茉油,60毫升,支,,12.50,5.00,7.50,3.900,19.60,29.40
15010049,日本麻油,,支,,75.00, ,75.00,16.000, ,"1,200.00"
15030004,麦牙糖,250g,罐,,0.50, ,0.50,3.000, ,1.50
15040010,卡夫奇妙酱,700ml,瓶,,2.30,0.50,1.80,21.500,10.57,38.03
15040036,味可美草莓酱,,瓶,,4.00, ,4.00,8.900, ,35.60
15040039,排骨酱,,瓶,,5.00,5.00, ,22.000,110.00, 
15040148,丘比蓝莓酱,,瓶,,10.00,2.00,8.00,17.333,34.90,139.60
15050016,宁化府陈醋,330ml,支,,22.00,4.00,18.00,10.750,43.00,193.50
15050019,宝鼎上海白醋,,支,,1.50,0.50,1.00,3.600,1.80,3.60
15060010,李锦记旧装蚝油,510克,瓶,,2.00, ,2.00,29.500, ,59.00
