物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07010001,大苏眉,,斤,,77.60,10.50,67.10,369.286,"3,864.64","24,696.86"
07010005,大龙趸,,斤,,128.20,14.50,113.70,37.250,542.36,"4,252.84"
07010006,老虎斑,,斤,,32.30,5.30,27.00,65.500,346.04,"1,762.86"
07010008,大东星斑,,斤,,52.40,5.00,47.40,95.000,460.93,"4,369.57"
07010009,细东星斑,,斤,,66.90,4.90,62.00,165.313,795.06,"10,059.94"
07010013,老鼠斑,,斤,,4.00, ,4.00,220.000, ,880.00
07010017,金钱斑,,斤,,2.40,2.40, ,130.000,312.00, 
07010018,红星斑,,斤,,21.80,3.60,18.20,151.667,546.28,"2,761.72"
07010051,黄丁,,斤,,28.50,4.30,24.20,86.200,367.46,"2,068.04"
07010056,大白花,,斤,,2.50, ,2.50,17.000, ,42.50
07010086,金雕鱼,,斤,,6.60,2.30,4.30,35.000,80.50,150.50
07010108,珍珠龙趸,,斤,,32.30, ,32.30,42.000, ,"1,363.50"
07010139,红玫瑰鱼,,斤,,49.00,0.20,48.80,203.500,40.70,"9,931.80"
07010142,蓝东星,,斤,,23.90, ,23.90,88.400, ,"2,110.40"
07010152,红牡丹鱼,,斤,,5.20, ,5.20,50.000, ,260.00
07020001,波斯龙虾,,斤,,56.20,18.10,38.10,84.667,"1,572.22","3,309.48"
07020003,花龙虾,,斤,,78.90,31.20,47.70,314.988,"9,801.89","14,985.59"
07020004,蓝龙虾,,斤,,26.40,7.50,18.90,130.000,975.00,"2,457.00"
07020010,斑马富贵虾,,斤,,12.20, ,12.20,145.000, ,"1,769.00"
07020017,花虾,,斤,,11.00, ,11.00,79.000, ,880.00
07020024,青龙虾仔,,斤,,31.60,5.50,26.10,177.143,959.19,"4,551.81"
07020028,次花龙虾,,斤,,2.80, ,2.80,210.000, ,588.00
07030007,大闸蟹(公),,只,,50.00, ,50.00,56.333, ,"2,912.00"
07030008,大闸蟹(母),,只,,2.00, ,2.00,80.000, ,160.00
07040001,象拨蚌,,斤,,44.30,4.80,39.50,181.667,871.15,"7,168.85"
07050039,美国响螺,,斤,,10.60, ,10.60,80.000, ,848.00
07050052,加拿大生蚝,,只,,58.00, ,58.00,19.000, ,"1,114.00"
07060002,大连鲍(5只/斤),,斤,,68.65,14.13,54.52,136.417,"1,951.38","7,529.32"
07060020,南非鲜鲍（6头）,,斤,,32.90,2.80,30.10,165.000,462.00,"4,966.50"
09120225,特大九节虾,1KG 7只/盒,盒,,19.43,5.14,14.29,210.000,"1,079.40","3,000.90"
09120281,九节虾,,斤,,10.00,4.00,6.00,87.500,350.00,525.00
合计,海鲜,,,,,,,,"25,378.20","121,475.98"
