物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
10010016,厨上厨猫牙米,,包,,18.00,4.00,14.00,125.000,500.00,"1,750.00"
10020007,优质河粉,,斤,,65.00, ,65.00,1.700, ,110.50
10050074,米线,,斤,,48.00, ,48.00,2.100, ,100.80
17050009,福食虾子面,,斤,,84.00,10.00,74.00,6.000,49.52,366.48
,粮油,,,,,,,,549.52,"2,327.78"
11040003,元椒,,斤,,70.00, ,70.00,2.300, ,161.00
15040049,阳江豆豉,400克,合,,2.00, ,2.00,4.200, ,8.40
15040050,腐乳,335克,瓶,,20.00,12.00,8.00,4.800,57.60,38.40
15090006,绿豆,,斤,,18.00, ,18.00,6.500, ,117.00
15090107,红衣花生,,斤,,30.00, ,30.00,8.000, ,240.00
15120107,凉茶,,包,,10.00, ,10.00,1.500, ,15.00
17010068,福食香脆片,,斤,,49.50,5.00,44.50,2.800,14.00,124.60
17070002,福食榨菜丝,,斤,,3.00,2.00,1.00,2.500,5.00,2.50
17070010,福食甜梅菜,,斤,,15.00, ,15.00,3.000, ,45.00
17040001,福食鸡蛋,,斤,,425.50, ,425.50,6.700, ,"2,850.85"
,食品,,,,,,,,76.60,"3,602.75"
11010043,福食节瓜,,斤,,31.00, ,31.00,2.000, ,62.00
17010001,福食生菜,,斤,,146.00, ,146.00,2.500, ,365.00
17010002,福食白萝卜,,斤,,127.00, ,127.00,1.300, ,165.10
17010003,福食茄瓜,,斤,,35.00, ,35.00,2.000, ,70.00
17010004,福食冬瓜,,斤,,25.00, ,25.00,1.200, ,30.00
17010005,福食油麦菜,,斤,,213.00, ,213.00,2.500, ,532.50
17010006,福食大白菜,,斤,,145.00, ,145.00,1.583, ,231.00
17010008,福食西洋菜,,斤,,33.00, ,33.00,3.500, ,115.50
17010009,福食本地菜心,,斤,,277.00, ,277.00,3.300, ,914.10
17010010,福食青尖椒,,斤,,7.00, ,7.00,2.100, ,14.70
17010013,福食椰菜,,斤,,76.00, ,76.00,1.500, ,114.00
17010015,福食青瓜,,斤,,105.00,20.00,85.00,2.200,44.00,187.00
17010016,福食鲜冬菇,,斤,,40.00, ,40.00,7.500, ,300.00
17010018,福食小塘菜,,斤,,69.00, ,69.00,2.500, ,172.50
17010020,福食肉姜,,斤,,12.00, ,12.00,8.000, ,96.00
17010021,福食葱肉,,斤,,12.00, ,12.00,4.500, ,54.00
17010025,福食小白菜,,斤,,212.00, ,212.00,2.500, ,530.00
17010046,福食酸菜,,斤,,16.00, ,16.00,2.500, ,40.00
17010047,福食通菜,,斤,,140.00, ,140.00,1.800, ,252.00
17010048,福食大豆芽,,斤,,122.00, ,122.00,1.000, ,122.00
17010049,福食苋菜,,斤,,177.00, ,177.00,1.800, ,318.60
17010056,福食凉瓜,,斤,,115.00, ,115.00,2.500, ,287.50
17010057,福食鲜木耳,,斤,,20.00,3.00,17.00,3.000,9.00,51.00
17010059,福食春菜,,斤,,208.00, ,208.00,2.500, ,520.00
17010060,福食白瓜,,斤,,120.00, ,120.00,1.600, ,192.00
17010061,福食海带丝,,斤,,3.00, ,3.00,2.800, ,8.40
17010063,福食干水小塘菜,,斤,,35.00, ,35.00,2.500, ,87.50
17010069,福食粉芋头,,斤,,70.00, ,70.00,4.300, ,301.00
17010070,福食水东芥菜,,斤,,242.00, ,242.00,2.500, ,605.00
17010071,福食红洋葱,,斤,,57.00, ,57.00,2.000, ,114.00
,蔬菜,,,,,,,,53.00,"6,852.40"
17020002,福食猪排骨,,斤,,19.10, ,19.10,18.500, ,353.35
17020003,福食冻猪手,,斤,,59.50, ,59.50,14.000, ,833.00
17030001,福食鲩鱼,,斤,,139.20, ,139.20,7.200, ,"1,001.21"
17030003,福食咸鱼,,斤,,25.00,7.00,18.00,18.000,126.00,324.00
17030012,福食鸡翼尖,,斤,,20.00, ,20.00,9.000, ,180.00
17030016,福食猪手,,斤,,51.00, ,51.00,14.000, ,714.00
17040006,福食鸡腿,,斤,,93.30, ,93.30,9.000, ,839.70
17070006,福食腊肠,,斤,,9.00, ,9.00,16.500, ,148.50
17070007,福食腊肉,,斤,,9.00, ,9.00,32.500, ,292.50
09010001,三黄鸡,,斤,,139.20, ,139.20,10.000, ,"1,392.00"
09010004,老鸡,,斤,,20.00, ,20.00,12.000, ,240.00
09020002,光鸭,,斤,,195.80, ,195.80,9.000, ,"1,762.20"
09040009,无皮花肉,,斤,,242.40,10.00,232.40,11.964,119.90,"2,786.40"
09040069,枚肉(瘦肉),,斤,,30.00, ,30.00,12.500, ,375.00
09040084,无皮方花肉,,斤,,25.00, ,25.00,12.000, ,300.00
,肉类,,,,,,,,245.90,"11,541.86"
合计,,,,,,,,,925.02,"24,324.79"
