物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
02010009,80-90克岩手大网鲍,,只,,7.50,7.50, ,"1,409.000","10,567.50", 
02010010,90-100克岩手大网鲍,,只,,3.00,1.00,2.00,"2,213.000","2,213.00","4,426.00"
02010011,120-150克岩手大网鲍,,只,,14.00,14.00, ,"5,009.000","70,036.00", 
02020002,26-30头吉品鲍,,斤,,0.78,0.68,0.10,"4,250.000","2,890.00",425.00
02020004,22-24克头吉品鲍,,斤,,1.00,0.59,0.41,"5,000.000","2,950.00","2,050.00"
02020010,16头-20头吉品鲍,,斤,,0.47, ,0.47,"6,000.000", ,"2,820.00"
02030005,10-13头南非网鲍,,斤,,1.03,1.03, ,"1,333.330","1,373.33", 
02030006,20头南非吉品鲍,,斤,,0.57,0.25,0.32,"2,103.200",525.80,673.02
02030008,25头南非吉品鲍,,斤,,0.95,0.95, ,"1,872.710","1,779.07", 
02050001,20-29克禾麻鲍,,斤,,0.99,0.90,0.09,"5,933.980","5,340.58",534.06
合计,,,,,,,,,"97,675.28","10,928.08"
03050003,12寸牙勾翅,,斤,,3.00,1.77,1.23,"1,013.311","1,793.56","1,246.37"
0308,23寸鬼春翅,,斤,,5.05,3.59,1.46,"1,666.660","5,983.31","2,433.32"
合计,,,,,,,,,"7,776.87","3,679.69"
0102,燕盏,,斤,,1.41,0.93,0.48,"2,880.000","2,666.88","1,393.92"
合计,,,,,,,,,"2,880.00","1,393.92"
0403,冬虫草1500支,,斤,,0.104006,0.082005,0.022001,"80,000.000","6,560.40","1,760.08"
合计,,,,,,,,,"6,560.40","1,760.08"
,食品,,,,,,,,"114,892.55","17,761.77"
07010112,大鱼,,斤,,18.20,9.70,8.50,125.000,"1,212.50","1,062.50"
合计,肉类,,,,,,,,"1,212.50","1,062.50"
