物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07010001,大苏眉,,斤,,39.70,6.30,33.40,388.750,"2,441.61","12,944.39"
07010005,大龙趸,,斤,,171.90, ,171.90,38.583, ,"6,633.90"
07010008,大东星斑,,斤,,91.90,22.50,69.40,110.375,"2,352.17","7,255.13"
07010009,细东星斑,,斤,,54.10,2.00,52.10,165.833,323.55,"8,428.45"
07010013,老鼠斑,,斤,,8.90,1.90,7.00,218.000,416.08,"1,532.92"
07010032,红瓜子,,斤,,2.70, ,2.70,220.000, ,594.00
07010108,珍珠龙趸,,斤,,29.50,3.90,25.60,41.667,162.20,"1,064.70"
07010121,黄皮大老虎,,斤,,12.20, ,12.20,150.000, ,"1,830.00"
07010139,红玫瑰鱼,,斤,,23.00,1.50,21.50,205.833,309.39,"4,434.61"
07010142,蓝东星,,斤,,36.50,2.40,34.10,75.750,190.68,"2,709.22"
07010151,大龙趸皇,,斤,,18.00, ,18.00,50.000, ,900.00
07020001,波斯龙虾,,斤,,31.60,6.10,25.50,75.000,468.31,"1,957.69"
07020003,花龙虾,,斤,,50.00,19.50,30.50,294.897,"6,065.22","9,486.63"
07020004,蓝龙虾,,斤,,23.60,10.80,12.80,144.000,"1,511.63","1,791.57"
07020010,斑马富贵虾,,斤,,37.60, ,37.60,155.000, ,"5,828.00"
07020017,花虾,,斤,,16.00, ,16.00,88.333, ,"1,410.00"
07020024,青龙虾仔,,斤,,22.70,6.50,16.20,201.000,"1,309.74","3,264.26"
07020025,印尼花龙虾,,斤,,19.20, ,19.20,310.050, ,"5,952.96"
07030007,大闸蟹(公),,只,,184.00,8.00,176.00,61.250,491.74,"10,818.26"
07030029,大闸蟹（4.5两）,,只,,3.00, ,3.00,38.000, ,114.00
07040001,象拨蚌,,斤,,29.40,2.70,26.70,189.286,509.51,"5,038.49"
07050001,珍宝蚝,,斤,,20.00, ,20.00,28.000, ,560.00
07050007,圣子王,,斤,,4.00, ,4.00,65.000, ,260.00
07050039,美国响螺,,斤,,4.90, ,4.90,100.000, ,490.00
07050050,新西兰生蚝,,只,,20.00, ,20.00,14.000, ,280.00
07050052,加拿大生蚝,,只,,120.00,13.00,107.00,19.857,252.42,"2,077.58"
07060002,大连鲍(5只/斤),,斤,,42.10,8.65,33.45,120.444,"1,004.06","3,882.74"
07070001,海水晶,,件,,3.00, ,3.00,35.000, ,105.00
09120225,特大九节虾,1KG 7只/盒,盒,,20.00,9.43,10.57,210.000,"1,980.30","2,219.70"
09120229,7头大虾,,盒,,5.14, ,5.14,210.000, ,"1,079.40"
15080041,大蚝,,斤,,20.00, ,20.00,20.000, ,400.00
合计,海鲜,,,,,,,,"19,788.61","105,343.60"
