物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07020020,明虾,,斤,,150.00, ,150.00,31.433, ,"4,715.00"
07020023,大沙虾,,斤,,7.00,5.00,2.00,22.000,99.29,39.71
07030021,毛蟹,,斤,,5.10,2.00,3.10,38.000,76.00,117.80
08040006,咸蛋黄,,只,,30.00,25.00,5.00,1.200,30.00,6.00
09040005,猪肥肉,,斤,,3.70,1.00,2.70,7.500,7.50,20.25
09110002,腊肉,,斤,,6.00,2.00,4.00,35.833,73.33,146.67
09110003,腊肠,,斤,,4.50,2.00,2.50,30.500,70.33,87.92
09120013,黄花鱼,,斤,,1.00,2.00,-1.00,21.000,42.00,-21.00
09120064,冻猪手,,斤,,50.00,15.00,35.00,14.000,210.00,490.00
09120111,珍珠蚝,,斤,,14.00,1.00,13.00,10.000,10.00,130.00
09120133,麻虾仁31-40,,斤,,130.00,75.00,55.00,45.000,"3,375.00","2,475.00"
09120206,凤爪,,斤,,59.00, ,59.00,22.800, ,"1,345.20"
09120211,樱花虾,0.5KG/包,斤,,2.00,1.00,1.00,181.840,181.84,181.84
09120222,虾饺馅,,斤,,28.00,5.00,23.00,54.500,272.50,"1,253.50"
09120224,珍珠蚝,,包,,5.00, ,5.00,10.000, ,50.00
09120260,烧卖馅,,斤,,59.00,12.00,47.00,34.300,411.60,"1,612.10"
,肉类,,,,,,,,"4,859.39","12,649.99"
10010020,五彩米,,包,,20.00,13.00,7.00,26.800,364.00,196.00
10010026,葛仙米,,斤,,0.80,0.80, ,"2,500.000","2,000.00", 
10030038,双箭澄面,,包,,2.20,2.00,0.20,215.000,430.00,43.00
,粮油,,,,,,,,"2,794.00",239.00
11010004,青瓜,,斤,,22.00,3.00,19.00,2.282,6.86,43.44
11010016,小金瓜,,斤,,22.00,3.00,19.00,4.000,12.00,76.00
11010038,7两太阳果,,只,,140.00, ,140.00,6.875, ,960.00
11010042,9两太阳果,,只,,60.00,20.00,40.00,7.000,140.00,280.00
11020006,鲜冬菇,,斤,,8.00,3.00,5.00,7.500,22.50,37.50
11020021,杏鲍菇,,斤,,69.00,4.00,65.00,6.423,25.68,417.32
11020028,百灵菇,,斤,,18.00,6.00,12.00,18.000,108.00,216.00
11060014,干水小塘菜,,斤,,23.00,2.00,21.00,2.800,5.60,58.80
11060015,干水奶白菜,,斤,,15.00,2.00,13.00,3.250,6.52,42.38
11060016,干水西生菜,,斤,,12.00,2.00,10.00,4.000,8.00,40.00
11060027,韭菜,,斤,,0.50,0.50, ,3.500,1.75, 
11060038,鲜白果肉,,斤,,1.00, ,1.00,7.000, ,7.00
11060040,香芹,,斤,,2.00, ,2.00,5.500, ,11.00
11060041,元茜,,斤,,1.00, ,1.00,12.000, ,12.00
11060044,西兰花,,斤,,47.00,4.00,43.00,5.500,22.00,236.50
11060055,薄荷叶,,斤,,7.50,0.50,7.00,8.300,4.15,58.10
11060060,莲藕,,斤,,27.50,5.00,22.50,4.350,21.68,97.57
11060066,干葱头,,斤,,4.00,1.00,3.00,5.500,5.50,16.50
11060075,红萝卜,,斤,,6.00, ,6.00,2.200, ,13.20
11060076,白萝卜,,斤,,136.00,8.00,128.00,1.500,12.00,192.00
11060124,百合皇,,斤,,7.20,1.00,6.20,45.000,45.00,279.00
11060129,泰国芫西,,斤,,5.70,0.50,5.20,18.000,9.00,93.60
11060130,洛神花,,斤,,1.00,0.50,0.50,90.000,45.00,45.00
11060174,九层塔,,斤,,4.50,0.50,4.00,7.857,3.94,31.56
11060205,芥兰苗,,斤,,2.00,4.00,-2.00,6.500,26.00,-13.00
11060255,芥兰远,,斤,,15.00, ,15.00,5.500, ,82.50
11070015,姜肉,,斤,,14.00,4.00,10.00,10.167,40.29,100.71
11070057,大叶,,合,,19.00,3.00,16.00,7.000,21.00,112.00
11070073,冰鲜黑松露菌,,斤,,2.00,2.00, ,450.000,900.00, 
11070081,广西老淮山,,斤,,5.00, ,5.00,7.800, ,39.00
,蔬菜,,,,,,,,"1,492.47","3,585.68"
10010022,三象糯米粉,,包,,33.00,15.00,18.00,6.000,90.00,108.00
10020015,红米粉,,斤,,2.00,4.00,-2.00,20.000,80.00,-40.00
10020022,粘米粉(斤),,斤,,47.00,6.00,41.00,5.000,30.00,205.00
10030030,金装油皮,500g,包,,3.00, ,3.00,15.000, ,45.00
10030031,白网皮,200g,包,,23.00,7.00,16.00,11.000,77.00,176.00
10030046,金像面粉(斤),,斤,,155.40,60.00,95.40,3.345,199.61,317.39
10030047,美玫面粉(斤),,斤,,341.60,45.00,296.60,3.364,151.53,998.73
10030052,稻庭面,1KG,包,,150.00,83.00,67.00,85.885,"7,128.45","5,754.30"
10030072,方黄金网皮,,包,,10.00,4.00,6.00,20.000,80.00,120.00
10030073,麻薯粉,,包,,4.00,1.50,2.50,95.000,142.50,237.50
10050045,寿桃,,只,,106.00,25.00,81.00,8.000,200.00,648.00
10050047,小笼包馅,,斤,,76.00,16.00,60.00,15.400,246.40,924.00
10050049,猪皮冻,,斤,,85.00,9.00,76.00,18.000,162.00,"1,368.00"
10050066,排骨馅,,斤,,65.00,11.00,54.00,26.000,286.00,"1,404.00"
10050067,牛肉馅,,斤,,44.00,10.00,34.00,24.200,242.00,822.80
10050069,脆皮,,斤,,5.00,2.00,3.00,15.000,30.00,45.00
12030051,朗姆酒,,支,,2.00,2.00, ,90.000,180.00, 
12030053,咖啡酒,,支,,1.00,1.00, ,95.000,95.00, 
14020005,牛油果,,只,,1.00, ,1.00,10.000, ,10.00
14020011,点心芒果,,斤,,8.40,3.00,5.40,9.000,27.00,48.60
14060002,草莓,,合,,16.00,1.00,15.00,25.000,25.00,375.00
14080001,雪梨,,斤,,81.40,2.00,79.40,4.417,8.76,347.94
14090008,进口柠檬,,斤,,2.20, ,2.20,16.500, ,36.00
14090034,脱衣核桃,,斤,,2.00,2.00, ,54.000,108.00, 
14090040,椰子,,只,,73.00,10.00,63.00,5.000,50.00,315.00
14090045,椰皇,,只,,10.00, ,10.00,4.000, ,40.00
15010006,黄奶油,,桶,,1.00, ,1.00,305.000, ,305.00
15010024,车轮黄牛油,16KG,桶,,1.00,0.50,0.50,305.000,152.50,152.50
15010025,车轮白奶油,15KG,桶,,1.07,1.50,-0.43,315.000,472.50,-135.45
15010037,正义猪板油(斤),,斤,,1.17,3.50,-2.33,9.000,31.50,-20.97
15010046,纽西兰大牛油,,件,,0.50,0.50, ,"1,050.000",525.00, 
15010047,蛋糕油,,瓶,,1.00,1.00, ,45.000,45.00, 
15030001,幼沙糖,30kg,包,,4.83,2.50,2.33,216.500,540.34,503.60
15030005,宝生园蜜糖,375克,瓶,,18.00,6.00,12.00,6.500,39.00,78.00
15030031,银珠糖,,罐,,1.00,2.00,-1.00,28.000,56.00,-28.00
15040001,樱花芥辣,43g,支,,6.00,3.00,3.00,9.000,27.00,27.00
15040007,四季宝花生酱,1kg,罐,,2.00,0.50,1.50,34.500,17.25,51.75
15040010,卡夫奇妙酱,700ml,瓶,,5.50,2.00,3.50,22.000,44.00,77.00
15040118,黑松露酱,,瓶,,4.50,1.20,3.30,468.750,565.00,"1,553.75"
15040131,英雄栗子茸,,罐,,3.00,2.00,1.00,80.000,160.00,80.00
15040132,好时朱古力酱,,支,,1.00,1.00, ,20.000,20.00, 
15040151,蟹粉,,瓶,,2.00,1.50,0.50,170.000,255.00,85.00
15050027,八珍甜醋,,罐,,2.50,1.00,1.50,98.000,98.00,147.00
15050028,致美斋甜醋,,罐,,2.50,1.00,1.50,49.667,50.40,75.60
15060002,李锦记草菇老抽,1.9l,瓶,,1.00,1.00, ,16.500,16.50, 
15060062,东古一品鲜酱油,500ML,支,,0.33,0.50,-0.17,7.500,3.74,-1.27
15070012,薯仔粉,2.46kg,罐,,2.00,1.00,1.00,50.000,50.00,50.00
15070023,鱼胶粉,500克,盒,,1.00, ,1.00,52.000, ,52.00
15070024,风车生粉,50KG,包,,1.00,1.50,-0.50,270.000,405.00,-135.00
15070025,(发酵)泡打粉,,罐,,1.00,1.00, ,40.000,40.00, 
15070026,鹰粟粉,1kg,包,,11.00,3.00,8.00,10.000,30.00,80.00
15070027,斧头食粉,454g,合,,3.00,2.00,1.00,4.500,9.00,4.50
15070029,依仕粉,500g,包,,2.00,1.00,1.00,18.000,18.00,18.00
15070030,吉士粉,3.5kg,罐,,1.00,1.00, ,80.000,80.00, 
15070062,奶粉,500g,包,,1.00, ,1.00,31.000, ,31.00
15070067,蛋黄色素,,包,,1.00,1.00, ,93.000,93.00, 
15070084,鸡粉,2kg,罐,,0.50, ,0.50,65.000, ,32.50
15070098,金山杏仁粉,,包,,1.00,1.00, ,900.000,900.00, 
15070120,风车生粉(斤),,斤,,290.00,1.50,288.50,5.400,8.10,"1,557.90"
15070126,BBA色素/橙黄,,罐,,1.00,1.00, ,98.000,98.00, 
15070140,三角唛苹果绿,,罐,,1.00,1.00, ,42.000,42.00, 
15070141,ABBA玫瑰红,,罐,,1.00,1.00, ,78.000,78.00, 
15070145,美极香菇粉,,罐,,2.50,3.00,-0.50,30.000,90.00,-15.00
15070146,木薯粉,0.5KG,包,,4.00,3.00,1.00,5.500,16.50,5.50
15070157,富田大红色素,,支,,1.00,1.00, ,23.000,23.00, 
15070163,金冠唂咕粉,,瓶,,4.00,3.00,1.00,38.000,114.00,38.00
15070164,龟苓膏粉,,包,,4.00,2.00,2.00,7.800,15.60,15.60
15070165,即溶吉士粉,,盒,,1.50,1.50, ,52.500,78.75, 
15070166,大师傅塔塔粉,,瓶,,1.00,1.00, ,75.000,75.00, 
15070171,朱师傅抹茶粉,,罐,,1.50,1.00,0.50,80.000,80.00,40.00
15070172,特A改良剂,,包,,1.00,0.50,0.50,30.000,15.00,15.00
15070175,富田粉红色素,,支,,1.00,1.00, ,23.000,23.00, 
15080002,虾米,,斤,,3.50,2.00,1.50,43.000,86.00,64.50
15080027,日本紫菜,50片4两,包,,1.50,1.00,0.50,25.000,25.00,12.50
15080070,粽叶,,包,,2.00,1.00,1.00,18.000,18.00,18.00
15080078,威化纸,,包,,1.00,2.50,-1.50,10.000,25.00,-15.00
15080120,椰丝,,斤,,3.00,3.00, ,12.000,36.00, 
15080165,野生金耳,0.5斤/包,斤,,0.50,0.20,0.30,100.000,20.00,30.00
15080168,去衣杏仁,,斤,,8.00,2.00,6.00,21.000,42.00,126.00
15090005,红豆,,斤,,4.00,3.00,1.00,6.500,19.50,6.50
15090006,绿豆,,斤,,3.00,3.00, ,6.500,19.50, 
15090027,黑芝麻,,斤,,4.00,3.00,1.00,11.000,33.00,11.00
15090028,白芝麻,,斤,,2.00,1.00,1.00,11.500,11.50,11.50
15090106,西杏片,,斤,,4.00,2.00,2.00,42.500,85.00,85.00
15090127,雪莲子,,斤,,2.00,1.00,1.00,175.000,175.00,175.00
15090128,鲜白莲子,,斤,,6.10,0.50,5.60,18.000,9.00,100.80
15090132,西米,,包,,8.00,6.00,2.00,1.500,9.00,3.00
15100002,鹰唛炼奶,370g,罐,,20.00,5.00,15.00,11.000,55.00,165.00
15100005,保利奶,1kg,罐,,32.00, ,32.00,16.000, ,512.00
15100009,雀巢咖啡,200g,瓶,,1.50,1.50, ,58.000,87.00, 
15100018,豆豉鲮鱼,227g,罐,,2.00,1.00,1.00,8.000,8.00,8.00
15100026,高达椰浆,400g,罐,,3.00, ,3.00,8.500, ,25.50
15100034,地扪杂果,,罐,,3.00,4.00,-1.00,12.000,48.00,-12.00
15100071,桂花糖,300g,支,,2.00,2.00, ,5.000,10.00, 
15100105,黑车厘子,,瓶,,2.00,2.00, ,25.000,50.00, 
15100106,淑女光亮膏,,瓶,,1.00,1.00, ,32.000,32.00, 
15100107,太古糖霜,,罐,,0.50,1.00,-0.50,210.000,210.00,-105.00
15100109,铁塔淡奶油,1L,罐,,36.00,10.00,26.00,45.000,450.00,"1,170.00"
15100112,金钻忌廉,,盒,,11.00,8.00,3.00,19.000,152.00,57.00
15110051,雪菜,,斤,,6.00,2.00,4.00,3.000,6.00,12.00
15130018,百利鱼胶片,,盒,,2.00,2.00, ,170.000,340.00, 
15130019,黄原胶,,罐,,1.00,1.00, ,480.000,480.00, 
15130020,卡拉胶,,罐,,1.00,1.00, ,460.000,460.00, 
15130029,卡码黑朱古力,,块,,1.00,1.00, ,335.000,335.00, 
15130030,飞鹰黑朱古力,,块,,0.50,0.50, ,175.000,87.50, 
15130032,铁塔忌廉芝士,,盒,,4.50,1.00,3.50,151.250,151.67,530.83
15130033,朱古力转印纸,,盒,,1.00,1.00, ,165.000,165.00, 
15130034,卡码白朱古力,,块,,0.50,0.50, ,335.000,167.50, 
15130036,朱古力装饰件,,盒,,1.00,1.00, ,45.000,45.00, 
15130039,马苏里拉芝士,,块,,1.00,1.00, ,290.000,290.00, 
1634,日本绿茶,,包,,0.50,0.50, ,110.778,55.39, 
,食品,,,,,,,,"19,438.49","22,038.90"
合计,,,,,,,,,"28,584.35","38,513.57"
