物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07010056,大白花,,斤,,9.50,9.50, ,14.000,133.00, 
07010062,笋壳鱼,,斤,,69.90,18.70,51.20,59.818,"1,114.19","3,050.61"
07010087,侧鱼,,斤,,63.80,5.00,58.80,13.167,65.71,772.79
07010142,蓝东星,,斤,,4.50,3.40,1.10,48.000,163.20,52.80
07020020,明虾,,斤,,5.00, ,5.00,27.000, ,135.00
07030010,肉蟹,,斤,,8.00, ,8.00,56.000, ,448.00
07030011,羔蟹,,斤,,7.00,4.00,3.00,73.000,292.00,219.00
07030018,红毛蟹,,斤,,20.50,13.50,7.00,95.000,"1,282.50",665.00
07050016,海螺,,斤,,95.00,8.00,87.00,43.600,347.87,"3,783.13"
07050019,北极贝,2斤,合,,2.00,2.00, ,180.000,360.00, 
07050042,白贝,,斤,,81.00,3.00,78.00,3.500,10.46,272.04
07050051,新西兰青口,,包,,1.00, ,1.00,70.000, ,70.00
07060002,大连鲍(5只/斤),,斤,,2.20, ,2.20,98.000, ,215.60
07060004,大连鲍(小),,斤,,11.00,1.00,10.00,75.250,75.73,757.27
07060011,大连鲍12头,,斤,,3.00, ,3.00,98.000, ,294.00
07060019,翡翠鲍鱼,8只/包,只,,324.00,281.00,43.00,53.467,"15,170.30","2,321.43"
,肉类,,,,,,,,"19,014.96","13,056.67"
02050005,鲍鱼片（粉）,,斤,,2.40,2.40, ,625.020,"1,500.05", 
08010002,一般花胶,,斤,,5.37,1.70,3.67,"1,983.320","3,371.64","7,278.79"
08010005,黄花胶,,斤,,3.77,0.47,3.30,525.000,262.04,"1,839.86"
08010015,阿巴公花胶,,斤,,2.93,2.27,0.66,"3,162.800","7,179.55","2,087.45"
08020005,山参,,斤,,3.44, ,3.44,600.000, ,"2,064.00"
08030005,关东辽参,,斤,,5.69,2.76,2.93,"4,600.000","12,696.00","13,478.00"
08030007,关西辽参,,斤,,2.11,1.60,0.51,"1,666.668","2,666.67",850.00
08040001,鸡蛋,,斤,,46.80, ,46.80,6.700, ,313.56
08040008,竹笙蛋,,斤,,2.00,2.00, ,38.000,76.00, 
08060001,雪蛤,,斤,,0.21,0.21, ,"2,038.360",428.06, 
,食品,,,,,,,,"28,180.01","27,911.66"
08050010,大红咸鱼,,斤,,2.00,2.00, ,52.000,104.00, 
09010004,老鸡,,斤,,92.10, ,92.10,12.000, ,"1,105.20"
09010018,珍珠鸡,,斤,,17.50, ,17.50,28.000, ,490.00
09010024,鸡油,,斤,,10.00, ,10.00,3.000, ,30.00
09010029,鸡脚,,斤,,12.40, ,12.40,12.800, ,158.72
09010033,凤中皇,,斤,,232.30,10.00,222.30,23.000,230.00,"5,112.90"
09010035,本地鸡,,只,,3.00, ,3.00,75.000, ,225.00
09010040,鸡壳,,斤,,686.40, ,686.40,8.000, ,"5,491.20"
09010046,脆皮鸡,,只,,2.00, ,2.00,69.000, ,138.00
09010047,扇鸡,,斤,,4.20,4.20, ,25.000,105.00, 
09020004,水鸭,,只,,70.00,10.00,60.00,20.000,200.00,"1,200.00"
09020009,乳鸭,,只,,20.00,3.00,17.00,16.500,49.50,280.50
09030002,黑宗鹅,,斤,,17.90,12.50,5.40,21.000,262.50,113.40
09030005,鹅肝,,斤,,48.00,10.00,38.00,140.000,"1,400.00","5,320.00"
09030012,匈牙利鹅肝,,斤,,2.80,11.50,-8.70,144.000,"1,656.00","-1,252.80"
