物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07050016,海螺,,斤,,8.00,6.00,2.00,48.000,288.00,96.00
09030005,鹅肝,,斤,,3.00,9.50,-6.50,140.000,"1,330.00",-910.00
09120001,冻三文鱼,,斤,,13.00,2.80,10.20,40.000,112.00,408.00
09120095,三文鱼籽,,斤,,2.30,2.00,0.30,190.000,380.00,57.00
09120122,鸭利,,斤,,44.00,8.00,36.00,28.000,224.00,"1,008.00"
09120209,海蜇丝,,斤,,112.00,86.00,26.00,12.500,"1,075.00",325.00
09120239,红珊蚌,,盒,,11.50,3.00,8.50,70.000,210.00,595.00
,肉类,,,,,,,,"3,619.00","1,579.00"
11010032,水果青瓜,,斤,,16.50,2.20,14.30,5.250,11.67,75.83
11030007,龙牙豆,,斤,,1.00, ,1.00,4.300, ,4.30
11030028,甜蜜豆,,斤,,8.00,1.00,7.00,9.000,9.00,63.00
11030052,毛豆,,斤,,8.30,2.50,5.80,5.000,12.50,29.00
11050002,莴笋头,,斤,,24.00,5.00,19.00,3.000,15.00,57.00
11060027,韭菜,,斤,,1.50,0.50,1.00,3.500,1.75,3.50
11060040,香芹,,斤,,3.00, ,3.00,4.500, ,13.50
11060055,薄荷叶,,斤,,13.00,0.50,12.50,8.500,4.25,106.25
11060065,红洋葱,,斤,,26.00,2.00,24.00,2.500,5.00,60.00
11060075,红萝卜,,斤,,15.00,2.00,13.00,2.200,4.40,28.60
11060076,白萝卜,,斤,,4.00,4.00, ,1.500,6.00, 
11060110,鲜花生,,斤,,8.00, ,8.00,5.000, ,40.00
11060138,素鲍鱼,,只,,39.00,12.00,27.00,8.500,102.00,229.50
11060181,万年青,,斤,,21.40,9.30,12.10,28.000,260.40,338.80
11070049,生花生,,斤,,15.00,3.60,11.40,9.000,32.40,102.60
11070069,鲜天麻,,斤,,2.50, ,2.50,42.000, ,105.00
,蔬菜,,,,,,,,464.37,"1,256.88"
10010008,红谷米,,斤,,5.00,5.00, ,7.000,35.00, 
10030023,春卷皮,,包,,5.00, ,5.00,18.000, ,90.00
10030055,越南春卷皮/干,,包,,8.00,5.00,3.00,18.000,90.00,54.00
11030046,进口厚腐皮,,斤,,3.30,1.60,1.70,26.500,42.40,45.05
11060137,意大利黑醋,,支,,2.20,1.00,1.20,26.000,26.00,31.20
12030019,长城干红,750ml,支,,4.00, ,4.00,24.000, ,96.00
12030025,清酒,1.8升,支,,1.00,0.50,0.50,130.000,65.00,65.00
13020007,苹果醋,,支,,8.00,3.50,4.50,5.200,18.20,23.40
13020017,葡萄汁,,支,,6.00, ,6.00,36.000, ,216.00
14020013,红富士苹果,,斤,,7.50,1.50,6.00,8.333,12.90,51.60
14030002,新奇士橙,,斤,,23.60,10.30,13.30,10.000,103.00,133.00
14060002,草莓,,合,,15.50,1.50,14.00,25.000,37.50,350.00
14070001,红提子,,斤,,1.00,0.50,0.50,15.000,7.50,7.50
14070004,进口红提,,斤,,4.60, ,4.60,15.000, ,69.00
14090010,番茄仔,,斤,,8.00,0.50,7.50,4.000,2.00,30.00
15010011,芥茉油,60毫升,支,,8.00,3.50,4.50,4.000,14.00,18.00
15010049,日本麻油,,支,,3.00, ,3.00,16.000, ,48.00
15030004,麦牙糖,250g,罐,,1.00,0.50,0.50,3.000,1.50,1.50
15040010,卡夫奇妙酱,700ml,瓶,,0.70,0.30,0.40,22.000,6.60,8.80
15040036,味可美草莓酱,,瓶,,6.00, ,6.00,8.900, ,53.40
15040039,排骨酱,,瓶,,5.00,5.00, ,22.000,110.00, 
15040063,蓝莓酱,340g,瓶,,1.00, ,1.00,38.000, ,38.00
15040148,丘比蓝莓酱,,瓶,,10.00,1.00,9.00,17.000,17.00,153.00
15050016,宁化府陈醋,330ml,支,,16.00,2.00,14.00,10.750,21.50,150.50
15050019,宝鼎上海白醋,,支,,2.30,0.50,1.80,3.533,1.77,6.38
15060016,泰国鱼露,725毫升,瓶,,1.00,0.20,0.80,8.000,1.60,6.40
15060029,味淋,1.8l,瓶,,2.00, ,2.00,25.835, ,51.67
15060031,香槽卤,,瓶,,13.00,11.00,2.00,6.000,66.00,12.00
15060033,家乐浓缩鸡汁,1kg,瓶,,7.70,2.00,5.70,51.000,102.00,290.70
15060042,家乐辣鲜露,400毫升,支,,1.00,1.50,-0.50,15.000,22.50,-7.50
15060050,丘比凯撒沙拉汁,1kg,支,,1.00,1.00, ,60.000,60.00, 
15060062,东古一品鲜酱油,500ML,支,,7.20,2.50,4.70,7.500,18.75,35.25
15060063,丘比焙煎芝麻汁,1.5L,支,,2.80,0.50,2.30,59.000,29.29,134.71
15060069,家乐麻辣鲜露,400ml,支,,4.00, ,4.00,15.000, ,60.00
15060093,苹果汁,,合,,2.20,0.70,1.50,18.000,12.60,27.00
15070023,鱼胶粉,500克,盒,,1.50,1.00,0.50,52.000,52.00,26.00
15080015,花菇,,斤,,2.00, ,2.00,52.000, ,104.00
15080016,冬菇,,斤,,2.30,3.00,-0.70,52.000,156.00,-36.40
15080113,靓老鼠耳,,斤,,8.10,0.60,7.50,105.000,63.00,787.50
15080139,山楂干,,斤,,0.80,0.60,0.20,15.000,9.00,3.00
15080178,小米辣椒,,斤,,13.20,2.00,11.20,4.000,8.00,44.80
15090009,黑豆,,斤,,9.00,6.00,3.00,8.000,48.00,24.00
15090028,白芝麻,,斤,,1.80,1.40,0.40,11.250,15.79,4.51
15090042,大红枣,,斤,,2.20,1.70,0.50,35.000,59.50,17.50
15090107,红衣花生,,斤,,14.70,2.30,12.40,8.000,18.40,99.20
15090119,白云豆,,斤,,8.00,2.00,6.00,10.000,20.00,60.00
15090146,九制话梅,,包,,27.00,12.00,15.00,5.000,60.00,75.00
15100005,保利奶,1kg,罐,,26.00,3.20,22.80,16.000,51.20,364.80
15100071,桂花糖,300g,支,,3.00,1.00,2.00,5.000,5.00,10.00
15100103,糟卤,,瓶,,20.00, ,20.00,6.500, ,130.00
15120053,孜然,,斤,,0.40, ,0.40,18.000, ,7.20
15120102,虫草花,,斤,,1.70,0.90,0.80,80.000,72.00,64.00
15120165,小茴香,,斤,,0.50,0.40,0.10,11.000,4.40,1.10
1601,铁观音,,斤,,3.90,2.00,1.90,25.000,50.00,47.50
1611,红茶,,斤,,0.50,0.50, ,17.000,8.50, 
Y1090017,高山芷扬,,扎,,4.00, ,4.00,12.000, ,48.00
Y1090019,针叶松,,扎,,1.00, ,1.00,17.000, ,17.00
Y1090023,跳舞兰,,扎,,6.00,1.00,5.00,40.000,40.00,200.00
,食品,,,,,,,,"1,665.40","4,448.27"
合计,,,,,,,,,"5,748.77","7,284.15"
