物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
10020007,优质河粉,,斤,,65.00, ,65.00,1.700, ,110.50
10050074,米线,,斤,,61.00, ,61.00,2.100, ,128.10
10010016,厨上厨猫牙米,,包,,18.00,3.00,15.00,125.000,375.00,"1,875.00"
17050009,福食虾子面,,斤,,29.00,4.00,25.00,27.200,75.03,468.97
,粮油,,,,,,,,450.03,"2,582.57"
14090036,菠萝,,斤,,6.00, ,6.00,4.500, ,27.00
15040050,腐乳,335克,瓶,,23.00,20.00,3.00,4.800,96.00,14.40
15080166,龙口粉丝,200g,包,,4.00, ,4.00,3.500, ,14.00
15090006,绿豆,,斤,,20.00, ,20.00,6.500, ,130.00
15090107,红衣花生,,斤,,25.00,5.00,20.00,8.500,44.00,176.00
15120107,凉茶,,包,,40.00,10.00,30.00,1.500,15.00,45.00
17040001,福食鸡蛋,,斤,,500.10, ,500.10,6.500, ,"3,250.65"
17060001,福食苹果,,斤,,80.00, ,80.00,8.000, ,640.00
17070002,福食榨菜丝,,斤,,2.00,3.00,-1.00,2.500,7.50,-2.50
17070004,福食梅菜,,斤,,61.00, ,61.00,2.500, ,152.50
17070010,福食甜梅菜,,斤,,20.00, ,20.00,3.000, ,60.00
,食品,,,,,,,,162.50,"4,507.05"
11010043,福食节瓜,,斤,,166.00, ,166.00,1.800, ,298.80
11040003,元椒,,斤,,40.00, ,40.00,2.500, ,100.00
17010001,福食生菜,,斤,,36.00, ,36.00,2.500, ,90.00
17010003,福食茄瓜,,斤,,135.00, ,135.00,2.000, ,270.00
17010004,福食冬瓜,,斤,,50.00, ,50.00,1.200, ,60.00
17010005,福食油麦菜,,斤,,208.00, ,208.00,2.500, ,520.00
17010006,福食大白菜,,斤,,186.00,10.00,176.00,1.500,15.00,264.00
17010009,福食本地菜心,,斤,,243.00, ,243.00,3.300, ,801.90
17010010,福食青尖椒,,斤,,8.00, ,8.00,2.200, ,17.60
17010016,福食鲜冬菇,,斤,,50.00, ,50.00,7.500, ,375.00
17010018,福食小塘菜,,斤,,102.00, ,102.00,2.300, ,234.60
17010019,福食蒜肉,,斤,,3.00, ,3.00,5.000, ,15.00
17010020,福食肉姜,,斤,,12.00, ,12.00,9.500, ,114.00
17010021,福食葱肉,,斤,,9.00, ,9.00,5.000, ,45.00
17010025,福食小白菜,,斤,,207.00, ,207.00,2.000, ,414.00
17010031,福食白豆角,,斤,,24.00, ,24.00,2.800, ,67.20
17010033,福食苦麦菜,,斤,,35.00, ,35.00,2.500, ,87.50
17010046,福食酸菜,,斤,,75.00, ,75.00,2.500, ,187.50
17010047,福食通菜,,斤,,241.00, ,241.00,1.800, ,433.80
17010048,福食大豆芽,,斤,,86.00, ,86.00,1.000, ,86.00
17010049,福食苋菜,,斤,,275.00, ,275.00,1.800, ,495.00
17010053,福食潺菜,,斤,,36.00, ,36.00,1.600, ,57.60
17010056,福食凉瓜,,斤,,110.00, ,110.00,2.000, ,220.00
17010059,福食春菜,,斤,,105.00, ,105.00,2.200, ,231.00
17010060,福食白瓜,,斤,,135.00, ,135.00,1.840, ,248.00
17010061,福食海带丝,,斤,,9.00, ,9.00,2.800, ,25.20
17010068,福食香脆片,,斤,,42.50,10.00,32.50,2.800,28.00,91.00
17010070,福食水东芥菜,,斤,,37.00, ,37.00,2.500, ,92.50
17010071,福食红洋葱,,斤,,56.00, ,56.00,2.000, ,112.00
17010081,福食菜心棵,,斤,,37.00, ,37.00,2.500, ,92.50
,蔬菜,,,,,,,,43.00,"6,146.70"
09010001,三黄鸡,,斤,,138.70, ,138.70,9.000, ,"1,248.30"
09020002,光鸭,,斤,,100.10, ,100.10,8.500, ,850.85
09040002,猪赤肉,,斤,,10.00, ,10.00,12.000, ,120.00
09040009,无皮花肉,,斤,,217.30,5.00,212.30,11.417,57.38,"2,436.57"
17020002,福食猪排骨,,斤,,60.00, ,60.00,18.000, ,"1,080.00"
17020003,福食冻猪手,,斤,,65.00,20.00,45.00,14.000,280.00,630.00
17030001,福食鲩鱼,,斤,,86.10,10.00,76.10,7.250,72.40,550.93
17030003,福食咸鱼,,斤,,43.00,5.00,38.00,18.000,90.00,684.00
17030012,福食鸡翼尖,,斤,,30.00, ,30.00,9.000, ,270.00
17030015,福食烧鸭,,斤,,32.00, ,32.00,15.000, ,480.00
17030016,福食猪手,,斤,,48.90, ,48.90,14.000, ,684.60
17040006,福食鸡腿,,斤,,136.20,10.00,126.20,9.000,90.00,"1,135.80"
,肉类,,,,,,,,589.78,"10,171.05"
合计,,,,,,,,,"1,245.31","23,407.37"
