物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07010062,笋壳鱼,,斤,,100.50,3.50,97.00,63.364,222.06,"6,154.24"
07010087,侧鱼,,斤,,74.30,6.00,68.30,13.500,81.00,922.05
07010142,蓝东星,,斤,,5.70, ,5.70,55.000, ,313.50
07020018,虾菇,,斤,,4.00, ,4.00,25.000, ,100.00
07020020,明虾,,斤,,5.00, ,5.00,32.000, ,160.00
07030007,大闸蟹(公),,只,,21.00, ,21.00,70.000, ,"1,470.00"
07030010,肉蟹,,斤,,16.40,8.00,8.40,60.500,479.61,503.59
07030011,羔蟹,,斤,,6.00, ,6.00,70.000, ,420.00
07030022,阿拉斯加蟹,,斤,,11.20, ,11.20,115.000, ,"1,330.00"
07030023,阿拉斯加蟹钳,,斤,,10.00, ,10.00,84.000, ,840.00
07050016,海螺,,斤,,124.00,8.00,116.00,46.737,373.94,"5,422.06"
07050019,北极贝,2斤,合,,2.00,2.00, ,180.000,360.00, 
07050042,白贝,,斤,,86.00,3.00,83.00,3.674,11.09,306.91
07060002,大连鲍(5只/斤),,斤,,3.00,2.20,0.80,98.000,215.60,78.40
07060004,大连鲍(小),,斤,,24.00,8.00,16.00,68.000,544.00,"1,088.00"
07060011,大连鲍12头,,斤,,2.50,,2.50,55.000, ,137.50
07060019,翡翠鲍鱼,8只/包,只,,430.00,404.00,26.00,53.467,"21,785.94","1,402.07"
0709,鲜海参（条）,,条,,20.00, ,20.00,28.360, ,567.20
,肉类,,,,,,,,"24,073.24","21,215.52"
08010002,一般花胶,,斤,,9.23,3.37,5.86,"1,983.320","6,683.79","11,622.25"
08010005,黄花胶,,斤,,4.93,1.77,3.16,525.000,871.39,"1,555.71"
08010015,阿巴公花胶,,斤,,3.20,2.93,0.27,"3,162.800","9,267.00",853.96
08030005,关东辽参,,斤,,6.10,1.69,4.41,"4,600.000","7,774.00","20,286.00"
08030007,关西辽参,,斤,,2.59,1.11,1.48,"1,748.585","1,891.43","2,521.90"
08040001,鸡蛋,,斤,,15.00, ,15.00,6.500, ,97.50
08060001,雪蛤,,斤,,0.21,0.21, ,"2,038.360",428.06, 
,食品,,,,,,,,"26,915.67","36,937.32"
08050009,水咸鱼,,条,,2.00, ,2.00,60.000, ,120.00
08050010,大红咸鱼,,斤,,2.60,2.00,0.60,52.000,104.00,31.20
09010004,老鸡,,斤,,31.50, ,31.50,12.000, ,378.00
09010024,鸡油,,斤,,21.50, ,21.50,3.000, ,64.50
09010029,鸡脚,,斤,,11.80, ,11.80,12.800, ,151.04
09010033,凤中皇,,斤,,244.60,10.00,234.60,23.317,230.78,"5,414.02"
09010039,冻鸡壳,,斤,,22.50, ,22.50,8.000, ,180.00
09010040,鸡壳,,斤,,651.70, ,651.70,8.000, ,"5,213.60"
09010046,脆皮鸡,,只,,8.00, ,8.00,73.000, ,604.00
09020004,水鸭,,只,,47.00,10.00,37.00,20.000,200.00,740.00
09020009,乳鸭,,只,,37.00,5.00,32.00,16.000,80.00,512.00
09030002,黑宗鹅,,斤,,4.50, ,4.50,21.000, ,94.50
09030005,鹅肝,,斤,,71.20,48.00,23.20,140.000,"6,720.00","3,248.00"
09030007,进口鹅掌,,斤,,1.90, ,1.90,50.000, ,95.00
09030012,匈牙利鹅肝,,斤,,7.00,2.80,4.20,144.000,403.20,604.80
09030013,法国鹅肝,,斤,,33.00,20.00,13.00,230.000,"4,600.00","2,990.00"
09030014,潮州鹅,,斤,,45.00, ,45.00,30.000, ,"1,350.00"
09040002,猪赤肉,,斤,,30.00,42.00,-12.00,12.167,504.84,-144.24
09040009,无皮花肉,,斤,,26.00, ,26.00,11.500, ,299.00
09040010,猪一字梅,,斤,,26.00,12.00,14.00,12.600,150.46,175.54
09040036,猪排骨,,斤,,548.00,18.00,530.00,17.964,323.66,"9,529.84"
09040045,猪圆蹄,,斤,,4.20, ,4.20,10.500, ,44.10
09040047,猪脚,,斤,,6.10, ,6.10,10.000, ,61.00
09040051,猪皮,,斤,,2.30, ,2.30,3.000, ,6.90
09040068,乳猪,4-5斤,头,,6.00, ,6.00,288.000, ,"1,728.00"
09040069,枚肉(瘦肉),,斤,,"1,060.60", ,"1,060.60",12.500, ,"13,257.50"
09040084,无皮方花肉,,斤,,75.40,8.00,67.40,15.875,127.36,"1,073.04"
09040092,猪手尖,,斤,,3.00, ,3.00,13.000, ,39.00
09040093,乳猪,,斤,,90.50,18.00,72.50,23.250,417.44,"1,681.36"
09050005,牛坑腩,,斤,,5.00, ,5.00,26.000, ,130.00
09050026,牛横膈膜,,斤,,22.00,14.00,8.00,214.750,"4,394.60","2,511.20"
09050028,牛膀,,斤,,12.20, ,12.20,5.500, ,67.10
09050038,无骨牛坑腩,,斤,,8.00, ,8.00,26.000, ,208.00
09100006,水蛇,,斤,,103.00,4.00,99.00,24.960,99.84,"2,471.16"
09100007,海蛇,,斤,,6.10, ,6.10,115.000, ,701.50
09110012,金华火腿,,斤,,58.00,40.00,18.00,29.200,"1,168.00",525.60
09110017,烟肉片,,斤,,0.50, ,0.50,63.000, ,31.50
09110018,西班牙火腿,,斤,,3.00,1.50,1.50,343.090,514.63,514.64
09110019,湘西情腊肉,,斤,,3.00,3.00, ,35.000,105.00, 
09120001,冻三文鱼,,斤,,26.90,2.00,24.90,38.333,75.68,942.17
09120013,黄花鱼,,斤,,13.70, ,13.70,23.000, ,315.10
09120034,海胆,60G,板,,23.00,10.00,13.00,28.000,280.00,364.00
09120040,金钱肚,,斤,,39.10,12.00,27.10,21.500,257.86,582.34
09120041,肥牛肉,,斤,,12.00,5.00,7.00,51.000,255.00,357.00
09120055,烟肉,2KG,包,,2.00,6.50,-4.50,63.000,409.50,-283.50
09120064,冻猪手,,斤,,16.00,12.00,4.00,13.500,163.50,54.50
09120084,羊排,,斤,,6.20, ,6.20,44.000, ,272.80
09120086,鳄鱼肉,,斤,,68.90,5.00,63.90,61.091,305.02,"3,898.18"
09120094,帆立贝,2斤/盒,斤,,74.00,55.00,19.00,136.000,"7,480.00","2,584.00"
09120095,三文鱼籽,,斤,,2.00, ,2.00,190.000, ,380.00
09120104,大凤爪,,斤,,12.00, ,12.00,15.500, ,186.00
09120106,鸡胸肉,,斤,,10.00, ,10.00,9.750, ,97.00
09120111,珍珠蚝,,斤,,5.00, ,5.00,12.000, ,60.00
09120148,冻金枪鱼腩,,斤,,16.00,9.50,6.50,517.778,"4,918.89","3,365.56"
09120180,猪颈肉,,斤,,35.80,5.00,30.80,17.417,87.15,536.85
09120182,牛肋骨,,斤,,10.00,6.00,4.00,62.000,372.00,248.00
09120183,白仓鱼,,斤,,1.40, ,1.40,19.000, ,26.60
09120190,美国牛仔骨,,斤,,105.20,18.00,87.20,65.900,"1,191.35","5,771.45"
09120192,西冷牛肉,,斤,,120.00,30.00,90.00,360.000,"10,800.00","32,400.00"
09120202,南美海椰皇,,斤,,18.00,4.00,14.00,122.500,484.44,"1,695.56"
09120211,樱花虾,0.5KG/包,斤,,7.50,1.00,6.50,181.840,181.84,"1,181.96"
