物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07020020,明虾,,斤,,153.00, ,153.00,34.103, ,"5,243.00"
07020023,大沙虾,,斤,,5.00,5.00, ,17.000,85.00, 
09110002,腊肉,,斤,,3.00,1.00,2.00,35.000,34.17,68.33
09110003,腊肠,,斤,,3.00,0.50,2.50,27.000,11.75,58.75
09120013,黄花鱼,,斤,,3.00,1.00,2.00,21.000,21.00,42.00
09120064,冻猪手,,斤,,40.00,10.00,30.00,13.667,137.50,412.50
09120111,珍珠蚝,,斤,,18.00,3.00,15.00,10.000,30.00,150.00
09120133,麻虾仁31-40,,斤,,85.00,50.00,35.00,45.000,"2,250.00","1,575.00"
09120206,凤爪,,斤,,71.00,8.00,63.00,22.800,182.40,"1,436.40"
09120211,樱花虾,0.5KG/包,斤,,4.00,2.00,2.00,181.840,363.68,363.68
09120222,虾饺馅,,斤,,41.00,5.00,36.00,54.500,272.50,"1,962.00"
09120239,红珊蚌,,盒,,4.00, ,4.00,70.000, ,280.00
09120256,A级大凤爪,,斤,,10.00, ,10.00,16.500, ,165.00
09120260,烧卖馅,,斤,,59.00,13.00,46.00,34.300,445.90,"1,577.80"
,肉类,,,,,,,,"3,833.90","13,334.46"
10010020,五彩米,,包,,10.00,7.00,3.00,22.800,159.60,68.40
10010022,三象糯米粉,,包,,35.00,13.00,22.00,6.000,78.00,132.00
10010026,葛仙米,,斤,,0.80,0.80, ,"2,500.000","2,000.00", 
10030038,双箭澄面,,包,,3.00,1.20,1.80,215.000,258.00,387.00
,粮油,,,,,,,,"2,495.60",587.40
11010004,青瓜,,斤,,23.00,3.00,20.00,2.186,6.57,43.83
11010016,小金瓜,,斤,,16.50, ,16.50,4.000, ,66.00
11010038,7两太阳果,,只,,12.00,40.00,-28.00,6.500,260.00,-182.00
11010042,9两太阳果,,只,,143.00, ,143.00,8.000, ,"1,144.00"
11020006,鲜冬菇,,斤,,20.00,3.00,17.00,7.500,22.50,127.50
11020008,翅鲍菇,,斤,,18.00, ,18.00,18.000, ,324.00
11020021,杏鲍菇,,斤,,81.00,6.00,75.00,6.000,36.00,450.00
11020028,百灵菇,,斤,,9.00, ,9.00,18.000, ,162.00
11060014,干水小塘菜,,斤,,20.00,2.00,18.00,2.800,5.60,50.40
11060015,干水奶白菜,,斤,,15.00,2.00,13.00,3.029,6.05,39.35
11060016,干水西生菜,,斤,,7.00,2.00,5.00,4.000,8.00,20.00
11060027,韭菜,,斤,,2.80, ,2.80,3.000, ,8.40
11060038,鲜白果肉,,斤,,2.00,0.50,1.50,7.000,3.50,10.50
11060040,香芹,,斤,,3.00,2.00,1.00,5.500,11.00,5.50
11060044,西兰花,,斤,,30.00,5.00,25.00,5.500,27.50,137.50
11060055,薄荷叶,,斤,,6.00,1.00,5.00,7.000,7.00,35.00
11060060,莲藕,,斤,,36.00,3.00,33.00,4.577,13.62,149.88
11060066,干葱头,,斤,,4.00,4.00, ,5.500,22.00, 
11060075,红萝卜,,斤,,4.00,1.00,3.00,2.250,2.25,6.75
11060076,白萝卜,,斤,,141.00,10.00,131.00,1.500,15.00,196.50
11060081,九芽生菜,,斤,,1.00, ,1.00,8.000, ,8.00
11060124,百合皇,,斤,,11.00,3.00,8.00,45.000,135.00,360.00
11060129,泰国芫西,,斤,,6.10,1.00,5.10,18.000,18.00,91.80
11060130,洛神花,,斤,,1.00,1.00, ,90.000,90.00, 
11060174,九层塔,,斤,,2.00,0.50,1.50,6.750,3.37,10.13
11060197,精选蒜肉,,斤,,4.00, ,4.00,6.000, ,24.00
11060205,芥兰苗,,斤,,2.00,2.00, ,6.500,13.00, 
11060255,芥兰远,,斤,,19.00, ,19.00,5.500, ,104.50
11060265,奶白菜苗,,斤,,4.00, ,4.00,7.500, ,30.00
11070015,姜肉,,斤,,26.00,8.00,18.00,10.400,83.23,187.27
11070057,大叶,,合,,20.00,2.00,18.00,7.000,14.00,126.00
11070073,冰鲜黑松露菌,,斤,,3.70,2.00,1.70,450.000,900.00,765.00
11070081,广西老淮山,,斤,,5.00,5.00, ,7.800,39.00, 
,蔬菜,,,,,,,,"1,742.19","4,501.81"
10020015,红米粉,,斤,,6.00,2.00,4.00,20.000,40.00,80.00
10020022,粘米粉(斤),,斤,,48.00,7.00,41.00,5.000,35.00,205.00
10030031,白网皮,200g,包,,28.00,6.00,22.00,9.917,53.46,196.04
10030046,金像面粉(斤),,斤,,95.00,110.00,-15.00,3.200,352.00,-48.00
10030047,美玫面粉(斤),,斤,,350.80,160.00,190.80,3.190,509.01,606.99
10030052,稻庭面,1KG,包,,70.00,11.00,59.00,94.443,"1,057.69","5,673.09"
10030072,方黄金网皮,,包,,9.00,3.00,6.00,20.000,60.00,120.00
10030073,麻薯粉,,包,,2.00,1.00,1.00,95.000,95.00,95.00
10050045,寿桃,,只,,52.00, ,52.00,7.000, ,362.00
10050047,小笼包馅,,斤,,87.00,11.00,76.00,15.400,169.40,"1,170.40"
10050049,猪皮冻,,斤,,89.00,6.00,83.00,18.000,108.00,"1,494.00"
10050066,排骨馅,,斤,,60.00,16.00,44.00,26.000,416.00,"1,144.00"
10050067,牛肉馅,,斤,,45.00,10.00,35.00,24.200,242.00,847.00
10050069,脆皮,,斤,,8.00,2.00,6.00,15.000,30.00,90.00
12030051,朗姆酒,,支,,3.00,2.00,1.00,92.500,180.67,90.33
12030053,咖啡酒,,支,,1.50,1.00,0.50,95.000,95.00,47.50
14020005,牛油果,,只,,2.00, ,2.00,12.000, ,24.00
14020011,点心芒果,,斤,,11.10,3.00,8.10,9.000,27.00,72.90
14050002,西柚,,只,,2.00, ,2.00,15.000, ,30.00
14060002,草莓,,合,,16.00,3.00,13.00,25.000,75.00,325.00
14080001,雪梨,,斤,,78.30,5.00,73.30,5.000,25.00,366.50
14090008,进口柠檬,,斤,,2.00,1.00,1.00,18.000,18.00,18.00
14090034,脱衣核桃,,斤,,2.00,2.00, ,54.000,108.00, 
14090040,椰子,,只,,30.00,3.00,27.00,5.000,15.00,135.00
14090045,椰皇,,只,,20.00,10.00,10.00,4.000,40.00,40.00
15010006,黄奶油,,桶,,1.00, ,1.00,305.000, ,305.00
15010024,车轮黄牛油,16KG,桶,,1.00,1.00, ,305.000,305.00, 
15010025,车轮白奶油,15KG,桶,,2.00,1.07,0.93,315.000,337.05,292.95
15010033,虾头油,200克,罐,,2.00, ,2.00,25.000, ,50.00
15010037,正义猪板油(斤),,斤,,1.50,1.17,0.33,9.000,10.53,2.97
15010046,纽西兰大牛油,,件,,0.60,0.50,0.10,"1,050.000",525.00,105.00
15010047,蛋糕油,,瓶,,1.00,1.00, ,45.000,45.00, 
15030001,幼沙糖,30kg,包,,5.50,1.83,3.67,218.000,398.94,800.06
15030002,冰糖,9.6千克,件,,1.00, ,1.00,69.000, ,69.00
15030005,宝生园蜜糖,375克,瓶,,16.00,5.00,11.00,6.500,32.50,71.50
15030031,银珠糖,,罐,,2.00,1.00,1.00,28.000,28.00,28.00
15040001,樱花芥辣,43g,支,,13.00,4.00,9.00,9.000,36.00,81.00
15040007,四季宝花生酱,1kg,罐,,1.00,1.00, ,35.000,35.00, 
15040010,卡夫奇妙酱,700ml,瓶,,11.00,4.50,6.50,22.000,99.00,143.00
15040118,黑松露酱,,瓶,,2.00,0.50,1.50,487.500,243.75,731.25
15040131,英雄栗子茸,,罐,,4.00,3.00,1.00,80.000,240.00,80.00
15040132,好时朱古力酱,,支,,2.00,1.00,1.00,20.000,20.00,20.00
15050027,八珍甜醋,,罐,,2.50,0.50,2.00,98.000,49.00,196.00
15050028,致美斋甜醋,,罐,,2.00,0.50,1.50,46.000,23.00,69.00
15060002,李锦记草菇老抽,1.9l,瓶,,0.50,1.00,-0.50,16.500,16.50,-8.25
15060062,东古一品鲜酱油,500ML,支,,2.00,0.33,1.67,7.500,2.47,12.53
15070012,薯仔粉,2.46kg,罐,,3.50,1.00,2.50,50.250,50.14,125.36
15070023,鱼胶粉,500克,盒,,1.00,1.00, ,52.000,52.00, 
15070024,风车生粉,50KG,包,,1.00, ,1.00,270.000, ,270.00
15070025,(发酵)泡打粉,,罐,,1.50,1.00,0.50,40.000,40.00,20.00
15070026,鹰粟粉,1kg,包,,18.00,5.00,13.00,10.000,50.00,130.00
15070027,斧头食粉,454g,合,,3.00,1.00,2.00,4.500,4.50,9.00
15070029,依仕粉,500g,包,,2.00,1.00,1.00,18.000,18.00,18.00
15070062,奶粉,500g,包,,2.00,1.00,1.00,31.000,31.00,31.00
15070067,蛋黄色素,,包,,1.00,1.00, ,93.000,93.00, 
15070084,鸡粉,2kg,罐,,1.00,0.50,0.50,65.000,32.50,32.50
15070098,金山杏仁粉,,包,,1.00,1.00, ,900.000,900.00, 
15070120,风车生粉(斤),,斤,,250.00,90.00,160.00,5.400,486.00,864.00
15070126,BBA色素/橙黄,,罐,,1.00,1.00, ,98.000,98.00, 
15070140,三角唛苹果绿,,罐,,1.00,1.00, ,42.000,42.00, 
15070141,ABBA玫瑰红,,罐,,1.00,1.00, ,78.000,78.00, 
15070145,美极香菇粉,,罐,,2.00,2.50,-0.50,30.000,75.00,-15.00
15070146,木薯粉,0.5KG,包,,21.00,4.00,17.00,5.500,22.00,93.50
15070157,富田大红色素,,支,,1.00,1.00, ,23.000,23.00, 
15070163,金冠唂咕粉,,瓶,,5.00,4.00,1.00,38.000,152.00,38.00
15070164,龟苓膏粉,,包,,5.00,4.00,1.00,7.800,31.20,7.80
15070165,即溶吉士粉,,盒,,2.00,1.50,0.50,52.500,78.75,26.25
15070166,大师傅塔塔粉,,瓶,,2.00,1.00,1.00,75.000,75.00,75.00
15070171,朱师傅抹茶粉,,罐,,2.00,1.50,0.50,80.000,120.00,40.00
15070172,特A改良剂,,包,,1.00,1.00, ,30.000,30.00, 
15070175,富田粉红色素,,支,,1.00,1.00, ,23.000,23.00, 
15080002,虾米,,斤,,2.50,0.50,2.00,47.333,22.80,91.20
15080027,日本紫菜,50片4两,包,,5.00,1.50,3.50,25.000,37.50,87.50
15080070,粽叶,,包,,5.00,2.00,3.00,19.500,38.16,57.24
15080078,威化纸,,包,,13.00,1.00,12.00,10.000,10.00,120.00
15080120,椰丝,,斤,,1.00,3.00,-2.00,12.000,36.00,-24.00
15080165,野生金耳,0.5斤/包,斤,,0.50,0.50, ,100.000,50.00, 
15080168,去衣杏仁,,斤,,7.00,2.00,5.00,21.000,42.00,105.00
15090005,红豆,,斤,,15.80,4.00,11.80,6.400,25.75,75.95
15090006,绿豆,,斤,,4.00,3.00,1.00,6.500,19.50,6.50
15090009,黑豆,,斤,,3.00, ,3.00,8.000, ,24.00
15090027,黑芝麻,,斤,,2.00,4.00,-2.00,11.000,44.00,-22.00
15090028,白芝麻,,斤,,2.00,2.00, ,11.500,23.00, 
15090106,西杏片,,斤,,4.00,2.00,2.00,42.000,84.00,84.00
15090127,雪莲子,,斤,,2.00,2.00, ,175.000,350.00, 
15090128,鲜白莲子,,斤,,7.00,2.00,5.00,18.000,36.00,90.00
15090132,西米,,包,,11.00,8.00,3.00,1.500,12.00,4.50
15090146,九制话梅,,包,,10.00, ,10.00,5.000, ,50.00
15100002,鹰唛炼奶,370g,罐,,19.00,2.00,17.00,11.000,22.00,187.00
15100005,保利奶,1kg,罐,,31.00,4.00,27.00,16.000,64.00,432.00
15100009,雀巢咖啡,200g,瓶,,2.50,1.50,1.00,58.000,87.00,58.00
15100018,豆豉鲮鱼,227g,罐,,7.00,2.00,5.00,8.000,16.00,40.00
15100026,高达椰浆,400g,罐,,1.00,1.00, ,8.500,8.50, 
