物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
02010009,80-90克岩手大网鲍,,只,,5.00,1.50,3.50,"1,409.000","2,113.50","4,931.50"
02010010,90-100克岩手大网鲍,,只,,3.00,3.00, ,"2,213.000","6,639.00", 
02010011,120-150克岩手大网鲍,,只,,2.00,2.00, ,"5,018.000","10,036.00", 
02020002,26-30头吉品鲍,,斤,,0.89,0.78,0.11,"4,250.000","3,315.00",467.50
02020004,22-24克头吉品鲍,,斤,,1.00,1.00, ,"5,000.000","5,000.00", 
02020010,16头-20头吉品鲍,,斤,,0.60,0.47,0.13,"6,000.000","2,820.00",780.00
02030005,10-13头南非网鲍,,斤,,1.24,1.03,0.21,"1,333.330","1,373.33",280.00
02030006,20头南非吉品鲍,,斤,,0.88,0.57,0.31,"2,103.200","1,198.82",651.99
02030008,25头南非吉品鲍,,斤,,1.09,0.95,0.14,"2,595.355","1,892.44",278.89
02050001,20-29克禾麻鲍,,斤,,2.12,0.99,1.13,"5,933.980","5,874.64","6,705.39"
合计,,,,,,,,,"40,262.73","14,095.27"
0102,燕盏,,斤,,2.67,1.41,1.26,"2,880.000","4,060.80","3,628.80"
合计,,,,,,,,,"4,060.80","3,628.80"
03050003,12寸牙勾翅,,斤,,6.92,3.00,3.92,"1,013.311","3,039.93","3,972.18"
0308,23寸鬼春翅,,斤,,3.23,2.55,0.68,"1,666.660","4,249.98","1,133.33"
合计,,,,,,,,,"7,289.91","5,105.51"
0403,冬虫草1500支,,斤,,0.148002,0.104006,0.043996,"80,000.000","8,320.48","3,519.68"
合计,,,,,,,,,"8,320.48","3,519.68"
,食品,,,,,,,,"59,933.92","26,349.26"
07010112,大鱼,,斤,,57.30,29.10,28.20,125.000,"3,637.50","3,525.00"
合计,肉类,,,,,,,,"3,637.50","3,525.00"
