物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07050016,海螺,,斤,,2.00,8.00,-6.00,48.000,384.00,-288.00
09030005,鹅肝,,斤,,6.00,3.00,3.00,140.000,420.00,420.00
09120001,冻三文鱼,,斤,,7.00,13.00,-6.00,40.000,520.00,-240.00
09120013,黄花鱼,,斤,,0.20, ,0.20,21.000, ,4.20
09120095,三文鱼籽,,斤,,0.80,0.30,0.50,190.000,57.00,95.00
09120122,鸭利,,斤,,48.00,12.00,36.00,28.000,336.00,"1,008.00"
09120209,海蜇丝,,斤,,162.00,112.00,50.00,12.500,"1,400.00",625.00
09120239,红珊蚌,,盒,,11.00,2.50,8.50,70.000,175.00,595.00
09120273,阿拉斯加生冻皇帝蟹脚,,斤,,1.80, ,1.80,75.000, ,135.00
,肉类,,,,,,,,"3,292.00","2,354.20"
11030052,毛豆,,斤,,13.70,1.30,12.40,5.000,6.50,62.00
11010032,水果青瓜,,斤,,30.80,6.50,24.30,4.950,32.42,121.18
11030028,甜蜜豆,,斤,,8.00,1.00,7.00,9.000,9.00,63.00
11050002,莴笋头,,斤,,17.00, ,17.00,2.800, ,47.60
11050016,窝笋,,斤,,2.00, ,2.00,2.800, ,5.60
11060027,韭菜,,斤,,3.60, ,3.60,3.000, ,10.80
11060037,夜香花,,斤,,1.00, ,1.00,20.000, ,20.00
11060040,香芹,,斤,,10.00, ,10.00,5.500, ,55.00
11060041,元茜,,斤,,0.50, ,0.50,8.000, ,4.00
11060055,薄荷叶,,斤,,11.70, ,11.70,7.000, ,81.90
11060065,红洋葱,,斤,,34.00,1.00,33.00,2.500,2.50,82.50
11060075,红萝卜,,斤,,21.00, ,21.00,2.214, ,46.40
11060076,白萝卜,,斤,,5.50, ,5.50,1.667, ,9.00
11060110,鲜花生,,斤,,18.00,2.00,16.00,5.000,10.00,80.00
11060115,洋葱,,斤,,5.00, ,5.00,3.600, ,18.00
11060138,素鲍鱼,,只,,48.00,19.00,29.00,8.500,161.50,246.50
11060181,万年青,,斤,,22.00,11.40,10.60,28.000,319.20,296.80
11070069,鲜天麻,,斤,,2.50,2.50, ,42.000,105.00, 
,蔬菜,,,,,,,,646.12,"1,250.28"
10010008,红谷米,,斤,,5.00,5.00, ,7.000,35.00, 
10010017,糯米(斤),,斤,,2.70, ,2.70,4.400, ,11.88
10010033,东坡红米,2.5斤,包,,2.00, ,2.00,20.000, ,40.00
10030023,春卷皮,,包,,13.00, ,13.00,18.000, ,234.00
10030055,越南春卷皮/干,,包,,2.00,8.00,-6.00,18.000,144.00,-108.00
11030046,进口厚腐皮,,斤,,3.50,1.30,2.20,26.500,34.45,58.30
11060137,意大利黑醋,,支,,2.30,1.20,1.10,26.000,31.20,28.60
12030019,长城干红,750ml,支,,4.00, ,4.00,24.000, ,96.00
13020007,苹果醋,,支,,7.50,2.00,5.50,5.200,10.40,28.60
13020017,葡萄汁,,支,,4.00, ,4.00,36.000, ,144.00
14020013,红富士苹果,,斤,,15.10, ,15.10,9.000, ,135.90
14030002,新奇士橙,,斤,,23.80,12.00,11.80,10.000,120.00,118.00
14060002,草莓,,合,,17.00,1.50,15.50,25.000,37.50,387.50
14070001,红提子,,斤,,4.60,1.00,3.60,15.750,15.65,56.35
14070004,进口红提,,斤,,3.20, ,3.20,15.000, ,48.00
14090010,番茄仔,,斤,,8.50,0.50,8.00,4.000,2.00,32.00
15010011,芥茉油,60毫升,支,,8.00,3.00,5.00,4.000,12.00,20.00
15010049,日本麻油,,支,,15.00,3.00,12.00,16.000,48.00,192.00
15030004,麦牙糖,250g,罐,,1.00,1.00, ,3.000,3.00, 
15040007,四季宝花生酱,1kg,罐,,2.00, ,2.00,35.000, ,70.00
15040010,卡夫奇妙酱,700ml,瓶,,1.80,0.70,1.10,22.000,15.40,24.20
15040036,味可美草莓酱,,瓶,,6.00, ,6.00,8.900, ,53.40
15040063,蓝莓酱,340g,瓶,,8.00,1.00,7.00,38.000,38.00,266.00
15040148,丘比蓝莓酱,,瓶,,1.00, ,1.00,17.000, ,17.00
15050016,宁化府陈醋,330ml,支,,22.50,4.00,18.50,10.750,43.00,198.87
15050019,宝鼎上海白醋,,支,,1.30,0.30,1.00,3.400,1.04,3.45
15060029,味淋,1.8l,瓶,,2.00, ,2.00,25.833, ,51.66
