物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07010001,大苏眉,,斤,,19.40, ,19.40,445.000, ,"8,663.00"
07010002,苏眉,,斤,,2.50, ,2.50,400.000, ,"1,000.00"
07010005,大龙趸,,斤,,227.00,15.00,212.00,37.875,567.12,"8,015.28"
07010006,老虎斑,,斤,,3.10, ,3.10,70.000, ,217.00
07010008,大东星斑,,斤,,80.70,15.50,65.20,133.750,"2,103.54","8,848.46"
07010009,细东星斑,,斤,,57.80,3.70,54.10,181.429,685.40,"10,021.60"
07010013,老鼠斑,,斤,,19.80,0.90,18.90,221.250,199.45,"4,188.55"
07010014,杉斑,,斤,,3.80, ,3.80,150.000, ,570.00
07010051,黄丁,,斤,,3.20, ,3.20,70.000, ,211.00
07010139,红玫瑰鱼,,斤,,24.10,0.20,23.90,192.000,37.71,"4,505.79"
07010142,蓝东星,,斤,,69.60,15.20,54.40,81.583,"1,234.93","4,419.77"
07010148,次细蓝东星,,斤,,5.40, ,5.40,50.000, ,270.00
07020001,波斯龙虾,,斤,,52.20,15.60,36.60,74.167,"1,113.82","2,613.18"
07020003,花龙虾,,斤,,58.40,23.30,35.10,274.487,"6,423.86","9,677.15"
07020004,蓝龙虾,,斤,,8.30,8.40,-0.10,158.000,"1,327.20",-15.80
07020010,斑马富贵虾,,斤,,52.80,18.50,34.30,155.000,"2,867.50","5,316.50"
07020017,花虾,,斤,,8.50, ,8.50,80.000, ,672.50
07020024,青龙虾仔,,斤,,27.00,3.40,23.60,205.000,698.26,"4,846.74"
07030022,阿拉斯加蟹,,斤,,6.80, ,6.80,150.000, ,"1,020.00"
07030028,大闸蟹（公）4两,,只,,3.00, ,3.00,50.000, ,150.00
07040001,象拨蚌,,斤,,60.10,4.70,55.40,204.500,960.22,"11,318.28"
07050007,圣子王,,斤,,10.70, ,10.70,70.000, ,750.50
07050039,美国响螺,,斤,,17.80, ,17.80,80.667, ,"1,520.40"
07060002,大连鲍(5只/斤),,斤,,58.00,5.10,52.90,101.667,514.04,"5,331.96"
07060009,南非鲜鲍(2只/斤),,斤,,12.75, ,12.75,215.000, ,"2,741.25"
07070001,海水晶,,件,,4.00, ,4.00,35.000, ,140.00
09120225,特大九节虾,1KG 7只/盒,盒,,18.71, ,18.71,210.000, ,"3,929.10"
09120229,7头大虾,,盒,,8.00,5.14,2.86,210.000,"1,079.40",600.60
合计,海鲜,,,,,,,,"19,812.45","101,542.81"
