物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07020020,明虾,,斤,,147.00,5.00,142.00,39.167,196.05,"5,567.95"
09040009,无皮花肉,,斤,,1.00, ,1.00,12.714, ,12.71
09040091,土猪肥肉,,斤,,6.40,6.00,0.40,7.500,45.00,3.00
09050003,牛柳,,斤,,2.00,2.00, ,36.000,72.00, 
09110002,腊肉,,斤,,2.00,2.50,-0.50,37.500,93.75,-18.75
09110003,腊肠,,斤,,2.00,2.50,-0.50,37.500,93.75,-18.75
09120013,黄花鱼,,斤,,1.00,2.00,-1.00,23.000,46.00,-23.00
09120133,麻虾仁31-40,,斤,,165.00,95.00,70.00,45.333,"4,321.06","3,183.94"
09120206,凤爪,,斤,,56.00,7.00,49.00,22.800,159.60,"1,117.20"
09120211,樱花虾,0.5KG/包,斤,,2.00,1.50,0.50,177.520,266.28,88.76
09120222,虾饺馅,,斤,,6.00,3.00,3.00,54.500,163.50,163.50
09120224,珍珠蚝,,包,,17.00,3.00,14.00,9.750,29.12,135.88
09120260,烧卖馅,,斤,,52.00,16.00,36.00,34.300,548.80,"1,234.80"
,肉类,,,,,,,,"6,034.91","11,447.24"
10010008,红谷米,,斤,,2.00, ,2.00,7.000, ,14.00
10010020,五彩米,,包,,21.00,12.00,9.00,30.800,369.60,277.20
10030038,双箭澄面,,包,,3.50,2.50,1.00,215.000,537.50,215.00
,粮油,,,,,,,,907.10,506.20
11010004,青瓜,,斤,,16.00,2.00,14.00,2.575,5.11,35.79
11010016,小金瓜,,斤,,28.00, ,28.00,4.000, ,112.00
11010024,本地木瓜,,斤,,38.00,5.00,33.00,2.700,13.50,89.10
11010038,7两太阳果,,只,,196.00, ,196.00,7.000, ,"1,372.00"
11010042,9两太阳果,,只,,14.00,40.00,-26.00,7.000,280.00,-182.00
11020006,鲜冬菇,,斤,,3.00, ,3.00,7.500, ,22.50
11020021,杏鲍菇,,斤,,77.00,10.00,67.00,6.533,65.45,438.55
11020028,百灵菇,,斤,,29.50,10.00,19.50,16.000,160.00,312.00
11060014,干水小塘菜,,斤,,20.00,2.00,18.00,2.800,5.60,50.40
11060015,干水奶白菜,,斤,,25.00,2.00,23.00,2.800,5.60,64.40
