物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
10010034,金象牌精选泰香米,2.5kg,袋,,5.00, ,5.00,45.800, ,229.00
10010035,金象牌精选泰香米,5KG,袋,,17.00,7.00,10.00,91.333,673.65,962.35
10010037,金象茉莉香米,10KG,包,,3.00,2.00,1.00,154.400,318.53,159.27
,粮油,,,,,,,,992.18,"1,350.62"
11060201,精选手工蒜肉,,斤,,93.50,30.00,63.50,8.000,240.00,508.00
15020013,黑盐,,瓶,,8.00,5.00,3.00,13.829,86.43,51.86
15040001,樱花芥辣,43g,支,,18.00,6.00,12.00,9.000,54.00,108.00
15040064,泰国辣鸡酱,880g,瓶,,2.00,2.00, ,13.000,26.00, 
15050016,宁化府陈醋,330ml,支,,14.00,11.00,3.00,10.750,118.25,32.25
15060009,日本海鲜豉油,200ml,瓶,,13.00,3.00,10.00,20.000,60.00,200.00
15060016,泰国鱼露,725毫升,瓶,,2.00,1.00,1.00,8.000,8.00,8.00
15060048,海天罐装金标生抽,1.9l,罐,,11.00,1.00,10.00,16.700,16.70,167.00
15060090,辣椒浸蒜头,,斤,,2.00,2.00, ,12.000,24.00, 
,食品,,,,,,,,633.38,"1,075.11"
合计,,,,,,,,,"1,625.56","2,425.73"
