物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
09010001,三黄鸡,,斤,,168.50, ,168.50,10.000, ,"1,685.00"
09020002,光鸭,,斤,,261.80, ,261.80,9.000, ,"2,356.20"
09040009,无皮花肉,,斤,,249.30,5.00,244.30,12.000,60.00,"2,931.60"
09040036,猪排骨,,斤,,43.50, ,43.50,18.000, ,783.00
17020002,福食猪排骨,,斤,,25.00, ,25.00,18.000, ,450.00
17020003,福食冻猪手,,斤,,92.40,5.00,87.40,14.000,70.00,"1,223.60"
17030001,福食鲩鱼,,斤,,64.60, ,64.60,7.100, ,458.66
17030003,福食咸鱼,,斤,,11.00,5.00,6.00,18.000,90.00,108.00
17030004,福食鸡翼,,斤,,180.00, ,180.00,12.500, ,"2,250.00"
17030016,福食猪手,,斤,,64.50, ,64.50,12.667, ,780.00
17040006,福食鸡腿,,斤,,42.90, ,42.90,9.000, ,386.10
17040012,福食仓鱼,,斤,,103.00, ,103.00,9.000, ,927.00
17070006,福食腊肠,,斤,,14.00, ,14.00,21.750, ,336.00
17070007,福食腊肉,,斤,,14.00, ,14.00,33.750, ,480.00
,肉类,,,,,,,,220.00,"15,155.16"
10010016,厨上厨猫牙米,,包,,25.00,3.00,22.00,125.000,375.00,"2,750.00"
10020007,优质河粉,,斤,,45.00,3.00,42.00,1.700,5.10,71.40
10050074,米线,,斤,,60.00, ,60.00,2.100, ,126.00
17050009,福食虾子面,,斤,,97.00,3.00,94.00,4.000,12.00,376.00
,粮油,,,,,,,,392.10,"3,323.40"
14020013,红富士苹果,,斤,,99.30, ,99.30,6.311, ,645.32
14090011,香蕉,,斤,,34.00, ,34.00,2.400, ,81.60
15010029,海天上等蚝油,,罐,,4.00,2.00,2.00,32.000,64.00,64.00
15040050,腐乳,335克,瓶,,9.00,6.00,3.00,5.600,33.60,16.80
15090006,绿豆,,斤,,12.00, ,12.00,6.500, ,78.00
15090107,红衣花生,,斤,,25.00, ,25.00,8.000, ,200.00
15120107,凉茶,,包,,20.00, ,20.00,1.500, ,30.00
17040001,福食鸡蛋,,斤,,573.80,12.00,561.80,5.200,62.40,"2,921.36"
17040010,福食咸蛋,,只,,80.00, ,80.00,1.300, ,104.00
17060003,福食雪梨,,斤,,91.90, ,91.90,3.500, ,321.96
17070009,福食豆腐,,板,,18.00, ,18.00,6.500, ,117.00
,食品,,,,,,,,160.00,"4,580.04"
17010001,福食生菜,,斤,,229.00, ,229.00,1.500, ,343.50
17010002,福食白萝卜,,斤,,35.00, ,35.00,1.500, ,52.50
17010004,福食冬瓜,,斤,,105.00, ,105.00,2.000, ,210.00
17010005,福食油麦菜,,斤,,225.00, ,225.00,2.000, ,450.00
17010006,福食大白菜,,斤,,75.00, ,75.00,1.500, ,112.50
17010007,福食香芹,,斤,,25.00, ,25.00,3.000, ,75.00
17010008,福食西洋菜,,斤,,137.00, ,137.00,1.800, ,246.60
17010009,福食本地菜心,,斤,,226.00, ,226.00,3.500, ,791.00
17010010,福食青尖椒,,斤,,82.00, ,82.00,3.000, ,246.00
17010013,福食椰菜,,斤,,45.00, ,45.00,1.500, ,67.50
17010015,福食青瓜,,斤,,35.00, ,35.00,2.500, ,87.50
17010016,福食鲜冬菇,,斤,,8.00, ,8.00,7.500, ,60.00
17010018,福食小塘菜,,斤,,47.00, ,47.00,1.800, ,84.60
17010020,福食肉姜,,斤,,6.00, ,6.00,6.500, ,39.00
17010021,福食葱肉,,斤,,6.00, ,6.00,4.500, ,27.00
17010024,福食椰菜花,,斤,,92.00, ,92.00,2.200, ,202.40
17010025,福食小白菜,,斤,,367.00, ,367.00,1.800, ,660.60
17010026,福食大芥菜,,斤,,45.00, ,45.00,2.000, ,90.00
17010029,福食红萝卜,,斤,,85.00, ,85.00,2.000, ,170.00
17010033,福食苦麦菜,,斤,,137.00, ,137.00,1.800, ,246.60
17010036,福食干木耳,,斤,,4.00, ,4.00,45.000, ,180.00
17010046,福食酸菜,,斤,,94.00, ,94.00,2.500, ,235.00
17010047,福食通菜,,斤,,363.00, ,363.00,3.500, ,"1,270.50"
17010048,福食大豆芽,,斤,,61.00, ,61.00,1.000, ,61.00
17010053,福食潺菜,,斤,,45.00, ,45.00,2.500, ,112.50
17010055,福食西芹,,斤,,25.00, ,25.00,2.500, ,62.50
17010056,福食凉瓜,,斤,,30.00, ,30.00,4.000, ,120.00
17010057,福食鲜木耳,,斤,,5.00, ,5.00,2.500, ,12.50
17010059,福食春菜,,斤,,183.00, ,183.00,2.000, ,366.00
17010061,福食海带丝,,斤,,3.00, ,3.00,2.800, ,8.40
17010062,福食莴笋,,斤,,90.00, ,90.00,2.800, ,252.00
17010067,福食青圆椒,,斤,,20.00, ,20.00,2.800, ,56.00
17010068,福食香脆片,,斤,,29.00, ,29.00,2.800, ,81.20
17010069,福食粉芋头,,斤,,32.00, ,32.00,3.800, ,121.60
17010070,福食水东芥菜,,斤,,135.00, ,135.00,2.200, ,297.00
17010071,福食红洋葱,,斤,,10.00, ,10.00,2.000, ,20.00
17010078,福食上海青,,斤,,180.00, ,180.00,1.800, ,324.00
17010079,福食甜麦菜,,斤,,45.00, ,45.00,2.000, ,90.00
17010082,福食君达菜,,斤,,46.00, ,46.00,1.800, ,82.80
17070010,福食甜梅菜,,斤,,25.00, ,25.00,3.000, ,75.00
,蔬菜,,,,,,,, ,"8,090.30"
合计,,,,,,,,,772.10,"31,148.90"
