物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
08010002,一般花胶,,斤,,6.60,2.93,3.67,"2,133.330","6,250.66","7,829.32"
08010005,黄花胶,,斤,,4.70,1.27,3.43,580.000,736.60,"1,989.40"
08010015,阿巴公花胶,,斤,,1.20,0.83,0.37,"3,200.000","2,656.00","1,184.00"
08030005,关东辽参,,斤,,4.29,1.70,2.59,"4,600.000","7,820.00","11,914.00"
08030007,关西辽参,,斤,,5.68,1.39,4.29,"1,670.996","2,324.46","7,174.06"
08030017,参皮,,斤,,11.50,2.73,8.77,162.500,448.08,"1,439.42"
08040001,鸡蛋,,斤,,94.40, ,94.40,5.200, ,490.88
08040008,竹笙蛋,,斤,,1.00, ,1.00,40.000, ,40.00
08060001,雪蛤,,斤,,0.21,0.21, ,"2,038.360",428.06, 
,食品,,,,,,,,"20,663.86","32,061.08"
02050006,鲍边,,斤,,0.53, ,0.53,38.000, ,20.14
07010056,大白花,,斤,,9.60,9.60, ,10.000,87.20, 
07010062,笋壳鱼,,斤,,76.30,10.60,65.70,51.000,539.13,"3,341.57"
07010069,白鳝,,斤,,30.30,6.70,23.60,48.875,327.42,"1,153.28"
07010086,金雕鱼,,斤,,11.80,1.30,10.50,31.000,39.33,317.67
07010087,侧鱼,,斤,,62.90,5.00,57.90,12.400,62.02,718.23
07010138,次老虎斑,,斤,,5.80, ,5.80,15.000, ,87.00
07010154,三坑鱼,,斤,,28.50,3.00,25.50,15.000,45.00,382.50
07010155,长江鲈鱼,,斤,,15.00, ,15.00,50.000, ,750.00
07010156,梅子鱼,,斤,,2.00,1.30,0.70,130.000,169.00,91.00
07010158,冰鱼,,斤,,8.50,5.20,3.30,45.000,234.00,148.50
07010159,黄金斑,,斤,,18.00,4.40,13.60,50.000,220.00,680.00
07010160,南美罗氏虾,,斤,,7.70, ,7.70,60.000, ,462.00
07010161,海参斑,,斤,,33.00,14.00,19.00,35.000,490.00,665.00
07010162,鳘鱼头,,斤,,20.90,5.00,15.90,22.000,110.00,349.80
07010163,鳘鱼尾,,斤,,23.00,13.40,9.60,38.000,509.20,364.80
07020001,波斯龙虾,,斤,,2.00, ,2.00,78.000, ,156.00
07020005,河虾,,斤,,9.00,5.00,4.00,25.000,125.00,100.00
07020034,熟波斯龙虾,,斤,,40.60,8.60,32.00,55.000,473.00,"1,760.00"
07030003,面包蟹,,斤,,52.20,9.00,43.20,35.000,315.00,"1,512.00"
07030006,老虎蟹,,斤,,6.40,2.50,3.90,22.500,55.86,87.14
07030010,肉蟹,,斤,,9.70,5.00,4.70,66.000,330.00,310.20
07030011,羔蟹,,斤,,12.90,4.00,8.90,85.000,340.00,756.50
07030031,帝王蟹,,斤,,45.40,14.40,31.00,65.600,936.48,"2,016.02"
07030033,松叶蟹,,件,,1.00, ,1.00,420.000, ,420.00
07050004,花甲,,斤,,10.00,3.00,7.00,11.000,33.00,77.00
07050016,海螺,,斤,,200.00,10.00,190.00,40.000,397.90,"7,560.10"
07050019,北极贝,2斤,合,,2.00,2.00, ,180.000,360.00, 
07050042,白贝,,斤,,110.00,4.00,106.00,2.981,11.91,315.59
07050044,青口,,斤,,10.00,2.00,8.00,7.500,15.00,60.00
07060004,大连鲍(小),,斤,,5.00,0.80,4.20,54.333,43.68,229.32
07060011,大连鲍12头,,斤,,3.90,0.90,3.00,52.500,47.42,158.08
08050010,大红咸鱼,,斤,,2.00,2.00, ,52.000,104.00, 
09010002,竹丝鸡,,斤,,7.00, ,7.00,11.000, ,77.00
09010004,老鸡,,斤,,11.20, ,11.20,11.000, ,123.20
09010007,水鸡,,只,,19.00, ,19.00,40.000, ,760.00
09010024,鸡油,,斤,,43.70, ,43.70,3.000, ,131.10
09010025,鸡腿肉,,斤,,30.00,10.00,20.00,9.000,90.00,180.00
09010029,鸡脚,,斤,,8.70, ,8.70,12.800, ,111.36
09010033,凤中皇,,斤,,860.60,21.50,839.10,22.000,473.00,"18,460.20"
09010040,鸡壳,,斤,,740.70, ,740.70,8.000, ,"5,925.60"
09020004,水鸭,,只,,49.00,9.00,40.00,15.250,138.67,616.33
09030005,鹅肝,,斤,,117.80,49.50,68.30,140.000,"6,930.00","9,562.00"
