物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
02010009,80-90克岩手大网鲍,,只,,7.50,7.50, ,"1,409.000","10,567.50", 
02010011,120-150克岩手大网鲍,,只,,11.75,11.75, ,"5,000.000","58,750.00", 
02020009,21-25头吉品鲍,,斤,,1.00,0.53,0.47,"4,750.000","2,517.50","2,232.50"
02020010,16头-20头吉品鲍,,斤,,0.40, ,0.40,"6,000.000", ,"2,400.00"
02030005,10-13头南非网鲍,,斤,,1.00,1.00, ,"1,333.330","1,333.33", 
02030008,25头南非吉品鲍,,斤,,2.85,2.25,0.60,"1,854.955","4,157.53","1,108.68"
合计,,,,,,,,,"77,325.86","5,741.18"
03050002,11寸牙勾翅,,斤,,3.94,2.01,1.93,900.000,"1,809.00","1,737.00"
03050003,12寸牙勾翅,,斤,,2.00, ,2.00,"1,000.000", ,"2,000.00"
03050005,12寸牙勾翅（湿）,,斤,,1.00, ,1.00,500.000, ,500.00
0308,23寸鬼春翅,,斤,,2.18,0.91,1.27,"1,666.660","1,516.66","2,116.66"
合计,,,,,,,,,"3,325.66","6,353.66"
0102,燕盏,,斤,,1.43,0.34,1.09,"2,880.000",979.20,"3,139.20"
合计,,,,,,,,,979.20,"3,139.20"
0403,冬虫草1500支,,斤,,0.063699,0.045205,0.018494,"80,000.000","3,616.40","1,479.52"
合计,,,,,,,,,"3,616.40","1,479.52"
,食品,,,,,,,,85247.12,16713.56
07010112,大鱼,,斤,,10.00,10.00, ,125.000,"1,250.00", 
合计,肉类,,,,,,,,"1,250.00", 
