物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07050016,海螺,,斤,,6.00,16.00,-10.00,48.000,768.00,-480.00
09030005,鹅肝,,斤,,5.00,4.30,0.70,140.000,602.00,98.00
09120001,冻三文鱼,,斤,,8.80,0.50,8.30,40.000,20.00,332.00
09120095,三文鱼籽,,斤,,4.00,1.00,3.00,185.000,185.00,555.00
09120122,鸭利,,斤,,80.00,25.00,55.00,28.000,700.00,"1,540.00"
09120209,海蜇丝,,斤,,55.50,40.00,15.50,12.500,500.00,193.75
09120239,红珊蚌,,盒,,31.00,5.00,26.00,60.000,300.00,"1,560.00"
09120292,黑鱼籽,,支,,1.00,1.00, ,45.000,45.00, 
09120293,烟三文鱼,,斤,,1.00, ,1.00,60.000, ,60.00
,肉类,,,,,,,,"3,120.00","3,858.75"
11010004,青瓜,,斤,,36.00,3.00,33.00,2.533,7.62,83.88
11010032,水果青瓜,,斤,,26.60,5.00,21.60,6.500,32.50,140.40
11030028,甜蜜豆,,斤,,12.00,1.00,11.00,6.000,6.00,66.00
11050002,莴笋头,,斤,,42.00,6.00,36.00,3.000,18.00,108.00
11060016,干水西生菜,,斤,,1.30, ,1.30,3.650, ,4.85
11060027,韭菜,,斤,,6.00, ,6.00,2.917, ,17.15
11060040,香芹,,斤,,15.00, ,15.00,3.500, ,52.50
11060055,薄荷叶,,斤,,14.60,0.30,14.30,10.000,3.00,143.00
11060065,红洋葱,,斤,,56.00, ,56.00,2.300, ,128.80
11060075,红萝卜,,斤,,32.00,3.00,29.00,2.000,6.00,58.00
11060076,白萝卜,,斤,,7.00,3.60,3.40,1.600,5.76,5.44
11060138,素鲍鱼,,只,,50.00,12.00,38.00,8.500,102.00,323.00
11060174,九层塔,,斤,,2.00, ,2.00,9.000, ,18.00
11060181,万年青,,斤,,35.20,14.00,21.20,28.000,392.00,593.60
,蔬菜,,,,,,,,572.88,"1,742.62"
10030023,春卷皮,,包,,15.00, ,15.00,18.000, ,270.00
10010008,红谷米,,斤,,1.80,1.80, ,7.000,12.60, 
10010017,糯米(斤),,斤,,3.00,3.00, ,4.000,12.00, 
10010036,东北糯米,,斤,,0.50,0.50, ,4.000,2.00, 
10030055,越南春卷皮/干,,包,,5.00,9.00,-4.00,18.000,162.00,-72.00
11030046,进口厚腐皮,,斤,,4.40, ,4.40,26.500, ,116.60
11060137,意大利黑醋,,支,,1.00, ,1.00,26.000, ,26.00
12030050,塔牌花雕,500ML,支,,1.00,0.30,0.70,6.500,1.95,4.55
13020007,苹果醋,,支,,8.50,3.00,5.50,5.200,15.60,28.60
13020017,葡萄汁,,支,,1.00, ,1.00,36.000, ,36.00
14020025,大芒果,,斤,,1.00, ,1.00,10.000, ,10.00
14090010,番茄仔,,斤,,2.00,0.20,1.80,3.500,0.70,6.30
15010011,芥茉油,60毫升,支,,12.00,6.00,6.00,3.800,22.80,22.80
15030016,双桥麦芽糖,,桶,,0.50,0.50, ,3.000,1.50, 
15040010,卡夫奇妙酱,700ml,瓶,,1.50,1.20,0.30,22.000,26.40,6.60
15040036,味可美草莓酱,,瓶,,2.00, ,2.00,8.900, ,17.80
15040039,排骨酱,,瓶,,3.50,3.00,0.50,22.000,66.00,11.00
15040041,蒜茸辣椒酱(李锦记）,226克,瓶,,1.00,1.00, ,22.000,22.00, 
15040148,丘比蓝莓酱,,瓶,,7.00,2.00,5.00,17.500,35.00,87.50
15050013,恒顺香醋,,瓶,,2.00,2.00, ,4.500,9.00, 
15050016,宁化府陈醋,330ml,支,,22.50,2.50,20.00,10.750,26.87,215.00
15050019,宝鼎上海白醋,,支,,1.50,1.50, ,3.600,5.40, 
15050024,海天白米醋,,支,,4.50,4.00,0.50,4.000,16.00,2.00
15060010,李锦记旧装蚝油,510克,瓶,,8.00,2.00,6.00,29.500,59.00,177.00
15060016,泰国鱼露,725毫升,瓶,,1.00,0.40,0.60,8.000,3.20,4.80
15060027,浓缩橙汁,840ml,瓶,,0.50,0.50, ,35.000,17.50, 
15060029,味淋,1.8l,瓶,,1.00, ,1.00,55.000, ,55.00
15060031,香槽卤,,瓶,,11.00,11.00, ,6.000,66.00, 
15060033,家乐浓缩鸡汁,1kg,瓶,,7.50,1.50,6.00,51.000,76.50,306.00
15060042,家乐辣鲜露,400毫升,支,,3.00,2.50,0.50,15.000,37.50,7.50
15060062,东古一品鲜酱油,500ML,支,,5.50,1.00,4.50,7.500,7.50,33.75
15060063,丘比焙煎芝麻汁,1.5L,支,,4.50,0.10,4.40,58.000,5.80,255.20
15060069,家乐麻辣鲜露,400ml,支,,4.00, ,4.00,15.000, ,60.00
15070023,鱼胶粉,500克,盒,,3.00,1.50,1.50,52.000,78.00,78.00
15070111,白面豉,,包,,3.00, ,3.00,30.000, ,90.00
15070180,黄面豉,,包,,1.00, ,1.00,20.000, ,20.00
15080015,花菇,,斤,,2.00, ,2.00,58.000, ,116.00
15080016,冬菇,,斤,,1.00,0.60,0.40,52.000,31.20,20.80
15080113,靓老鼠耳,,斤,,12.20,1.10,11.10,105.000,115.50,"1,165.50"
15080127,小米椒,,斤,,5.00, ,5.00,4.000, ,20.00
15080139,山楂干,,斤,,0.40,0.40, ,15.000,6.00, 
15080178,小米辣椒,,斤,,16.00, ,16.00,4.000, ,64.00
15090009,黑豆,,斤,,11.00,5.00,6.00,9.000,45.00,54.00
15090028,白芝麻,,斤,,0.80,1.10,-0.30,11.000,12.10,-3.30
15090042,大红枣,,斤,,1.50,1.50, ,33.000,49.50, 
15090107,红衣花生,,斤,,29.80,0.30,29.50,8.000,2.40,236.00
15100005,保利奶,1kg,罐,,20.00,3.50,16.50,16.000,56.00,264.00
15100071,桂花糖,300g,支,,1.50,1.50, ,5.000,7.50, 
15110007,甜酸荞头,,瓶,,1.50,1.50, ,28.000,42.00, 
15120054,豆扣,,斤,,0.50, ,0.50,32.000, ,16.00
15120094,首乌,,斤,,7.70,0.30,7.40,25.000,7.50,185.00
15120102,虫草花,,斤,,2.00,0.80,1.20,80.000,64.00,96.00
15120132,靓甘草,,斤,,0.50,0.20,0.30,25.000,5.00,7.50
15120165,小茴香,,斤,,0.30,0.30, ,11.000,3.30, 
1601,铁观音,,斤,,12.40,10.10,2.30,24.000,242.40,55.20
1611,红茶,,斤,,0.50,0.50, ,17.000,8.50, 
Y1090023,跳舞兰,,扎,,5.50, ,5.50,35.000, ,192.50
,食品,,,,,,,,"1,486.72","4,365.20"
合计,,,,,,,,,"5,179.60","9,966.57"
