物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07010001,大苏眉,,斤,,98.70,7.70,91.00,354.167,"2,906.11","34,344.89"
07010002,苏眉,,斤,,4.50, ,4.50,250.000, ,"1,125.00"
07010005,大龙趸,,斤,,143.50,25.00,118.50,36.400,910.10,"4,313.90"
07010006,老虎斑,,斤,,122.50,5.80,116.70,43.813,239.99,"4,828.71"
07010008,大东星斑,,斤,,52.30,8.90,43.40,108.300,963.46,"4,698.24"
07010009,细东星斑,,斤,,108.30,6.10,102.20,157.500,983.38,"16,475.62"
07010013,老鼠斑,,斤,,14.70,2.20,12.50,200.000,435.81,"2,476.19"
07010018,红星斑,,斤,,6.40, ,6.40,167.500, ,"1,068.50"
07010022,红斑,,斤,,8.80,2.80,6.00,150.000,420.00,900.00
07010032,红瓜子,,斤,,12.00,1.70,10.30,225.833,380.80,"2,307.20"
07010042,花金古,,斤,,17.20,3.00,14.20,225.714,678.31,"3,210.69"
07010051,黄丁,,斤,,5.30,1.20,4.10,80.000,94.98,324.52
07010108,珍珠龙趸,,斤,,3.60, ,3.60,40.000, ,144.00
07010132,次老鼠斑,,斤,,7.90, ,7.90,74.000, ,627.00
07010138,次老虎斑,,斤,,11.20, ,11.20,40.000, ,448.00
07010139,红玫瑰鱼,,斤,,40.30,5.70,34.60,163.500,936.68,"5,685.82"
07010142,蓝东星,,斤,,19.70,3.10,16.60,86.600,268.08,"1,435.52"
07010147,次细东星,,斤,,2.40, ,2.40,70.000, ,168.00
07010160,南美罗氏虾,,斤,,2.10, ,2.10,60.000, ,126.00
07020001,波斯龙虾,,斤,,87.30,42.20,45.10,79.714,"3,459.34","3,697.06"
07020003,花龙虾,,斤,,42.60,9.10,33.50,251.643,"2,274.28","8,372.33"
07020012,罗氏虾,,斤,,33.70,2.10,31.60,62.000,129.71,"1,951.89"
07020015,大虾皇,,斤,,20.90, ,20.90,111.250, ,"2,328.50"
07020022,南非龙虾,,斤,,21.00, ,21.00,87.667, ,"1,828.00"
07020024,青龙虾仔,,斤,,72.50,4.10,68.40,128.077,503.96,"8,407.54"
07030034,靓松叶蟹,,斤,,118.80,17.40,101.40,56.667,968.20,"5,642.30"
07040001,象拨蚌,,斤,,64.80,5.90,58.90,182.917,"1,076.89","10,750.61"
07050013,响螺,,斤,,6.80,1.30,5.50,165.000,216.03,913.97
07060002,大连鲍(5只/斤),,斤,,57.43,11.31,46.12,85.455,966.27,"3,940.28"
07060013,南非鲜鲍（3只/斤）,,斤,,24.40,0.50,23.90,205.000,102.50,"4,899.50"
07060022,南非鲜鲍（4头）,,斤,,28.26, ,28.26,168.000, ,"4,747.68"
09120225,特大九节虾,1KG 7只/盒,盒,,10.29,3.29,7.00,211.667,698.89,"1,487.01"
合计,海鲜,,,,,,,,"19,613.77","143,674.47"
