物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
15090136,开心果,,斤,,4.00, ,4.00,49.000, ,196.00
15090137,朱古力金币,,斤,,2.00, ,2.00,30.000, ,60.00
15090140,红瓜子,,斤,,2.00, ,2.00,22.500, ,45.00
15130048,嘉顿杂锦糖,,斤,,5.00, ,5.00,30.000, ,150.00
1601,铁观音,,斤,,14.00,7.00,7.00,26.000,182.00,182.00
1602,普洱,,斤,,11.00,5.00,6.00,25.500,127.73,153.27
1608,金金铁观音,,斤,,2.50,1.00,1.50,255.000,249.00,373.50
1612,不知年普洱茶,,斤,,3.00,2.50,0.50,275.000,666.67,133.33
1631,盒装印象大红袍,,盒,,14.00,10.00,4.00,256.000,"2,560.00","1,024.00"
合计,茶芥,,,,,,,,"3,785.40","2,317.10"
